Id	GroupId	CharacterId	RobotId	Property	Note	Weight	RepeatWeight
1	1	1011002	128001	2	异火	10	2
2	1	1021001	128002	2	红莲	10	2
3	1	1031001	128003	1	蚀暗	10	2
4	1	1041002	128004	1	零度	10	2
5	1	1051001	128005	1	风暴	10	2
6	1	1061002	128006	1	重能	10	2
7	1	1071002	128007	2	爆裂	10	2
8	1	1081002	128008	1	夜刃	10	2
9	1	1021002	128009	3	黎明	10	2
10	1	1031002	128010	3	流光	10	2
11	2	1011003	128011	1	乱数	30	6
12	2	1031003	128012	1	仰光	30	6
13	2	1061003	128013	5	暗能	30	6
14	2	1071003	128014	2	烬燃	30	6
15	2	1051003	128015	2	脉冲	30	6
16	2	1021003	128016	1	深红之渊	30	6
17	1	1081003	128017	5	夙星	10	2
18	1	1091002	128018	1	溢彩	10	2
19	2	1041003	128019	3	真理	30	6
20	1	1111002	128020	2	银牙	10	2
21	1	1121002	128021	3	弧光	10	2
22	2	1021004	128022	4	鸦羽	30	6
23	1	1131002	128023	5	瑰丽	10	2
24	1	1511003	128024	5	狂犬	10	2
25	2	1141003	128025	1	凛冽	30	6
26	1	1521003	128026	1	雀翎	10	2
27	1	1161002	128027	4	游麟	10	2
28	2	1171003	128028	5	银冕	30	6
29	1	1211002	128030	4	明觉	10	2
30	1	1531003	128031	3	岚音	10	2
31	2	1121003	128032	4	荣光	30	6
32	1	1221002	128033	5	XXI	10	2
33	2	1131003	128034	3	绯耀	30	6
34	1	1541003	128035	2	戏炎	10	2
35	3	1031004	128036	2	极昼	100	20
36	3	1531004	128037	5	幻奏	100	20
37	1	1551003	128038	1	华钟	10	2
38	3	1051004	128039	2	遥星之座	100	20
39	1	1561003	128040	4	隐星	10	2
40	3	1071004	128041	5	辉晓	100	20
41	1	1571003	128042	3	逆旅	10	2
42	3	1041004	128029	1	深痕	100	20
43	1	1231002	128043	4	琉璃	10	2
44	3	1011004	128044	2	超刻	100	20
45	3	1091003	128045	4	万华	100	20
46	3	1021005	128046	3	深红囚影	100	20
47	1	1241002	128047	1	清商	10	2
48	3	1221003	128048	3	森息	100	20
49	1	1251002	128049	3	擎驱	10	2
50	3	1261003	128050	1	回音	100	20
51	3	1271003	128051	5	深谣	100	20
52	3	1081004	128056	2	尘铭	100	20
53	3	1521004	128815	4	启明	100	20
54	1	1291002	128817	5	觅语	10	2
55	3	1171004	128821	6	终焉	100	20
56	1	1301002	128849	2	耀炎	10	2
57	3	1241003	128857	1	檀心	100	20
58	3	1211003	128884	3	明晰梦	100	20
59	3	1021006	128886	2	誓焰	100	20
