Key	Comment	Value
InitCharacterEnergy	默认能量石数量	3
BattlePassExpItem	BP经验道具	96188
TalentTreePointItem	天赋点道具	96187
CharacterExpByNode	角色精通经验转换系数	40
OpenCloseCheck	开启强退检测	1
CloseCheckCount	容错保底次数	1
FloorGoldGroupId	装备抽完的保底金币箱	1
FloorWorkShopId	保底工坊ID，必须是交换类型	1
InitEquipPosCapacity	默认槽位容量	3
InitSelectedEquipSuitCount	开局抽取套装数量	20
InitSelectedEquipSuitType	开局抽取指定上下限的套装类型	3
InitSelectedEquipSuitUpLimit	开局抽取指定上下限的套装上限	7
InitSelectedEquipSuitDownLimit	开局抽取指定上下限的套装下限	5
InheritEquipNeedChapterCount	触发继承装备所需章节数	4
InheritEquipSelectCount	下局继承装备抽取数量	5
EquipSuitDuplicationRate	套装查重率，大于重抽	0.6
EquipSuitReChoiceMaxLoopCount	套装查重最大重试次数	3
EquipSuitSeqDuplicationRate	套装序号查重率，大于等于重抽	0.5
DestinyValueThreshold	天选值获取门槛	1
DestinyValueCoefficient	天选值获取系数	150
DestinyValueMaxLimit	天选上限	10000
DestinyCharacterId	版本首次天选必选角色	1171004
DestinyGuaranteeGroupId	天选角色抽取组id	0
DestinyOpenCondition	天选角色开启条件	1020210
MaxQubitValueA	量子A最大值限制	60
MaxQubitValueB	量子B最大值限制	60
