Id	NpcId	Level	BuffLevel	BuffIds	Note
1101	90720	161	[1]	[764976]	马天尼（极限型）
1102	90720	161	[1]	[764976]	马天尼（极限型）
1103	90730	242	[1]	[764976]	白先生（极限型）
1104	90750	259	[1]	[764976]	空7-雪鸮（极限型）
1105	90770	253	[1]	[764976]	海5-灯乌贼（极限型）
1106	90780	221	[1]	[764976]	陆1-极地熊（极限型）
1107	93482	223	[1]	[764976]	极光守卫者（极限型）
1108	93542	359	[1]	[764976]	极光 地面堡垒（极限型）
1109	90030	168	[1]	[764976]	修理机工（极限型）
1110	90090	322	[1]	[764976]	地面监视器（极限型）
1111	90110	302	[1]	[764976]	巡境者（极限型）
1112	90210	186	[1]	[764976]	园丁（极限型）
1301	90720	81	[1]	[764976]	马天尼（极限型）
1302	90720	81	[1]	[764976]	马天尼（极限型）
1303	90730	121	[1]	[764976]	白先生（极限型）
1304	90030	84	[1]	[764976]	修理机工（极限型）
1305	90090	161	[1]	[764976]	地面监视器（极限型）
1306	90110	151	[1]	[764976]	巡境者（极限型）
1307	90210	93	[1]	[764976]	园丁（极限型）
1601	90720	242	[1]	[764976]	马天尼（极限型）
1602	90720	242	[1]	[764976]	马天尼（极限型）
1603	90730	363	[1]	[764976]	白先生（极限型）
1604	90740	281	[1]	[764976]	阿茂
1605	90750	388	[1]	[764976]	空7-雪鸮（极限型）
1606	90760	325	[1]	[764976]	陆3-长耳兔（极限型）
1607	90770	380	[1]	[764976]	海5-灯乌贼（极限型）
1608	90780	332	[1]	[764976]	陆1-极地熊（极限型）
1609	93482	334	[1]	[764976]	极光守卫者（极限型）
1610	93542	539	[1]	[764976]	极光 地面堡垒（极限型）
1611	90380	288	[1]	[764976]	构造体（极限型）
2101	90380	192	[1]	[764976]	构造体（极限型）
2102	90640	485	[1]	[764976]	力士 陆型（极限型）
2103	90650	536	[1]	[764976]	舞轮 肆型（极限型）
2104	90670	340	[1]	[764976]	烟粉 壹型（极限型）
2105	90690	201	[1]	[764976]	禄存
2106	90700	281	[1]	[764976]	至尊
2107	90810	242	[1]	[764976]	太阿壹型（极限型）
2108	93120	159	[1]	[764976]	诛魔（极限型）
2109	93130	276	[1]	[764976]	杀神（极限型）
2110	93140	171	[1]	[764976]	斩仙（极限型）
2111	93160	311	[1]	[764976]	“嘿”帮小弟（极限型）
2112	93363	445	[1]	[764976]	机械亚种（极限型）
2113	93373	387	[1]	[764976]	雕像侍者（极限型）
2301	90640	243	[1]	[764976]	力士 陆型（极限型）
2302	90650	268	[1]	[764976]	舞轮 肆型（极限型）
2303	90810	121	[1]	[764976]	太阿壹型（极限型）
2304	93160	156	[1]	[764976]	“嘿”帮小弟（极限型）
2305	93373	194	[1]	[764976]	雕像侍者（极限型）
2401	90700	281	[1]	[764976]	至尊
2402	93363	445	[1]	[764976]	机械亚种（极限型）
