Id	Desc	Type	Params
10001	复活消耗改为5金币	23	[2.0]
10003	每通过一个节点获得50金币	4	[96189.0, 50.0]
10008	商店打折50%	13	[0.625]
100081	额外增加6个折扣位置	5	[6.0]
10009	招募能量+3	22	[3.0]
10010	负重上限+3	16	[3.0]
10022	战斗额外掉落一个道具箱	21	[1.0]
10062	α量子值+10	28	[1.0, 10.0, 10.0]
11001	招募能量+1	22	[1.0]
11002	招募能量+2	22	[2.0]
11003	招募能量+3	22	[3.0]
11004	负重上限+1	16	[1.0]
11005	负重上限+2	16	[2.0]
11006	金币+250	12	[96189.0, 250.0]
12011	招募能量+2	22	[2.0]
12012	负重上限+2	16	[2.0]
12021	招募能量+2	22	[2.0]
12031	负重上限+2	16	[2.0]
20101	金币掉落+40%	3	[40.0]
20104	金币掉落+20%	3	[20.0]
20151	每通过一个战斗节点，战斗后获得血量成长	17	[1501.0, 1.0]
20152	每通过一个战斗节点，战斗后获得攻击	17	[1502.0, 2.0]
20153	每通过一个战斗节点，战斗结束后额外掉落10金币（通过战斗越多，额外掉落金币越多）	20	[1503.0, 21.0]
20154	集齐套装后，记录通过的战斗节点数	18	[15.0]
20155	集齐套装后，记录通过的boss节点数	19	[15.0]
20301	负重上限+1	16	[1.0]
20302	负重上限+1	16	[1.0]
20303	负重上限+1	16	[1.0]
20321	每通过一个战斗节点，战斗后宠物成长-部位1-测试	17	[2101.0, 3.0]
20322	每通过一个战斗节点，战斗后宠物成长-部位2-测试	17	[2102.0, 3.0]
20323	每通过一个战斗节点，战斗后宠物成长-部位3-测试	17	[2103.0, 3.0]
21101	金币掉落+60%	3	[60.0]
21104	金币掉落+20%	3	[20.0]
21151	每通过一个战斗节点，战斗后获得血量成长	17	[1501.0, 1.0]
21152	每通过一个战斗节点，战斗后获得攻击	17	[1502.0, 2.0]
21153	每通过一个战斗节点，战斗结束后额外掉落10金币（通过战斗越多，额外掉落金币越多）	20	[1503.0, 24.0]
21154	集齐套装后，记录通过的战斗节点数	18	[15.0]
21155	集齐套装后，记录通过的boss节点数	19	[15.0]
21301	负重上限+1	16	[1.0]
21302	负重上限+1	16	[1.0]
21303	负重上限+1	16	[1.0]
21321	每通过一个战斗节点，战斗后宠物成长-部位1-测试	17	[2101.0, 3.0]
21322	每通过一个战斗节点，战斗后宠物成长-部位2-测试	17	[2102.0, 3.0]
21323	每通过一个战斗节点，战斗后宠物成长-部位3-测试	17	[2103.0, 3.0]
30002	肉鸽3.0外循环-初始金币+50	12	[96189.0, 50.0]
30004	肉鸽3.0外循环-初始金币+50	12	[96189.0, 50.0]
30006	肉鸽3.0外循环-初始招募能量+1	22	[1.0]
30011	肉鸽3.0外循环-初始金币+50	12	[96189.0, 50.0]
30012	肉鸽3.0外循环-游戏开始时，额外获得一个随机道具（首通难度第一章）	8	[1.0, 30012.0]
300121	肉鸽3.0外循环-游戏开始时，额外获得一个随机道具（简单难度第一章）	8	[101.0, 30012.0]
300122	肉鸽3.0外循环-游戏开始时，额外获得一个随机道具（普通难度第一章）	8	[201.0, 30012.0]
300123	肉鸽3.0外循环-游戏开始时，额外获得一个随机道具（困难难度第一章）	8	[301.0, 30012.0]
30015	肉鸽3.0外循环-商店商品折扣位+1	5	[1.0]
30017	肉鸽3.0外循环-所有成员装备负重+1	16	[1.0]
30023	肉鸽3.0外循环-初始金币+50	12	[96189.0, 50.0]
30025	肉鸽3.0外循环-初始金币+50	12	[96189.0, 50.0]
30028	肉鸽3.0外循环-初始金币+50	12	[96189.0, 50.0]
30030	肉鸽3.0外循环-初始招募能量+1	22	[1.0]
30102	肉鸽3.0DLC外循环-初始金币+30	12	[96189.0, 30.0]
30104	肉鸽3.0DLC外循环-初始金币+30	12	[96189.0, 30.0]
30111	肉鸽3.0DLC外循环-初始金币+30	12	[96189.0, 30.0]
30123	肉鸽3.0DLC外循环-初始金币+30	12	[96189.0, 30.0]
30125	肉鸽3.0DLC外循环-初始金币+30	12	[96189.0, 30.0]
30128	肉鸽3.0DLC外循环-初始金币+30	12	[96189.0, 30.0]
