Id	EventId	StepId	NextStepId	Type	FightNodeId	WorkShopId	EffectGroupId	StoryId	StepRewardItemType	StepRewardItemId	StepRewardItemCount	OptionGroupId	Title	TitleContent	RoleIcon	RoleName	RoleContent	RoleEffect	EventDesc	ConfirmContent	BgAsset
1	1	101		2								101	贴心搭档						洁塔薇有些不太情愿地拿出两个包裹。	决定	Assets/Product/Texture/Image/BgStory/BgStory670.jpg
2	1	102		3					1	{1: 96189}	{1: 300}		贴心搭档		Assets/Product/Texture/Image/RoleStory/V260qyNormal02.png	洁塔薇	对于杂鱼来说，是很重要的东西呢。		洁塔薇满意地点了点头，对你接受她施舍的谦卑态度感到满意。	出发	Assets/Product/Texture/Image/BgStory/BgStory670.jpg
3	1	103		3					4	{1: 1}	{1: 1}		贴心搭档		Assets/Product/Texture/Image/RoleStory/V260qyNormal02.png	洁塔薇	对于杂鱼来说，是很重要的东西呢。		洁塔薇满意地点了点头，对你接受她施舍的谦卑态度感到满意。	出发	Assets/Product/Texture/Image/BgStory/BgStory670.jpg
4	1	104		3					1	{1: 96189}	{1: 300}		贴心搭档		Assets/Product/Texture/Image/RoleStory/V260qyNormal01.png	洁塔薇	两手空空上路会死的哦，快给我拿好！		洁塔薇将沉甸甸的大包裹强行塞到你的手中。	出发	Assets/Product/Texture/Image/BgStory/BgStory670.jpg
5	1	105		3					4	{1: 1}	{1: 1}		贴心搭档		Assets/Product/Texture/Image/RoleStory/V260qyNormal01.png	洁塔薇	两手空空上路会死的哦，快给我拿好！		洁塔薇将精致的小包裹强行塞到你的手中。	出发	Assets/Product/Texture/Image/BgStory/BgStory670.jpg
6	2	201		2								201	物归新主						洁塔薇不小心跌进了一处地陷，意外发现了一个古怪的箱子。	决定	Assets/Product/Texture/Image/BgStory/BgStory604.jpg
7	2	202		3					2	{1: 1002}	{1: 1}		物归新主			洁塔薇	就当作是让我摔跟头的补偿吧。		你从箱子里回收了有用的东西。	出发	Assets/Product/Texture/Image/BgStory/BgStory604.jpg
8	2	203		3					2	{1: 1002}	{1: 1}		物归新主			洁塔薇	我不管，现在它就是我的。		洁塔薇赌气地藏起了箱子，说什么也不肯归还。	出发	Assets/Product/Texture/Image/BgStory/BgStory604.jpg
9	3	301	302	3					2	{1: 1002}	{1: 1}		隐秘工坊						洁塔薇发现了一间隐秘的工坊，你们在里面找到了备用的特殊物资。	收取	Assets/Product/Texture/Image/BgStory/Bgstory351.jpg
10	3	302		2								302	隐秘工坊						在出发前，你和洁塔薇在考虑是否在工坊休整下。	决定	Assets/Product/Texture/Image/BgStory/Bgstory351.jpg
11	3	303		5		2							隐秘工坊						机会难得，你决定在这调整下状态。	休整	Assets/Product/Texture/Image/BgStory/Bgstory351.jpg
12	3	304		1									隐秘工坊						在时间紧要的情况下，你们决定尽早出发。	出发	Assets/Product/Texture/Image/BgStory/Bgstory351.jpg
13	4	401	402	3					2	{1: 1002}	{1: 1}		休憩之地						洁塔薇在前方恰好发现了一座废弃小屋，并从那带来了些特殊物资。	前往	Assets/Product/Texture/Image/BgStory/BgStory733.jpg
14	4	402		2								402	休憩之地						来到小屋内，洁塔薇示意你停下来歇息一会。	决定	Assets/Product/Texture/Image/BgStory/BgStory733.jpg
15	4	403		5		2							休憩之地						连续的作战让你感到疲惫，你决定趁此机会调整下状态，以便应对接下来会遇到的危险。	休整	Assets/Product/Texture/Image/BgStory/BgStory733.jpg
16	4	404		1									休憩之地						时间紧迫，你们不能再在这继续驻留，小憩后便立即出发	出发	Assets/Product/Texture/Image/BgStory/BgStory733.jpg
17	5	501	502	1									自动化工坊						采用自动化流程和先进AI的无人工坊，装载的精密模组允许其对不同项目进行微调。	继续	Assets/Product/Texture/Image/BgStory/BgStory778.jpg
18	5	502		2								502	自动化工坊			提醒！	为了防止系统出现逻辑谬误，请谨慎调试配额......		启动无人工坊进行调整。	决定	Assets/Product/Texture/Image/BgStory/BgStory778.jpg
19	5	503		5		1							自动化工坊						你决定进入工坊内进行整备。	进入	Assets/Product/Texture/Image/BgStory/BgStory778.jpg
20	5	504		5		2							自动化工坊						你决定在外部简单休整下状态便离开。	休整	Assets/Product/Texture/Image/BgStory/BgStory778.jpg
21	6	601		2								601	天台扭蛋机						你在诡异的摩天轮上，发现了名为“天台”的怪异扭蛋机，里面有【<color=#EA4323>太阳</color>】、【<color=#34A853>菠萝</color>】、【<color=#FBBC05>饼干</color>】三种图案，你不知道是谁摆在这的，似乎投入算力单元就能运行。	决定	Assets/Product/Texture/Image/BgStory/Bgstory197.png
22	6	602	609	3					1	{1: 96189}	{1: 80}		天台扭蛋机						扭蛋机开始运行，里面图案不断变化……\n几秒之后，图案停止了变化。\n结果是<size=60>【<color=#EA4323>太阳</color>、<color=#EA4323>太阳</color>、<color=#FBBC05>饼干</color>】</size>	取走	Assets/Product/Texture/Image/BgStory/Bgstory197.png
23	6	603	609	3					1	{1: 96189}	{1: 100}		天台扭蛋机						扭蛋机开始运行，里面图案不断变化……\n几秒之后，图案停止了变化。\n结果是<size=60>【<color=#FBBC05>饼干</color>、<color=#FBBC05>饼干</color>、<color=#FBBC05>饼干</color>】</size>	取走	Assets/Product/Texture/Image/BgStory/Bgstory197.png
24	6	604	609	3					1	{1: 96189}	{1: 150}		天台扭蛋机						扭蛋机开始运行，里面图案不断变化……\n几秒之后，图案停止了变化。\n结果是<size=60>【<color=#34A853>菠萝</color>、<color=#34A853>菠萝</color>、<color=#34A853>菠萝</color>】</size>	取走	Assets/Product/Texture/Image/BgStory/Bgstory197.png
25	6	605	609	3					1	{1: 96189}	{1: 250}		天台扭蛋机						扭蛋机开始运行，里面图案不断变化……\n几秒之后，图案停止了变化。\n结果是<size=60>【<color=#34A853>菠萝</color>、<color=#EA4323>太阳</color>、<color=#34A853>菠萝</color>】</size>	取走	Assets/Product/Texture/Image/BgStory/Bgstory197.png
26	6	606	609	3					4	{1: 4}	{1: 1}		天台扭蛋机						扭蛋机开始运行，里面图案不断变化……\n几秒之后，图案停止了变化。\n结果是<size=60>【<color=#34A853>菠萝</color>、<color=#34A853>菠萝</color>、<color=#FBBC05>饼干</color>】</size>	取走	Assets/Product/Texture/Image/BgStory/Bgstory197.png
27	6	607	609	3					4	{1: 3}	{1: 1}		天台扭蛋机						扭蛋机开始运行，里面图案不断变化……\n几秒之后，图案停止了变化。\n结果是<size=60>【<color=#EA4323>太阳</color>、<color=#EA4323>太阳</color>、<color=#EA4323>太阳</color>】</size>	取走	Assets/Product/Texture/Image/BgStory/Bgstory197.png
28	6	608	609	1									天台扭蛋机						扭蛋机开始运行，里面图案不断变化……\n几秒之后，图案停止了变化。\n结果是<size=60>【<color=#EA4323>太阳</color>、<color=#34A853>菠萝</color>、<color=#FBBC05>饼干</color>】</size>\n扭蛋机什么也没吐出来。	继续	Assets/Product/Texture/Image/BgStory/Bgstory197.png
29	6	609		2								609	天台扭蛋机						扭蛋机有些发烫，但看起来还能继续运行。	决定	Assets/Product/Texture/Image/BgStory/Bgstory197.png
30	6	610	617	3					1	{1: 96189}	{1: 10}		天台扭蛋机						扭蛋机开始运行，里面图案不断变化……\n几秒之后，图案停止了变化。\n结果是<size=60>【<color=#EA4323>太阳</color>、<color=#EA4323>太阳</color>、<color=#FBBC05>饼干</color>】</size>	取走	Assets/Product/Texture/Image/BgStory/Bgstory197.png
