Id	BoxGroupId	Weight	ConditionId	ItemGroupId	SafeGroupId	Name	Desc	Icon	Quality	Tag
1	1	100		[1, 1, 1]	5	破旧的速递包裹	普通包裹，有较低的概率出现五星秘藏品	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem009.png	3	
2	2	100		[2, 2, 2]	5	精美的速递包裹	特制包裹，有一定的概率出现五星秘藏品	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem010.png	4	
3	3	100		[3, 3, 3]	5	奢华的速递包裹	碧碧的包裹，极大概率出现五星秘藏品	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem011.png	5	
201	201	100		[201]	5	扳手小子的包裹	我们也是不打不相识，送给你了	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem011.png	5	
202	202	100		[202]	5	库洛洛的包裹	库？库0v0	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem011.png	5	
203	203	100		[203]	5	扳手老子的包裹	你拿上这把剑，去打爆对面的假货！	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem011.png	5	
204	204	100		[204]	5	库洛洛（？）的包裹	库?库0v0	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem011.png	5	
12001	12001	100		[12001]	5	棱镜核心	先进光学组件的核心驱动	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem011.png	5	
12002	12002	100		[12002]	5	幻境魔方	珍贵的实验性拟态组件	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem011.png	5	
12003	12003	100		[12003]	5	失序纤维束	向量攻击组件的极端优化方案	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem011.png	5	
30012	30012	100		[1]	5	潜质抉择包裹	普通包裹，有较低的概率出现五星秘藏品	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem009.png	3	
4	4	100		[104, 104, 104]	5	普通的腐化包裹	普通的腐化包裹，打开后高概率获得蓝色熵变藏品	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem013.png	3	
5	5	100		[105, 105, 105]	5	稀有的腐化包裹	稀有的腐化包裹，打开后高概率获得紫色熵变藏品	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem014.png	4	
6	6	100		[106, 106, 106]	5	顶级的腐化包裹	顶级的腐化包裹，打开后高概率获得金色熵变藏品	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem015.png	5	
7	7	100		[107]	5	“彼岸的礼物”	一点小小的干涉	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem010.png	5	
1001	1001	100		[104, 104, 104]	5	普通的腐化包裹	普通的腐化包裹，打开后高概率获得蓝色熵变藏品	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem013.png	3	4
1002	1002	95		[105, 105, 105]	5	稀有的腐化包裹	稀有的腐化包裹，打开后高概率获得紫色熵变藏品	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem014.png	4	4
1003	1002	5		[106, 106, 106]	5	顶级的腐化包裹	顶级的腐化包裹，打开后高概率获得金色熵变藏品	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem015.png	5	4
1004	1003	80		[105, 105, 105]	5	稀有的腐化包裹	稀有的腐化包裹，打开后高概率获得紫色熵变藏品	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem014.png	4	4
1005	1003	20		[106, 106, 106]	5	顶级的腐化包裹	顶级的腐化包裹，打开后高概率获得金色熵变藏品	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem015.png	5	4
1011	1011	100		[107]	5	干涉数据·α	Alpha世界的缓存记录	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem014.png	4	
1012	1012	100		[108]	5	锐利的宝剑	勇者之剑的宝物。	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem014.png	4	
1013	1013	100		[109]	5	天使的形骸	天使堕入凡间的残躯。	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem015.png	5	
1014	1014	100		[110]	5	修女的发簪	来自混沌修女的祭器	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem015.png	5	
1015	1015	100		[111]	5	机巧智核	某种黑魔法与炼金术结合的产物	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem015.png	5	
