Id	Count	Name	Desc	Icon	Tag
1	600	进阶盒装单元	领取后可获得600算力单元（不受加成影响）	Assets/Product/Texture/Image/IconTools/ItCaseI003.png	
2	250	普通盒装单元	领取后可获得250算力单元（不受加成影响）	Assets/Product/Texture/Image/IconTools/ItCaseI001.png	
11	70	散装单元（小）	领取后可获得70算力单元	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem003.png	
12	150	散装单元（中）	领取后可获得150算力单元	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem003.png	
13	300	散装单元（大）	领取后可获得300算力单元	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem003.png	
21	10	算力单元（额外）	根据通过节点数，额外获得算力单元	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem003.png	
22	150	算力单元（干涉）	来自对岸干涉的小小礼物（获得150算力单元，不受加成影响）	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem003.png	5
23	300	算力单元（干涉）	来自对岸干涉的小小礼物（获得300算力单元，不受加成影响）	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem003.png	5
24	20	算力单元（额外）	根据通过节点数，额外获得算力单元	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem003.png	
51	150	错位单元箱	领取后可获得150-500算力单元（不受加成影响）	Assets/Product/Texture/Image/IconTools/ItCaseW002.png	
52	200	错位单元箱	领取后可获得150-500算力单元（不受加成影响）	Assets/Product/Texture/Image/IconTools/ItCaseW002.png	
53	250	错位单元箱	领取后可获得150-500算力单元（不受加成影响）	Assets/Product/Texture/Image/IconTools/ItCaseW002.png	
54	300	错位单元箱	领取后可获得150-500算力单元（不受加成影响）	Assets/Product/Texture/Image/IconTools/ItCaseW002.png	
55	400	错位单元箱	领取后可获得150-500算力单元（不受加成影响）	Assets/Product/Texture/Image/IconTools/ItCaseW002.png	
56	500	错位单元箱	领取后可获得150-500算力单元（不受加成影响）	Assets/Product/Texture/Image/IconTools/ItCaseW002.png	
57	400	紊乱单元箱	领取后可获得400-1000算力单元（不受加成影响）	Assets/Product/Texture/Image/IconTools/ItCaseW003.png	
58	500	紊乱单元箱	领取后可获得400-1000算力单元（不受加成影响）	Assets/Product/Texture/Image/IconTools/ItCaseW003.png	
59	600	紊乱单元箱	领取后可获得400-1000算力单元（不受加成影响）	Assets/Product/Texture/Image/IconTools/ItCaseW003.png	
60	700	紊乱单元箱	领取后可获得400-1000算力单元（不受加成影响）	Assets/Product/Texture/Image/IconTools/ItCaseW003.png	
61	800	紊乱单元箱	领取后可获得400-1000算力单元（不受加成影响）	Assets/Product/Texture/Image/IconTools/ItCaseW003.png	
62	900	紊乱单元箱	领取后可获得400-1000算力单元（不受加成影响）	Assets/Product/Texture/Image/IconTools/ItCaseW003.png	
63	1000	紊乱单元箱	领取后可获得400-1000算力单元（不受加成影响）	Assets/Product/Texture/Image/IconTools/ItCaseW003.png	
101	100	算力单元（干涉）	来自对岸干涉的小小礼物（获得100-180算力单元，不受加成影响）	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem003.png	4
102	120	算力单元（干涉）	来自对岸干涉的小小礼物（获得100-180算力单元，不受加成影响）	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem003.png	4
103	140	算力单元（干涉）	来自对岸干涉的小小礼物（获得100-180算力单元，不受加成影响）	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem003.png	4
104	150	算力单元（干涉）	来自对岸干涉的小小礼物（获得100-180算力单元，不受加成影响）	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem003.png	4
105	160	算力单元（干涉）	来自对岸干涉的小小礼物（获得100-180算力单元，不受加成影响）	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem003.png	4
106	180	算力单元（干涉）	来自对岸干涉的小小礼物（获得100-180算力单元，不受加成影响）	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem003.png	4
111	200	算力单元（干涉）	来自对岸干涉的小小礼物（获得200-350算力单元，不受加成影响）	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem003.png	4
112	240	算力单元（干涉）	来自对岸干涉的小小礼物（获得200-350算力单元，不受加成影响）	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem003.png	4
113	250	算力单元（干涉）	来自对岸干涉的小小礼物（获得200-350算力单元，不受加成影响）	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem003.png	4
114	280	算力单元（干涉）	来自对岸干涉的小小礼物（获得200-350算力单元，不受加成影响）	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem003.png	4
115	300	算力单元（干涉）	来自对岸干涉的小小礼物（获得200-350算力单元，不受加成影响）	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem003.png	4
116	320	算力单元（干涉）	来自对岸干涉的小小礼物（获得200-350算力单元，不受加成影响）	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem003.png	4
117	350	算力单元（干涉）	来自对岸干涉的小小礼物（获得200-350算力单元，不受加成影响）	Assets/Product/Texture/Image/UiTheatre3/Theatre3SystemItem003.png	4
