Id	Type	Priority	GroupId	Name	Level	CustomizeId	InfoTitle	InfoText	InfoConditionText	HintText	Icon	IsNotShow
1	1	1		暴击补强	1	75009	区域效果	连击每增加10下，增加自身5%的暴击率。	（已生效）	提示：在该区域下战斗，所有角色会受到额外加成	Assets/Product/Texture/Image/UiWorldBoss/WorldBossBuff002.png	
2	1	2		坠星召唤	1	75010	区域效果	暴击时将会召唤能量长矛造成200%的伤害，冷却1秒。	（已生效）	提示：在该区域下战斗，所有角色会受到额外加成	Assets/Product/Texture/Image/UiWorldBoss/WorldBossBuff005.png	
3	1	1		炎爆	1	75001	区域效果	火属性伤害有50%概率引爆敌人，造成200%攻击的火属性伤害。	（已生效）	提示：在该区域下战斗，所有角色会受到额外加成	Assets/Product/Texture/Image/UiWorldBoss/WorldBossBuff007.png	
4	1	2		过热核心	1	75002	区域效果	每次造成火属性伤害时，额外获得5点能量。	（已生效）	提示：在该区域下战斗，所有角色会受到额外加成	Assets/Product/Texture/Image/UiWorldBoss/WorldBossBuff006.png	
5	1	1		雷光瞬影	1	75003	区域效果	闪避上限提高300点，闪避后会留下一条雷径，雷径持续5秒，在雷径中的敌人会持续受到伤害，并且减少20%的雷属性抗性。	（已生效）	提示：在该区域下战斗，所有角色会受到额外加成	Assets/Product/Texture/Image/UiWorldBoss/WorldBossBuff009.png	
6	1	2		雷暴	1	75004	区域效果	雷属性伤害将产生5道落雷，造成雷属性伤害，冷却时间5秒。	（已生效）	提示：在该区域下战斗，所有角色会受到额外加成	Assets/Product/Texture/Image/UiWorldBoss/WorldBossBuff003.png	
7	1	1		暗影吞噬	1	75005	区域效果	暗属性伤害将直接处决血量低于30%的敌人。	（已生效）	提示：在该区域下战斗，所有角色会受到额外加成	Assets/Product/Texture/Image/UiWorldBoss/WorldBossBuff004.png	
8	1	2		暗影防护	1	75006	区域效果	造成暗伤时，生成一个最大生命值30%的护盾，护盾存在时，暗伤增加50%，护盾消失时，立刻获得3个球，冷却时间8秒。	（已生效）	提示：在该区域下战斗，所有角色会受到额外加成	Assets/Product/Texture/Image/UiWorldBoss/WorldBossBuff001.png	
9	1	1		零度涡旋	1	75007	区域效果	冰属性伤害有20%概率生成一个暴风雪区域，暴风雪中的敌人将持续受到伤害以及减速，并且冰属性抗性降低20%。	（已生效）	提示：在该区域下战斗，所有角色会受到额外加成	Assets/Product/Texture/Image/UiWorldBoss/WorldBossBuff0010.png	
10	1	2		寒冰棘刺	1	75008	区域效果	自身周围环绕冰刺，对周围敌人持续造成冰属性伤害。	（已生效）	提示：在该区域下战斗，所有角色会受到额外加成	Assets/Product/Texture/Image/UiWorldBoss/WorldBossBuff008.png	
