Id	ActivityId	CharacterId	UnlockItemId	Cost	Icon	StoryId	Type
1	1	1021006	97044	1	Assets/Product/Texture/Image/RoleStory/V2150lxyNormal14.png	HD04303BA	2
2	1	1011004	97044	1	Assets/Product/Texture/Image/RoleStory/V132lNormal01.png	HD04302BA	2
3	1	1031001	97044	1	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	HD04304BA	2
4	1	1041003	97044	1	Assets/Product/Texture/Image/RoleStory/R3BiankaNormal01.png	HD04305BA	2
5	1	1051005	97044	1	Assets/Product/Texture/Image/RoleStory/V2170qsNormal02.png	HD04306BA	2
6	1	1061002	97044	1	Assets/Product/Texture/Image/RoleStory/ShenweiNormal01.png	HD04307BA	2
7	1	1071004	97044	1	Assets/Product/Texture/Image/RoleStory/KalieninaNomal05.png	HD04308BA	2
8	1	1081004	97044	1	Assets/Product/Texture/Image/RoleStory/V280dbNormal01.png	HD04309BA	2
9	1	1021005	97044	1	Assets/Product/Texture/Image/RoleStory/V210aefNormal01.png	HD04310BA	2
10	1	1091003	97044	1	Assets/Product/Texture/Image/RoleStory/V200alNormal01.png	HD04311BA	2
11	1	1111002	97044	1	Assets/Product/Texture/Image/RoleStory/R2SufeiyaNormal01.png	HD04312BA	2
12	1	1121003	97044	1	Assets/Product/Texture/Image/RoleStory/R3kuluomuNormal02.png	HD04313BA	2
13	1	1131002	97044	1	Assets/Product/Texture/Image/RoleStory/R2WeilaNormal01.png	HD04314BA	2
14	1	1171004	97044	1	Assets/Product/Texture/Image/RoleStory/V2110lnNormal06.png	HD04315BA	2
15	1	1511003	97044	1	Assets/Product/Texture/Image/RoleStory/R2KamuNormal01.png	HD04316BA	2
16	1	1141003	97044	1	Assets/Product/Texture/Image/RoleStory/LuosaitaNormal06.png	HD04317BA	2
17	1	1521004	97044	1	Assets/Product/Texture/Image/RoleStory/V290qNormal01.png	HD04318BA	2
18	1	1161002	97044	1	Assets/Product/Texture/Image/RoleStory/ChangyuNormal03.png	HD04319BA	2
19	1	1211003	97044	1	Assets/Product/Texture/Image/RoleStory/V2140wssNormal01.png	HD04320BA	2
20	1	1531005	97044	1	Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2Sai.png	HD04321BA	2
21	1	1221003	97044	1	Assets/Product/Texture/Image/RoleStory/V23021Normal01.png	HD04322BA	2
22	1	1541003	97044	1	Assets/Product/Texture/Image/RoleStory/LuolanNormal04.png	HD04323BA	2
23	1	1551003	97044	1	Assets/Product/Texture/Image/RoleStory/PulaoNormal04.png	HD04324BA	2
24	1	1561003	97044	1	Assets/Product/Texture/Image/RoleStory/HakamaNormal04.png	HD04325BA	2
25	1	1571003	97044	1	Assets/Product/Texture/Image/RoleStory/NuoanNormal01.png	HD04326BA	2
26	1	1231002	97044	1	Assets/Product/Texture/Image/RoleStory/V130bbntNormal01.png	HD04327BA	2
27	1	1241003	97044	1	Assets/Product/Texture/Image/RoleStory/V2130hyNormal01.png	HD04328BA	2
28	1	1261003	97044	1	Assets/Product/Texture/Image/RoleStory/V250ylsNormal01.png	HD04329BA	2
29	1	1251002	97044	1	Assets/Product/Texture/Image/RoleStory/V240nktNormal06.png	HD04330BA	2
30	1	1271003	97044	1	Assets/Product/Texture/Image/RoleStory/V260lmyNormal01.png	HD04331BA	2
31	1	1291002	97044	1	Assets/Product/Texture/Image/RoleStory/V2100boxNormal01.png	HD04332BA	2
32	1	1301002	97044	1	Assets/Product/Texture/Image/RoleStory/V2120bljtNormal01.png	HD04333BA	2
33	1	1311002	97044	1	Assets/Product/Texture/Image/RoleStory/V2160bqNormal01.png	HD04334BA	2
34	1	1321003	97044	1	Assets/Product/Texture/Image/RoleStory/V3000CbzNormal05.png	HD04335BA	2
35	1	1331003	97044	1	Assets/Product/Texture/Image/RoleStory/V3100llsNormal01.png	HD04336BA	2
36	2	1021006	97044	1	Assets/Product/Texture/Image/RoleStory/V2150lxyNormal14.png	HD04702BA	2
37	2	1011004	97044	1	Assets/Product/Texture/Image/RoleStory/V132lNormal01.png	HD04701BA	2
38	2	1031001	97044	1	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	HD04703BA	2
39	2	1041003	97044	1	Assets/Product/Texture/Image/RoleStory/V3600BiankaNormal04.png	HD04704BA	2
40	2	1051005	97044	1	Assets/Product/Texture/Image/RoleStory/V2170qsNormal02.png	HD04705BA	2
41	2	1061002	97044	1	Assets/Product/Texture/Image/RoleStory/ShenweiNormal01.png	HD04706BA	2
42	2	1071004	97044	1	Assets/Product/Texture/Image/RoleStory/KalieninaNomal05.png	HD04707BA	2
43	2	1081004	97044	1	Assets/Product/Texture/Image/RoleStory/V280dbNormal01.png	HD04708BA	2
44	2	1021005	97044	1	Assets/Product/Texture/Image/RoleStory/V210aefNormal01.png	HD04709BA	2
45	2	1091003	97044	1	Assets/Product/Texture/Image/RoleStory/V200alNormal01.png	HD04710BA	2
46	2	1111002	97044	1	Assets/Product/Texture/Image/RoleStory/R2SufeiyaNormal01.png	HD04711BA	2
47	2	1121003	97044	1	Assets/Product/Texture/Image/RoleStory/R3kuluomuNormal02.png	HD04712BA	2
48	2	1131002	97044	1	Assets/Product/Texture/Image/RoleStory/V3400wlNormal12.png	HD04713BA	2
49	2	1171004	97044	1	Assets/Product/Texture/Image/RoleStory/V2110lnNormal06.png	HD04714BA	2
50	2	1511003	97044	1	Assets/Product/Texture/Image/RoleStory/R2KamuNormal01.png	HD04715BA	2
51	2	1141003	97044	1	Assets/Product/Texture/Image/RoleStory/LuosaitaNormal06.png	HD04716BA	2
52	2	1521004	97044	1	Assets/Product/Texture/Image/RoleStory/V290qNormal01.png	HD04717BA	2
53	2	1161002	97044	1	Assets/Product/Texture/Image/RoleStory/ChangyuNormal03.png	HD04718BA	2
54	2	1211003	97044	1	Assets/Product/Texture/Image/RoleStory/V2140wssNormal01.png	HD04719BA	2
55	2	1531005	97044	1	Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2Sai.png	HD04720BA	2
56	2	1221003	97044	1	Assets/Product/Texture/Image/RoleStory/V23021Normal01.png	HD04721BA	2
57	2	1541003	97044	1	Assets/Product/Texture/Image/RoleStory/LuolanNormal04.png	HD04722BA	2
