Id	HandCardId	OpponentCard	EffectType	EffectValue	Note
1	1011	1050	1	1	
2	1031		2	2	
3	1051	1010	3		
4	1031	1011	1	2	
5	1010	1020	4	1	
6	1010	1030	4	1	
7	1010	1040	4	1	
8	1010	1050	4	1	
110	2010	2050	1	1	
111	2011	2030	1	1	
112	2011	2040	1	1	
113	2011	2050	1	1	
120	2020		2	2	
121	2021	2030	4	2	
122	2021	2040	4	2	
123	2021	2050	4	2	
124	2021		2	2	
130	2030		2	3	
131	2040	2031	1	1	
132	2050	2031	1	2	
133	2031		2	3	
140	2040		2	4	
141	2041		2	6	
150	2050		2	5	
210	3010	3050	1	1	
211	3011	3050	1	1	
212	3011	3021	6		
213	3011	3041	6		
214	3011	3011	6		
220	3020		2	2	
221	3021		2	2	
222	3021	3041	7	10	
223	3021	3050	7	10	
230	3030		2	3	
240	3040		2	4	
241	3041		5	4	
250	3050		2	5	
