Id	Type	Params	Formula	Desc
1	13102	[1]		泛用机体是装甲类型
2	13102	[2]		泛用机体是敢死类型
3	13102	[3]		泛用机体是生化类型
4	13102	[1, 2, 3]		全泛用机体
5	10107	[50]		指挥官等级小于50级
6	10107	[40]		指挥官等级小于40级
7	10105	[10030202]		通关普通剧情3-6副本
8	10105	[10050202]		通关普通剧情5-6副本
9	15110			已开启纷争战区
10	15111			已开启幻痛囚笼
100	10101	[1]		指挥官等级到达1级
301	10102	[1011002]		拥有泛用机体里·异火
302	10102	[1021001]		拥有泛用机体露西亚·红莲
303	10102	[1031001]		拥有泛用机体丽芙·蚀暗
304	10102	[1041002]		拥有泛用机体比安卡·零度
305	10102	[1051001]		拥有泛用机体七实·风暴
306	10102	[1061002]		拥有泛用机体神威·重能
307	10102	[1071002]		拥有泛用机体卡列尼娜·爆裂
308	10102	[1081002]		拥有泛用机体渡边·夜刃
309	10102	[1021002]		拥有泛用机体露西亚·黎明
310	10102	[1031002]		拥有泛用机体丽芙·流光
311	10102	[1061003]		拥有泛用机体神威·暗能
312	10102	[1031003]		拥有泛用机体丽芙·仰光
313	10102	[1071003]		拥有泛用机体卡列尼娜·烬燃
314	10102	[1011003]		拥有泛用机体里·乱数
315	10102	[1051003]		拥有泛用机体七实·脉冲
316	10102	[1021003]		拥有泛用机体露西亚·深红之渊
317	10102	[1081003]		拥有泛用机体渡边·夙星
318	10102	[1091002]		拥有泛用机体艾拉·溢彩
319	10102	[1041003]		拥有泛用机体比安卡·真理
320	10102	[1111002]		拥有泛用机体苏菲亚·银牙
321	10102	[1121002]		拥有泛用机体库洛姆·弧光
322	10102	[1021004]		拥有泛用机体露西亚·鸦羽
323	10102	[1131002]		拥有泛用机体薇拉·瑰丽
324	10102	[1511003]		拥有独域机体卡穆·狂犬
325	10102	[1141003]		拥有泛用机体罗塞塔·凛冽
326	10102	[1521003]		拥有独域机体曲·雀翎
327	10102	[1161002]		拥有泛用机体常羽·游麟
