Id	GroupId	Name	Desc
100008	4006	指挥官休息室	指挥官专属休息室入口，滑门配备了顶尖的虹膜识别系统。
100003	4006	建设广场	商业开发计划遭遇神秘阻力，灰鸦指挥官临危受命出任首席特派员，全权督办开发计划实施，追查隐匿在暗处的幕后黑手……
100002	4006	经营咖啡厅	库洛洛咖啡曾经是最为热门的休闲去处之一，最近经营状况却不甚理想。罗斯店长究竟遭遇了什么麻烦？咖啡杯里的风波，就此展开……
100007	4006	星幕树下	时序广场是商业区各类事务的枢纽，星幕树见证了属于空中花园的繁荣。
100010	4006	广场走廊	直通时序广场的走廊。虽然看起来有些清冷，但却是舰内通勤的必经之路。
100001	4006	映空竞跃	由星寰娱乐开发的VR娱乐装置，因其丰厚的排行奖励而风靡一时。人们对它的评价一如星寰娱乐的宣传标语：刺激！快乐！安全！
100006	4006	库洛洛咖啡	商业区内颇受欢迎的咖啡店，由从业经验丰富的店主罗斯经营。
100011	4006	食府门庭	门庭若市的九龙主题食府，站在店门前似乎就能嗅到热炒的诱人香气。
100012	4006	街角休闲区	环星长廊附属的公共休闲区，为购物者们提供了极大的便利。
100009	4006	舰内升降舱-3楼	由碳纳米纤维制成、超导材料驱动的高速电梯。此处为三楼停泊点。
100013	4006	舰内升降舱-1楼	由碳纳米纤维制成、超导材料驱动的高速电梯。此处为一楼停泊点。
100004	4006	星辰酿泡	广受赞誉的综合休闲场所，以精致的特调饮品闻名。
100015	4006	环形大道	商业露天广场四通八达，是名副其实的空中花园枢纽地带。
100014	4006	映空竞跃	由星寰娱乐开发的VR娱乐装置，因其丰厚的排行奖励而风靡一时。人们对它的评价一如星寰娱乐的宣传标语：刺激！快乐！安全！
100005	4006	跨区关口	商业露天广场附近的跨区关口，可由此处前往商业B区。
