Id	GroupId	Name	Desc
1100001	5001	军事警备区三层	军事警备区的无人机操作间，靠近大宗物流管线，方便转运回收物资。
1100002	5001	军事警备区二层	经过安检廊桥后，即为军事警备区主要行政、训练，整备区域，配备制式标准会议室，武器整备室。
1100003	5001	奥林匹亚艺术馆	由艺术协会开办的大众艺术馆，空中花园的标志性地标之一，一座集科普教育、收藏研究于一体的综合艺术机构。
1100004	5001	环空影像馆	坐落于商业区核心地带的电影院与影像资料中心，同时也是主题电影节、快闪活动，艺术展举办地。
1100005	5001	梦晖绿荫	商业区的开放式温室绿洲，为往来商业区的游客提供落脚之地，了解、学习绿植耕作知识的科普场所。
1100006	5001	知慧游廊	奥林匹亚艺术馆与环空影城连接的公共室外区域，在政府邀请下由艺术协会主办修葺，艺术气息裴然。
1100007	5001	跨区关口	位于环空影像馆附近的跨区关口，可由此处前往商业A区。
1100008	5001	过渡段坡道升降梯	军事警备区通往商业区的隘口，可由此处前往知慧游廊。
1100009	5001	过渡段坡道升降梯	商业区通往军事警备区的隘口，可由此处前往军备区一层。
1100010	5001	薇拉	
