Id	Name	ConditionIds	Priority	SkipId	BtnContent	NpcName	NpcHandIcon	Type	UiType	StartTimeStr	EndTimeStr	ContentsGroupId
800	情人节通讯里	[7100]	55		节日快乐，里	里	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	1	2	2020/2/14 0:00	2020/2/16 23:59	800
801	情人节通讯丽芙	[7101]	56		情人节快乐，丽芙	丽芙	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	1	2	2020/2/14 0:00	2020/2/16 23:59	801
802	情人节通讯神威	[7102]	57		情人节快乐	神威	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	1	2	2020/2/14 0:00	2020/2/16 23:59	802
803	情人节通讯露西亚	[7103]	58		我也喜欢露西亚，节日快乐	露西亚	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	1	2	2020/2/14 0:00	2020/2/16 23:59	803
804	情人节通讯七实	[7104]	59		谢谢。	七实	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	1	2	2020/2/14 0:00	2020/2/16 23:59	804
805	情人节通讯比安卡	[7105]	60		情人节快乐，比安卡	比安卡	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	1	2	2020/2/14 0:00	2020/2/16 23:59	805
806	情人节通讯卡列	[7106]	61		谢，谢谢。	卡列尼娜	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png	1	2	2020/2/14 0:00	2020/2/16 23:59	806
807	情人节通讯艾拉	[7107]	62		谢谢。	艾拉	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAila1.png	1	2	2020/2/14 0:00	2020/2/16 23:59	807
808	情人节通讯渡边	[7108]	63		情人节快乐！	渡边	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png	1	2	2020/2/14 0:00	2020/2/16 23:59	808
809	情人节通讯露西亚	[7109]	64		谢谢。	α	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuxiyaaerfa1SS.png	1	2	2020/2/14 0:00	2020/2/16 23:59	809
900	赛利卡		56		……好，那么六一快乐。	赛利卡	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	2	2	2020/6/1 0:00	2020/6/1 23:59	900
