Id	Name	Priority	Hint	Condition	Type	FunctionType
1	目标	1	1	[770417]	1	1
2	预留	2			1	1
3	充值	3		[200000]	1	1
4	设置	4			1	1
5	签到	4		[770200]	1	1
6	反馈	6			1	1
7	福利	5		[200000]	1	1
8	兑换码	6			1	1
9	备案号	6			1	1
10	主界面右侧活动按钮	6			1	1
11	主界面左侧活动按钮	6			1	1
12	打脸图	6			1	1
13	CV入口检测	6			1	1
14	主界面音乐播放器	6			1	1
101	泛用机体	7			1	1
102	成员-晋升	8			1	1
103	成员-进化	9	1		1	1
104	成员-技能	10			1	1
105	成员军团	55		[770400]	1	1
106	成员-独域机体	10	1	[8005]	1	1
107	成员-技能跃升	11	1		1	1
108	成员-独域跃迁	11			1	1
109	成员-解放	11		[8001]	1	1
201	装备	11			1	1
202	装备-强化	12			1	1
203	装备-共鸣	13			1	1
204	装备-一键强化	14		[770400]	1	1
206	装备-一键培养	14			1	1
207	装备目标-推荐	14		[770400]	1	1
208	装备目标-设定	14		[770400]	1	1
209	装备-谐振	14	1	[770405]	1	1
301	仓库	15			1	1
401	研发	16	1	[770402]	1	1
402	研发-装备	17			1	1
403	研发-限定/节日活动	17		[770402]	1	1
501	任务	18		[770427]	1	1
502	任务-剧情	19			1	1
503	任务-每日	20		[770425]	1	1
504	任务-活动	21			1	1
505	任务-每周	22	1	[770411]	1	1
601	战队	23			1	1
602	战队-烙印（找不到，应该下架了）	24		[862836]	1	1
603	战队-成就	25		[200000]	1	1
604	战队-回顾	26			1	1
701	邮件	27			1	1
801	好友	28		[770409]	1	1
802	频道聊天	29		[770409]	1	1
803	频道聊天--世界聊天	29		[770409]	1	1
901	基建-基地装备	30		[770800]	1	1
902	宿舍	31	1	[200000]	1	1
903	宿舍委托	32		[200000]	1	1
1001	常规商店	32	1	[770400]	1	1
1002	活动商店	33		[770400]	1	1
1003	凭据商店-凭据兑换台	34		[5001]	1	1
1004	累充商店	102			1	1
1201	派遣	35		[771200]	1	1
1301	赏金任务（旧活动，维系者前身）	47		[771400]	1	1
1302	维系者行动	47	1	[770408]	1	1
1303	指导	110	1	[870003]	1	1
1304	终焉福音	111		[770400]	1	1
1305	尼尔副本	112		[5001]	1	1
1306	空想环廊	115		[601000]	1	1
1307	追击玩法	59		[5001]	1	1
1308	节日副本活动（卡池剧情）	59		[770410]	1	1
1309	白色情人节约会活动	118		[774800]	1	1
1310	伊甸文化纪	59		[84601200]	1	1
1400	信赖度	48		[200000]	1	1
1401	信赖度-档案	49		[200000]	1	1
1402	信赖度-剧情	50		[200000]	1	1
1403	信赖度-礼物	51		[200000]	1	1
1404	信赖度-偶遇	52		[200000]	1	1
1501	自定义控件	46		[774000]	1	1
1601	意识营救战	53		[770423]	1	1
1701	间章旧闻/角色碎片	35		[770400]	1	1
1800	赛利卡补习班	79		[774501]	1	1
1801	辅助机教学	80	1	[8006]	1	1
1802	法奥斯评级委员会	79	1	[770424]	1	1
1803	教学数据演习	79			1	1
1901	公会	38	1	[862840]	1	1
1902	公会-创建	38			1	1
1903	公会-加入	38			1	1
1904	拟真围剿	38	1	[772310]	1	1
1905	公会音乐播放器	38			1	1
2001	支援系统	39	1	[862842]	1	1
2100	收藏系统	99		[200000]	1	1
