Id	Name	ConditionIds	Priority	SkipId	BtnContent	NpcName	NpcHandIcon	Type	UiType	ContentsGroupId
100	哈桑回顾	[863058]	1	21	好的，我知道了	哈桑	Assets/Product/Texture/Image/RoleCharacter/HasangNomal01.png	1	1	100
101	剧情任务	[200000]	1	21	好的，我知道了	丽芙	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	1	1	101
102	获得角色丽芙	[70102]	2		欢迎入队，丽芙	丽芙	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	1	1	113
103	技能升级	[70103]	3	21	好的，我知道了	露西亚	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	1	1	103
104	新手目标	[70104]	4	21	好的，我知道了	赛利卡	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	1	1	104
105	角色晋升	[200000]	5	21	好的，我知道了	露西亚	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	1	1	105
1	签到	[200000]	6	21	好的，我知道了	丽芙	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	1	1	1
2	角色碎片	[84100111]	26	21	好的，我知道了	丽芙	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	1	1	114
3	研发系统	[70105]	8	21	好的，我知道了	？？？	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	1	1	3
111	引导主线任务	[200000]	9	21	好的，我知道了	露西亚	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	1	1	111
106	引导开放所有资源关	[70111]	10	21	好的，我知道了	露西亚	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	1	1	115
4	普通商店	[70004]	11	21	好的，我知道了	丽芙	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	1	1	4
5	开启赛利卡考级	[770424]	12	21	好的，我知道了	赛利卡	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	1	1	5
107	引导师徒系统	[200000]	13	21	好的，我知道了	赛利卡	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	1	1	117
108	引导工会系统	[84100405]	14	21	好的，我知道了	赛利卡	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	1	1	118
6	引导辅助机	[8006]	15	21	好的，我知道了	赛利卡	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	1	1	116
7	装备突破本	[200000]	16	21	好的，我知道了	里	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	1	1	7
8	意识营救战	[863061]	17	21	好的，我知道了	阿西莫夫	Assets/Product/Texture/Image/RoleCharacter/AximofuNomal01.png	1	1	8
