Id	Name	Desc	Banner	CGAsset	RewardId
1	靠近的距离	猜想得到验证，里接纳你的靠近且并不满足于此。“那就更努力一点吧，把它们变成百分之百。”	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtainInvitation/InvitationEnding/Li101.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtainInvitation/InvitationEnding/Li101.png	7000216
2	健康“危机”	一场检查造成的乌龙，好消息是里的健康尚未出现问题，坏消息是你自己也没能“逃过一劫”。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtainInvitation/InvitationEnding/Li102.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtainInvitation/InvitationEnding/Li102.png	7000217
3	星梦与花海	你与丽芙终于找到了她梦中的花海，在繁花与星空之下，你们的双手紧紧相握……	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtainInvitation/InvitationEnding/Lifu103.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtainInvitation/InvitationEnding/Lifu103.png	7000213
4	生长于手心	你变成了一颗太空花种。在丽芙的小心呵护与关爱之下，你终于健康长大，平安地来到了她的身边……	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtainInvitation/InvitationEnding/Lifu104.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtainInvitation/InvitationEnding/Lifu104.png	7000214
5	彼端的誓言	与万事之间的约定，已无需用言语传递，这份默契，会一直珍藏于心。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtainInvitation/InvitationEnding/Li101.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtainInvitation/InvitationEnding/Li101.png	7000214
6	午夜回响	就让这段只属于二人的私语，一直回响在长夜里吧。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtainInvitation/InvitationEnding/Li101.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtainInvitation/InvitationEnding/Li101.png	7000214
7	灵魂共振	巧妙的仪器让心意通过触碰传递，她的温度从指尖蔓延，流入心房。这是独属于你和赛琳娜的共鸣之歌。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtainInvitation/InvitationEnding/Li101.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtainInvitation/InvitationEnding/Li101.png	7000214
8	隐形情书	书信的内容被暂时藏匿，但想说的话，彼此间心照不宣。她让心动成为显化剂，答案就此浮现。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtainInvitation/InvitationEnding/Li101.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtainInvitation/InvitationEnding/Li101.png	7000214
9	咫尺之间	或许真的存在一个平行宇宙：在令人昏昏欲睡的午后，你们于教室一隅，距离不过咫尺之间。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtainInvitation/InvitationEnding/Li101.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtainInvitation/InvitationEnding/Li101.png	7000214
10	无法斩断之物	刀刃可以斩断束缚，却割不断悄然萌生的羁绊。那些没能被抹去的温度与痕迹，终成了我们之间无法斩断的联结。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtainInvitation/InvitationEnding/Li101.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtainInvitation/InvitationEnding/Li101.png	7000214
