Id	BaseVideoId	ConditionId	Title	Height	Width	VideoUrl	VideoUrlPc
100001			空花开场视频	804.0	1920.0	External/Video/BigWorld/SkyGarden/Movie100001.usm	External/VideoPC/BigWorld/SkyGarden/Movie100001.usm
100002			火露好感剧情	804.0	1920.0	External/Video/BigWorld/SkyGarden/Movie100002.usm	External/VideoPC/BigWorld/SkyGarden/Movie100002.usm
100003			空花开场剧情2	804.0	1920.0	External/Video/BigWorld/SkyGarden/Movie100003.usm	External/VideoPC/BigWorld/SkyGarden/Movie100003.usm
100201			罗塞塔开篇动态漫1	804.0	1920.0	External/Video/BigWorld/SkyGarden/Movie100201.usm	External/VideoPC/BigWorld/SkyGarden/Movie100201.usm
100202			罗塞塔深潜动态漫2	804.0	1920.0	External/Video/BigWorld/SkyGarden/Movie100202.usm	External/VideoPC/BigWorld/SkyGarden/Movie100202.usm
100203			v4.2罗塞塔空花序章-10	804.0	1920.0	External/Video/BigWorld/SkyGarden/Movie100203.usm	External/VideoPC/BigWorld/SkyGarden/Movie100203.usm
100204			v4.2罗塞塔空花序章-13女指	804.0	1920.0	External/Video/BigWorld/SkyGarden/Movie100204.usm	External/VideoPC/BigWorld/SkyGarden/Movie100204.usm
100205			无人机教学视频1	1080.0	1920.0	External/Video/BigWorld/SkyGarden/Movie100205.usm	External/VideoPC/BigWorld/SkyGarden/Movie100205.usm
100206			无人机教学视频2	1080.0	1920.0	External/Video/BigWorld/SkyGarden/Movie100206.usm	External/VideoPC/BigWorld/SkyGarden/Movie100206.usm
100207			无人机教学视频3	1080.0	1920.0	External/Video/BigWorld/SkyGarden/Movie100207.usm	External/VideoPC/BigWorld/SkyGarden/Movie100207.usm
100208			无人机教学视频4	1080.0	1920.0	External/Video/BigWorld/SkyGarden/Movie100208.usm	External/VideoPC/BigWorld/SkyGarden/Movie100208.usm
100209			v4.2罗塞塔空花序章-13男指	804.0	1920.0	External/Video/BigWorld/SkyGarden/Movie100209.usm	External/VideoPC/BigWorld/SkyGarden/Movie100209.usm
