Id	Name	ModelId
70010	里	['R2LiangMd010011RPG']
70020	露西亚	['R1LuxiyaMd010011RPG']
70030	丽芙	['R1LifuMd010011RPG']
70040	比安卡	['R2BiankaMd010011']
70050	七实	['R2YongyechaoMd010011']
70060	神威	['R2ShenweiMd010011']
70070	卡列尼娜	['R2KalieninaMd010011']
70080	渡边	['R2DubianMd010011']
70120	露西亚·黎明	['R2LuxiyaMd010011']
70130	丽芙	['R2LifuMd010011']
70230	丽芙	['R3LifuMd010011']
70110	里-乱数	['R3LiangMd010011']
70111	里-乱数	['R3LiangMd010021']
70090	艾拉	['R2AilaMd010011']
70100	苏菲亚	['R2SufeiyaMd010011']
70011	里	['R2LiangMd010011']
70021	露西亚	['R1LuxiyaMd010011']
70031	丽芙	['R1LifuMd010011']
70041	比安卡	['R2BiankaMd010011']
70051	七实	['R2YongyechaoMd010011']
70061	神威	['R2ShenweiMd010011']
70071	卡列尼娜	['R2KalieninaMd010011']
70081	渡边	['R2DubianMd010011']
70121	露西亚·黎明	['R2LuxiyaMd010011']
70131	丽芙	['R2LifuMd010011']
70231	丽芙	['R3LifuMd010011']
71020	库洛姆	['R2KuluomuMd010031']
70220	露西亚三阶	['R3LuxiyaMd010011']
81100	突击壁垒	['Mb1TankarmorMd030001']
81110	突击壁垒-歼灭	['Mb1TankarmorMd030002']
81200	武藏玖型	['Me1SwordMd002001']
81300	蔷薇之剑	['Mb1SwordMd030001']
81310	蔷薇之剑（黑暗）	['Mb1SwordMd030001']
81400	修女	['Mb1LadyMd10001']
81401	修女	['Mb1LadyMd10001']
81410	殉道者	['Mb1LadybabyMd10001']
81420	重型收割机	['Mb1RobotarmorMd030001']
81430	武藏玖型	['Me1SwordMd002001']
81500	喷涂机械	['Mb1OrphanMd030001']
81600	罗兰	['Mb1LuolanMd010001']
81700	苦刑之女	['Mb1VirginbioMd030001']
81710	苦刑之女障碍尖刺	
81800	瓦沙克	['Mb1SandwormMd030001']
81900	不明构造体α	['Mb1LuxiyaMd000003']
82100	重型收割机	['Mb1RobotarmorMd030001']
20100	能量泄露区域	
20110	能量球	
82130	电球召唤物	['Mb1BaodongchibangMd000001']
82140	电球战斗节奏控制	
82150	暴动	['Mb1BraveMd010011']
82160	暴动炎虫	['Mo1LiebianyuanchongMd000001']
83100	卡穆	['Mb1XiuMd010003']
83110	卡穆	['Mb1XiuerjieMd000001']
83200	罗塞塔	['Mb1LuosaitamaMd000001']
83220	罗塞塔（人形）	['Mb1LuosaitarenMd000001']
83111	卡穆	['Mb1XiuerjieMd000001']
83102	卡穆 刀	
87010	欧西里斯	['Mb1OsirisMd000001']
87020	审判之眼	['Mb1OsirisyanjingMd000001']
87030	处刑之眼	['Mb1OsirischibangMd000001']
87050	透明龙卷风	
87310	罗塞塔	['Mb1LuosaitamaMd000001']
87320	坍缩炸弹	
87330	罗塞塔	['Mb1LuosaitarenMd000001']
87360	异聚核心·拟态	['Mb1CubeMd050001']
87370	异聚核心·拟态	
87380	异聚核心·拟态	['Mb1CubedizuoMd000001']
87390	异聚核心·扫描	['Mb1FangjianbeiMd000001']
87400	异聚核心·扫描	['Mb1FangjianbeiMd000001']
87410	异聚核心	['Mb1CubejiaoMd000001']
87420	异聚粒子	
87430	异聚核心	['Mb1CubejiaoMd000001']
87440	异聚粒子	
83400	轨道异合体	['Mb1TrackalienMd010001']
83500	曲	['Mb1MelodyMd010001']
83520	华胥	['Mb1MelodyhuaxuMd10001']
83600	加百列	['Mb1JiabailieMd000001UI1', 'Mb1JiabailieMd000001UI2']
811000	突击壁垒	['Mb1TankarmorMd030001']
811100	突击壁垒-歼灭	['Mb1TankarmorMd030002']
811200	突击壁垒	['Mb1TankarmorMd030001']
811201	突击壁垒-严冰	['Mb1TankarmorMd030011']
811300	突击壁垒-歼灭	['Mb1TankarmorMd030002']
812000	武藏玖型	['Me1SwordMd002001']
813000	蔷薇之剑	['Mb1SwordMd030001']
813100	蔷薇之剑（黑暗）	['Mb1SwordMd030001']
814000	修女	['Mb1LadyMd10001']
814010	修女	['Mb1LadyMd10001']
814100	殉道者	['Mb1LadybabyMd10001']
814200	重型收割机	['Mb1RobotarmorMd030001']
814300	武藏玖型	['Me1SwordMd002001']
815000	喷涂机械	['Mb1OrphanMd030001']
816000	罗兰	['Mb1LuolanMd010001']
817000	苦刑之女	['Mb1VirginbioMd030001']
818000	瓦沙克	['Mb1SandwormMd030001']
819000	不明构造体α	['R3LuxiyaMd010011']
821000	重型收割机	['Mb1RobotarmorMd030001']
201000	能量泄露区域	
201100	能量球	
821300	电球召唤物	['Mb1BaodongchibangMd000001']
821400	电球战斗节奏控制	
821500	暴动	['Mb1BraveMd010011']
821501	科罗廖夫	['Mb1BraveMd010011']
821600	暴动雷虫	['Mo1LiebianyuanchongMd000001']
831000	卡穆	['Mb1XiuMd010001']
831100	卡穆	['Mb1XiuerjieMd000001']
870100	欧西里斯	['Mb1OsirisMd000001']
870200	审判之眼	['Mb1OsirisyanjingMd000001']
870300	处刑之眼	['Mb1OsirischibangMd000001']
870500	透明龙卷风	
870600	轨道异合体	['Mb1TrackalienMd010001']
870601	轨道异合体（左肢体）	['Me1JinweiMd000001']
870602	轨道异合体（前肢体）	['Me1JinweiMd000001']
870603	轨道异合体（右肢体）	['Me1JinweiMd000001']
870604	棱镜装置（左）	['Mb1PrismMd010001']
870605	棱镜装置（右）	['Mb1PrismMd010001']
870606	轨道异合体（左挡板）	['Mb1CubebaifangkuaiMd000001']
