Id	Type	Add	IconPath	ShowTimeStr
1201	1			
1301	1			
1304	1			
1401	1			
1404	1			
1407	1			
1410	1			
1413	3	公测预约限定意识	Assets/Product/Texture/Atlas/UiArchive/UiArchiveLogo.png	
1501	1		Assets/Product/Texture/Atlas/UiArchive/UiArchiveLogo.png	
1502	1		Assets/Product/Texture/Atlas/UiArchive/UiArchiveLogo.png	
1503	1			
1504	1			
1505	1			
1506	1			
1507	1		Assets/Product/Texture/Atlas/UiArchive/UiArchiveLogo.png	
1508	1			
1550	3	圣诞限定意识		
1551	3	春节限定意识		
1552	3	元宵限定意识		
1601	1		Assets/Product/Texture/Atlas/UiArchive/UiArchiveLogo.png	
1602	1			
1603	1		Assets/Product/Texture/Atlas/UiArchive/UiArchiveLogo.png	
1604	1			
1605	1		Assets/Product/Texture/Atlas/UiArchive/UiArchiveLogo.png	
1606	1		Assets/Product/Texture/Atlas/UiArchive/UiArchiveLogo.png	
1607	1			
1608	1		Assets/Product/Texture/Atlas/UiArchive/UiArchiveLogo.png	
1609	1		Assets/Product/Texture/Atlas/UiArchive/UiArchiveLogo.png	
1610	1			
1611	1		Assets/Product/Texture/Atlas/UiArchive/UiArchiveLogo.png	
1612	1			
1613	1			
1614	1			
1615	1			
1416	2			
1509	2			
1616	2			
1555	3	KFC合作意识		
1556	3	KFC合作意识		
1617	1			
1618	2			
1619	1			
1620	2			
1622	1			
1625	1			
1553	3	周年限定意识		
1623	2			
1557	3	中秋限定意识		
1624	1			
1558	3	二周年限定意识		
1626	2			
1627	1			
1628	2			
1629	1			
1630	2			
1631	1			
1632	1			
1633	1			
1634	1			
1559	3	三周年限定意识		
1560	3	活动限定意识		
1561	3	四周年限定意识		
1569	3	五周年限定意识		
1635	1			
1636	1			
1637	1			
1638	1			
1639	2			
1640	1			
1641	1			
1642	1			
1643	1			
1644	1			
1645	1			
1646	1			
1647	1			
20001	3	活动限定意识		
20002	3	活动限定意识		
1562	3	联动意识		
1563	3	联动意识		
1564	3	联动意识		
1565	3	联动意识		
1566	3	联动意识		
1567	3	联动意识		
1568	3	联动意识		
1648	1			
1649	1			
1650	1			
1651	1			
1652	1			
1653	1			
1570	3	联动意识		
1571	3	5.5周年限定意识		
1654	1			
1655	1			
1572	3	6周年限定意识		
1656	1			
1657	1			
1658	1			
1659	1			
1660	1			
1661	1			
1662	1			
