Id	Order	GroupName	CollectionTitle	CollectionContent	CollectNum	IconPath	CgId
1	1	双枪	['双枪收藏家Ⅰ', '双枪收藏家Ⅱ', '双枪收藏家Ⅲ']	['下阶段所需收集', '下阶段所需收集', '已达到最高收集等级']	[2, 4, 6]	['Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon031.png', 'Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon032.png', 'Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon033.png']	[0, 0, 0]
2	2	太刀	['太刀收藏家Ⅰ', '太刀收藏家Ⅱ', '太刀收藏家Ⅲ']	['下阶段所需收集', '下阶段所需收集', '已达到最高收集等级']	[2, 4, 6]	['Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon021.png', 'Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon022.png', 'Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon023.png']	[0, 0, 0]
3	3	浮游炮	['浮游炮收藏家Ⅰ', '浮游炮收藏家Ⅱ', '浮游炮收藏家Ⅲ']	['下阶段所需收集', '下阶段所需收集', '已达到最高收集等级']	[2, 4, 6]	['Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon071.png', 'Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon072.png', 'Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon073.png']	[0, 0, 0]
4	4	弓	['弓收藏家Ⅰ', '弓收藏家Ⅱ', '弓收藏家Ⅲ']	['下阶段所需收集', '下阶段所需收集', '已达到最高收集等级']	[2, 4, 6]	['Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon081.png', 'Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon082.png', 'Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon083.png']	[0, 0, 0]
5	5	电锯	['电锯收藏家Ⅰ', '电锯收藏家Ⅱ', '电锯收藏家Ⅲ']	['下阶段所需收集', '下阶段所需收集', '已达到最高收集等级']	[2, 4, 6]	['Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon051.png', 'Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon052.png', 'Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon053.png']	[0, 0, 0]
6	6	大剑	['大剑收藏家Ⅰ', '大剑收藏家Ⅱ', '大剑收藏家Ⅲ']	['下阶段所需收集', '下阶段所需收集', '已达到最高收集等级']	[2, 4, 6]	['Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon011.png', 'Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon012.png', 'Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon013.png']	[0, 0, 0]
7	7	火炮	['火炮收藏家Ⅰ', '火炮收藏家Ⅱ', '火炮收藏家Ⅲ']	['下阶段所需收集', '下阶段所需收集', '已达到最高收集等级']	[2, 4, 6]	['Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon061.png', 'Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon062.png', 'Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon063.png']	[0, 0, 0]
8	8	短刀	['短刀收藏家Ⅰ', '短刀收藏家Ⅱ', '短刀收藏家Ⅲ']	['下阶段所需收集', '下阶段所需收集', '已达到最高收集等级']	[2, 4, 6]	['Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon041.png', 'Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon042.png', 'Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon043.png']	[0, 0, 0]
9	9	镰刀	['镰刀收藏家Ⅰ', '镰刀收藏家Ⅱ', '镰刀收藏家Ⅲ']	['下阶段所需收集', '下阶段所需收集', '已达到最高收集等级']	[2, 4, 6]	['Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon091.png', 'Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon092.png', 'Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon093.png']	[0, 0, 0]
10	100	独域·大剑		['【卡穆·狂犬】专用']			
11	10	枪盾		['【罗塞塔·凛冽】专用']			
13	101	独域·龙枪		['【曲·雀翎】专用']			
14	11	拳套		['【常羽·游麟】专用']			
17	12	增幅器		['【露娜·银冕】专用']			
12	13	太刀&大剑		['【2B】专用']			
15	14	战术枪		['【A2】专用']			
16	15	太刀		['【9S】专用']			
18	16	枪械组		['【万事·明觉】专用']			
19	102	独域·提琴剑		['【赛琳娜·岚音】专用']			
20	17	铳刃		['【库洛姆·荣光】专用']			
21	18	协作子机		['【21号·XXI】专用']			
22	103	独域·链刀		['【罗兰·戏炎】专用']			
23	19	旗枪		['【薇拉·绯耀】专用']			
24	20	权杖		['【丽芙·极昼】专用']			
25	21	笛剑		['【赛琳娜·幻奏】专用']			
26	104	独域·回旋龙厄		['【蒲牢·华钟】专用']			
27	22	超电锯		['【七实·遥星之座】专用']			
28	23	重破锤		['【卡列尼娜·辉晓】专用']			
29	105	独域·释能剑		['【诺安·逆旅】专用']			
30	24	剑杖		['【比安卡·深痕】专用']			
31	25	螳螂刃		['【邦比娜塔·琉璃】专用']			
32	26	复合兵装		['【里·超刻】专用']			
33	27	光束铳枪		['【艾拉·万华】专用']			
34	28	封刃太刀		['【露西亚·深红囚影】专用']			
35	29	折扇		['【含英·清商】专用']			
36	30	爪刃		['【21号·森息】专用']			
37	31	机械臂		['【诺克提·擎驱】专用']			
38	32	异刃戟		['【拉弥亚·深谣】专用']			
39	33	刃炮		['【BRS】专用']			
40	34	拓刀		['【渡边·尘铭】专用']			
41	35	长剑		['【曲·启明】专用']			
42	36	战术耳机		['【布偶熊·觅语】专用']			
43	37	月轮		['【露娜·终焉】专用']			
44	38	战术旋棍		['【布丽姬特·耀炎】专用']			
45	39	琵琶		['【含英·檀心】专用']			
46	40	左轮手枪		['【万事·明晰梦】专用']			
47	41	光纹太刀		['【露西亚·誓焰】专用']			
48	42	动力臂组		['【八咫·徊闪】专用']			
49	43	盾斧		['【七实·芒星之迹】专用']			
50	44	钥杖		['【伊什梅尔·幻日】专用']			
51	45	月伞		['【莉莉丝·谬影】专用']			
