Id	Name	GridCount	LandType	ScaleWan	RotationYWan	Model	ModelCenterIcon	ModelSideIcon	EventPool	FinishLandformId	IsPreview	IsExplored	Icon	BriefDesc	Description	TipId	TipTurnNumber
301	可建造区域	3	3	10000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim_BuildingWood01.prefab							Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg12.png		这片荒地似乎很适合建造建筑。不同类型的建筑，会为旅途产生不同的影响。		
500	椰子树	1	7	5000	900000	Assets/Product/Scene/SuShe/Furniture/SusheV300/IslandCoconutpalm001/IslandCoconutpalm001.prefab									没有什么作用的树		
501	船	1	7	5000		Assets/Product/Scene/SuShe/Furniture/SusheV300/IslandPirateship001/IslandPirateship001.prefab									小船		
502	草丛	1	7	5000		Assets/Product/Scene/SuShe/Furniture/SusheV300/IslandBerry001/IslandBerry001.prefab									小草丛		
700	无用的地面	1	7	10000													
701	特供黑幕地块	1	7	10000													
702	QQ小人	1	7	10000	2000000	Assets/Product/Role/Room/Prefab/QR3CibeizheMd010011.prefab					True		Assets/Product/Texture/Image/UiPlanet/UiPlanetBuildIcon05.png		小人测试		1
711	特殊事件	1	4	10000	2000000	Assets/Product/Role/Room/Prefab/QR5YongyechaoMd010011.prefab				700			Assets/Product/Texture/Image/Role/RoleHeadR6Yongyechao1Q.png		似乎有谁传来了联络？		
712	特殊事件	1	4	10000	2000000	Assets/Product/Role/Room/Prefab/QR2SufeiyaMd010011.prefab				700			Assets/Product/Texture/Image/Role/RoleHeadSufeiyaQ.png		似乎有谁传来了联络？		
713	特殊事件	1	4	10000	2000000	Assets/Product/Role/Room/Prefab/QR5YongyechaoMd010011.prefab				700			Assets/Product/Texture/Image/Role/RoleHeadR6Yongyechao1Q.png		似乎有谁传来了联络？		
714	特殊事件	1	4	10000	2000000	Assets/Product/Role/Room/Prefab/QR3AilaMd010011.prefab				700			Assets/Product/Texture/Image/Role/RoleHeadR3Aila1Q.png		似乎有谁传来了联络？		
715	特殊事件	1	4	10000	2000000	Assets/Product/Role/Room/Prefab/QR4KalieninaMd010011.prefab				700			Assets/Product/Texture/Image/Role/RoleHeadR4KalieninaQ.png		似乎有谁传来了联络？		
716	特殊事件	1	4	10000	2000000	Assets/Product/Role/Room/Prefab/QR3CibeizheMd010011.prefab				700			Assets/Product/Texture/Image/Role/RoleHeadR3Cibeizhe1Q.png		似乎有谁传来了联络？		
717	特殊事件	1	4	10000	2000000	Assets/Product/Role/Room/Prefab/QR5YongyechaoMd010011.prefab				700			Assets/Product/Texture/Image/Role/RoleHeadR6Yongyechao1Q.png		似乎有谁传来了联络？		
1301	海岛拍卖行	3	3	8000	300000	Assets/Product/Scene/QPlanet/Building/Perfabs/QplanetBuild01.prefab					True		Assets/Product/Texture/Image/UiPlanet/UiPlanetBuildIcon05.png		什么都卖，有钱你就来买		1
1302	顺顺许愿池	3	3	10000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim_BuildingWild01.prefab					True		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimChooseCity02.png		童叟无欺，百试百灵啊。\n<i>激活后，每隔4个季度可花费金贝进行一次许愿</i>		1
1303	赢赢银行	3	3	8000	300000	Assets/Product/Scene/QPlanet/Building/Perfabs/QplanetBuild05.prefab					True		Assets/Product/Texture/Image/UiPlanet/UiPlanetBuildIcon01.png		给你送钱的，不要不相信啊		1
1304	打灰队	1	4	10000			Assets/Product/Texture/Image/IconTools/ItCharBirthday53.png			700			Assets/Product/Texture/Image/IconTools/ItCharBirthday53.png		快来加入土木工程吧！		
1305	废品站	1	4	10000			Assets/Product/Texture/Image/IconTools/IconStronghold002.png			700			Assets/Product/Texture/Image/IconTools/IconStronghold002.png		陈旧的废品站		
1306	授课中心	1	4	10000			Assets/Product/Texture/Image/IconTools/IconDoubleTowerCoin.png			700			Assets/Product/Texture/Image/IconTools/IconDoubleTowerCoin.png		学习经验的地方		
3001	主城	7	1	10000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Build001.prefab					True	True	Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg00.png	我们的主城	商旅之路的起点。承载所有生产和贸易功能。		
3002	主城	7	1	10000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Build001.prefab					True	True	Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg00.png	我们的主城	商旅之路的起点。承载所有生产和贸易功能。		
3003	主城	7	1	10000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Build001.prefab					True	True	Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg00.png	我们的主城	商旅之路的起点。承载所有生产和贸易功能。		
3004	主城	7	1	10000		Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_RogueSim/Prefabs/RogueSim02_Build002.prefab					True	True	Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg07.png	我们的主城	商旅之路的起点。承载所有生产和贸易功能。		
