Id	LevelType	MinRank	MaxRank	MailID	RankIcon	RewardGroupId
1	1		0.0099	11000	Assets/Product/Texture/Image/Common/BossSingleNo1.png	
2	1	0.0099	0.05	11001	Assets/Product/Texture/Image/Common/BossSingleNo2.png	
3	1	0.05	0.1	11002	Assets/Product/Texture/Image/Common/BossSingleNo3.png	
4	1	0.1	0.3	11003		
5	1	0.3	0.9499	11004		
12	2		0.0099	12000	Assets/Product/Texture/Image/Common/BossSingleNo1.png	
13	2	0.0099	0.05	12001	Assets/Product/Texture/Image/Common/BossSingleNo2.png	
14	2	0.05	0.1	12002	Assets/Product/Texture/Image/Common/BossSingleNo3.png	
15	2	0.1	0.3	12003		
16	2	0.3	0.9499	12004		
23	3		0.0099	13000	Assets/Product/Texture/Image/Common/BossSingleNo1.png	
24	3	0.0099	0.05	13001	Assets/Product/Texture/Image/Common/BossSingleNo2.png	
25	3	0.05	0.1	13002	Assets/Product/Texture/Image/Common/BossSingleNo3.png	
26	3	0.1	0.3	13003		
27	3	0.3	0.9499	13004		
28	4		0.0099	14000	Assets/Product/Texture/Image/Common/BossSingleNo1.png	
29	4	0.0099	0.05	14001	Assets/Product/Texture/Image/Common/BossSingleNo2.png	
30	4	0.05	0.1	14002	Assets/Product/Texture/Image/Common/BossSingleNo3.png	
31	4	0.1	0.3	14003		
32	4	0.3	1.0	14004		
71	3		0.0099	13005	Assets/Product/Texture/Image/Common/BossSingleNo1.png	1
72	3	0.0099	0.05	13006	Assets/Product/Texture/Image/Common/BossSingleNo2.png	1
73	3	0.05	0.1	13007	Assets/Product/Texture/Image/Common/BossSingleNo3.png	1
74	3	0.1	0.3	13008		1
75	3	0.3	0.5	13009		1
76	3	0.5	0.6999	13010		1
77	3	0.6999	1.0	13011		1
81	4		0.0099	14005	Assets/Product/Texture/Image/Common/BossSingleNo1.png	1
82	4	0.0099	0.05	14006	Assets/Product/Texture/Image/Common/BossSingleNo2.png	1
83	4	0.05	0.1	14007	Assets/Product/Texture/Image/Common/BossSingleNo3.png	1
84	4	0.1	0.3	14008		1
85	4	0.3	0.5	14009		1
86	4	0.5	0.6999	14010		1
87	4	0.6999	1.0	14011		1
101	5		0.0099	11000	Assets/Product/Texture/Image/Common/BossSingleNo1.png	
102	5	0.0099	0.05	11001	Assets/Product/Texture/Image/Common/BossSingleNo2.png	
103	5	0.05	0.1	11002	Assets/Product/Texture/Image/Common/BossSingleNo3.png	
104	5	0.1	0.3	11003		
105	5	0.3	0.9499	11004		
111	6		0.0099	12000	Assets/Product/Texture/Image/Common/BossSingleNo1.png	
112	6	0.0099	0.05	12001	Assets/Product/Texture/Image/Common/BossSingleNo2.png	
113	6	0.05	0.1	12002	Assets/Product/Texture/Image/Common/BossSingleNo3.png	
114	6	0.1	0.3	12003		
115	6	0.3	0.9499	12004		
121	7		0.0099	13005	Assets/Product/Texture/Image/Common/BossSingleNo1.png	2
122	7	0.0099	0.05	13006	Assets/Product/Texture/Image/Common/BossSingleNo2.png	2
123	7	0.05	0.1	13007	Assets/Product/Texture/Image/Common/BossSingleNo3.png	2
124	7	0.1	0.3	13008		2
125	7	0.3	0.5	13009		2
126	7	0.5	0.6999	13010		2
127	7	0.6999	1.0	13011		2
131	8		0.0099	14005	Assets/Product/Texture/Image/Common/BossSingleNo1.png	2
132	8	0.0099	0.05	14006	Assets/Product/Texture/Image/Common/BossSingleNo2.png	2
133	8	0.05	0.1	14007	Assets/Product/Texture/Image/Common/BossSingleNo3.png	2
134	8	0.1	0.3	14008		2
135	8	0.3	0.5	14009		2
136	8	0.5	0.6999	14010		2
137	8	0.6999	1.0	14011		2
141	9		0.0099	14012	Assets/Product/Texture/Image/Common/BossSingleNo1.png	2
142	9	0.0099	0.05	14013	Assets/Product/Texture/Image/Common/BossSingleNo2.png	2
143	9	0.05	0.1	14014	Assets/Product/Texture/Image/Common/BossSingleNo3.png	2
144	9	0.1	0.3	14015		2
145	9	0.3	0.5	14016		2
146	9	0.5	0.6999	14017		2
147	9	0.6999	1.0	14018		2
