Id	BuffGroupId	Index	Buff	IndexName
1	701	1	[1005, 1001]	
2	701	2	[1005]	
3	702	1	[1007]	
4	703	1	[1012]	
5	801	1	[1008, 1001]	
6	802	1	[1006]	
7	803	1	[1003]	
8	901	1	[1013]	
9	902	1	[1011]	
10	903	1	[1002]	
11	1001	1	[1008, 1001]	
12	1002	1	[1004]	
13	1003	1	[1006]	
14	1101	1	[1005, 1001]	
15	1102	1	[1010]	
16	1103	1	[1003]	
17	1201	1	[1002]	
18	1202	1	[1009]	
19	1203	1	[1007]	
20	101	1	[1002]	模组Ⅰ
21	102	1	[1003]	模组Ⅰ
22	103	1	[1004]	模组Ⅰ
23	104	1	[1005]	模组Ⅰ
24	105	1	[1006]	模组Ⅰ
25	106	1	[1007]	模组Ⅰ
26	107	1	[1008]	模组Ⅰ
27	108	1	[1009]	模组Ⅰ
28	109	1	[1010]	模组Ⅰ
29	110	1	[1011]	模组Ⅰ
30	111	1	[1012]	模组Ⅰ
31	112	1	[1013]	模组Ⅰ
32	201	1	[1002]	模组Ⅰ
33	202	1	[1003]	模组Ⅰ
34	203	1	[1004]	模组Ⅰ
35	204	1	[1005]	模组Ⅰ
36	205	1	[1006]	模组Ⅰ
37	206	1	[1007]	模组Ⅰ
38	207	1	[1008]	模组Ⅰ
39	208	1	[1009]	模组Ⅰ
40	209	1	[1010]	模组Ⅰ
41	210	1	[1011]	模组Ⅰ
42	211	1	[1012]	模组Ⅰ
43	212	1	[1013]	模组Ⅰ
48	201	2	[1001]	模组Ⅱ
49	202	2	[1001]	模组Ⅱ
50	203	2	[1001]	模组Ⅱ
51	204	2	[1001]	模组Ⅱ
52	205	2	[1001]	模组Ⅱ
53	206	2	[1001]	模组Ⅱ
54	207	2	[1001]	模组Ⅱ
55	208	2	[1001]	模组Ⅱ
56	209	2	[1001]	模组Ⅱ
57	210	2	[1001]	模组Ⅱ
58	211	2	[1001]	模组Ⅱ
59	212	2	[1001]	模组Ⅱ
