Id	LevelType	Score	RewardId	RankIcon	RewardGroupId	MailId
1	1	17500	6000			
2	1	52500	6001			
3	1	122500	6002			
4	1	210000	6003			
5	1	437500	6004			
51	1	17500	6030		1	
52	1	52500	6031		1	
53	1	122500	6032		1	
54	1	210000	6033		1	
55	1	322500	6034		1	
56	1	435000	6035		1	
57	1	550000	6036		1	
14	2	25000	6005			
15	2	75000	6006			
16	2	175000	6007			
17	2	300000	6008			
18	2	625000	6009			
61	2	25000	6040		1	
62	2	75000	6041		1	
63	2	175000	6042		1	
64	2	300000	6043		1	
65	2	450000	6044		1	
66	2	625000	6045		1	
67	2	800000	6046		1	
19	3	30000	6010			
20	3	90000	6011			
21	3	210000	6012			
22	3	360000	6013			
23	3	750000	6014			
24	4	50000	6015			
25	4	150000	6016			
26	4	350000	6017			
27	4	600000	6018			
28	4	1200000	6019			
29	3	500000	6020			
30	3	1000000	6021			
31	4	900000	6022			
32	4	1500000	6023			
71	3	30000	6010		1	
72	3	90000	6011		1	
73	3	210000	6012		1	
74	3	360000	6013		1	
75	3	750000	6014		1	
76	3	500000	6020		1	
77	3	1000000	6021		1	
81	4	50000	6015		1	
82	4	150000	6016		1	
83	4	350000	6017		1	
84	4	600000	6018		1	
85	4	1200000	6019		1	
86	4	900000	6022		1	
87	4	1500000	6023		1	
93	5	17500	6030		2	14019
94	5	52500	6031		2	14019
95	5	122500	6032		2	14019
96	5	210000	6033		2	14019
97	5	322500	6034		2	14019
98	5	435000	6035		2	14019
99	5	550000	6036		2	14019
105	6	25000	6040		2	14019
106	6	75000	6041		2	14019
107	6	175000	6042		2	14019
108	6	300000	6043		2	14019
109	6	450000	6044		2	14019
110	6	625000	6045		2	14019
111	6	800000	6046		2	14019
126	7	30000	6047		2	14019
127	7	90000	6048		2	14019
128	7	120000	6049		2	14019
129	7	360000	6050		2	14019
130	7	500000	6051		2	14019
131	7	700000	6052		2	14019
132	7	900000	6053		2	14019
133	7	1000000	6054		2	14019
134	7	1100000	6055		2	14019
135	8	50000	6056		2	14019
136	8	150000	6057		2	14019
137	8	350000	6058		2	14019
138	8	650000	6059		2	14019
139	8	900000	6060		2	14019
140	8	1250000	6061		2	14019
141	8	1550000	6062		2	14019
142	8	1750000	6063		2	14019
143	8	1800000	6064		2	14019
144	8	1850000	6088		2	14019
