StageId	ModelId	BossName	Score	BossLoseHpScore	LeftTimeScore	LeftHpScore	DifficultyType	DifficultyDesc	DifficultyDescEn	AutoFight	FightCharCount	PreFullScore	OpenCondition	BuffDetailsId	FeaturesId	ProposedLevel	SkillTitle	SkillDesc	AttackName
30000101	Me1SwordMd002001	武藏玖型	12500	5000	6000	1500	1	实验	TEST	True	1			[90000]			['喷射气刃', '瞬步']	['武藏玖型向敌人释放一道威力巨大的剑气', '武藏玖型向距离过远的敌人快速突进']	
30000102	Me1SwordMd002001	武藏玖型	25000	10000	12000	3000	2	精英	ELITES	True	1			[90000]			['心剑模式', '喷射气刃', '瞬步']	['武藏玖型隐藏自己，在地上留下残影，并向敌人释放剑风', '武藏玖型向敌人释放一道威力巨大的剑气', '武藏玖型向距离过远的敌人快速突进']	
30000103	Me1SwordMd002001	武藏玖型	50000	20000	24000	6000	3	骑士	KNIGHT	True	1			[90000]			['全屏剑风', '心剑模式', '喷射气刃', '瞬步']	['武藏玖型围绕敌人，并向敌人释放大量剑气', '武藏玖型隐藏自己，在地上留下残影，并向敌人释放剑风', '武藏玖型向敌人释放一道威力巨大的剑气', '武藏玖型向距离过远的敌人快速突进']	
30000104	Me1SwordMd002001	武藏玖型	100000	40000	48000	12000	4	混沌	CHAOS		1			[90000]			['烧夷战术', '全屏剑风', '心剑模式', '喷射气刃', '瞬步']	['预装的战术让boss学会如何 “改造”战场，处于被他改造过的战场之中会让人物不断受到额外伤害', '武藏玖型围绕敌人，并向敌人释放大量剑气', '武藏玖型隐藏自己，在地上留下残影，并向敌人释放剑风', '武藏玖型向敌人释放一道威力巨大的剑气', '武藏玖型向距离过远的敌人快速突进']	
30000105	Me1SwordMd002001	武藏玖型	200000	80000	96000	24000	5	地狱	HELL		1			[90000]			['烧夷战术', '全屏剑风', '心剑模式', '喷射气刃', '瞬步']	['预装的战术让boss学会如何 “改造”战场，处于被他改造过的战场之中会让人物不断受到额外伤害', '武藏玖型围绕敌人，并向敌人释放大量剑气', '武藏玖型隐藏自己，在地上留下残影，并向敌人释放剑风', '武藏玖型向敌人释放一道威力巨大的剑气', '武藏玖型向距离过远的敌人快速突进']	
30000111	Me1SwordMd002001	武藏玖型	200000	80000	96000	24000	6	隐藏	HIDE		1		[420001]	[90000]			['无尽', '全屏剑风', '心剑模式', '喷射气刃', '瞬步']	['战斗变为60秒连续挑战，时间内boss被击杀后将会重新出现并提升生命值。该模式下boss最多重新出现10次。', '武藏玖型围绕敌人，并向敌人释放大量剑气', '武藏玖型隐藏自己，在地上留下残影，并向敌人释放剑风', '武藏玖型向敌人释放一道威力巨大的剑气', '武藏玖型向距离过远的敌人快速突进']	
30000201	Mb1OrphanMd030001	喷涂机械	12500	5000	6000	1500	1	实验	TEST	True	1			[90001, 90002]			['喷发', '跳跃攻击', '喷射']	['朝敌人丢掷一枚可爆炸的冰冻弹', '用力坐向地面，造成范围伤害', '朝地面喷射冰面，冰面会对敌人造成持续伤害']	
30000202	Mb1OrphanMd030001	喷涂机械	25000	10000	12000	3000	2	精英	ELITES	True	1			[90001, 90002]			['跳砸', '喷发', '跳跃攻击', '喷射']	['连续坐向地面，造成范围伤害', '朝敌人丢掷一枚可爆炸的冰冻弹', '用力坐向地面，造成范围伤害', '朝地面喷射冰面，冰面会对敌人造成持续伤害']	
30000203	Mb1OrphanMd030001	喷涂机械	50000	20000	24000	6000	3	骑士	KNIGHT	True	1			[90001, 90002]			['跳砸', '喷发', '跳跃攻击', '喷射']	['连续坐向地面，造成范围伤害', '朝敌人丢掷一枚可爆炸的冰冻弹', '用力坐向地面，造成范围伤害', '朝地面喷射冰面，冰面会对敌人造成持续伤害']	
30000204	Mb1OrphanMd030001	喷涂机械	100000	40000	48000	12000	4	混沌	CHAOS		1			[90001, 90002]			['烧夷战术', '喷射-增强', '跳砸', '喷发', '跳跃攻击', '援兵']	['预装的战术让boss学会如何 “改造”战场，处于被他改造过的战场之中会让人物不断受到额外伤害', '朝地面喷射冰面，冰面会对敌人造成持续伤害，冰面持续时间增长', '连续坐向地面，造成范围伤害', '朝敌人丢掷一枚可爆炸的冰冻弹', '用力坐向地面，造成范围伤害', '召唤出裂变原虫帮助自己进行战斗']	
30000205	Mb1OrphanMd030001	喷涂机械	200000	80000	96000	24000	5	地狱	HELL		1			[90001, 90002]			['烧夷战术', '喷射-增强', '跳砸', '喷发', '跳跃攻击', '援兵']	['预装的战术让boss学会如何 “改造”战场，处于被他改造过的战场之中会让人物不断受到额外伤害', '朝地面喷射冰面，冰面会对敌人造成持续伤害，冰面持续时间增长', '连续坐向地面，造成范围伤害', '朝敌人丢掷一枚可爆炸的冰冻弹', '用力坐向地面，造成范围伤害', '召唤出裂变原虫帮助自己进行战斗']	
30000211	Mb1OrphanMd030001	喷涂机械	200000	80000	96000	24000	6	隐藏	HIDE		1		[420002]	[90001, 90002]			['无尽', '烧夷战术', '喷射-增强', '跳砸', '喷发', '跳跃攻击', '援兵']	['战斗变为60秒连续挑战，时间内boss被击杀后将会重新出现并提升生命值。该模式下boss最多重新出现10次。', '预装的战术让boss学会如何 “改造”战场，处于被他改造过的战场之中会让人物不断受到额外伤害', '朝地面喷射冰面，冰面会对敌人造成持续伤害，冰面持续时间增长', '连续坐向地面，造成范围伤害', '朝敌人丢掷一枚可爆炸的冰冻弹', '用力坐向地面，造成范围伤害', '召唤出裂变原虫帮助自己进行战斗']	
30000301	Mb1LuolanMd010001	罗兰	12500	5000	6000	1500	1	实验	TEST	True	1			[90003, 90004]			['开枪', '踏步斩', '百烈脚']	['罗兰掏出自己的短猎枪，以子弹击飞敌人', '罗兰向前方跳跃，并横扫敌人', '罗兰抬腿打击敌人，命中后会造成多段伤害，并踢飞敌人']	
30000302	Mb1LuolanMd010001	罗兰	25000	10000	12000	3000	2	精英	ELITES	True	1			[90003, 90004]			['镰刀式', '开枪', '踏步斩', '百烈脚']	['罗兰朝正前方远距离甩动链刀，后接一道威力巨大的剑气', '罗兰掏出自己的短猎枪，以子弹击飞敌人', '罗兰向前方跳跃，并横扫敌人', '罗兰抬腿打击敌人，命中后会造成多段伤害，并踢飞敌人']	
30000303	Mb1LuolanMd010001	罗兰	50000	20000	24000	6000	3	骑士	KNIGHT	True	1			[90003, 90004]			['镰刀式', '开枪', '踏步斩', '百烈脚']	['罗兰朝正前方远距离甩动链刀，后接一道威力巨大的剑气', '罗兰掏出自己的短猎枪，以子弹击飞敌人', '罗兰向前方跳跃，并横扫敌人', '罗兰抬腿打击敌人，命中后会造成多段伤害，并踢飞敌人']	
