Id	GroupIcon	GroupName	SectionId
1	Assets/Product/Texture/Atlas/UiFubenBossSingle/BossSingleBtnTabLock.png	α组	[101, 102, 103, 104]
2	Assets/Product/Texture/Atlas/UiFubenBossSingle/BossSingleBtnTabPre.png	β组	[105, 108, 106]
3	Assets/Product/Texture/Atlas/UiFubenBossSingle/BossSingleBtnTabSle.png	α组	[101, 102, 103]
4	Assets/Product/Texture/Atlas/UiFubenBossSingle/BossSingleJifenBg1.png	β组	[104, 105, 106]
5	Assets/Product/Texture/Atlas/UiFubenBossSingle/BossSingleBtnTabLock.png	γ组	[108, 109]
6	Assets/Product/Texture/Atlas/UiFubenBossSingle/BossSingleBtnTabLock.png	α组	[101, 102, 103]
7	Assets/Product/Texture/Atlas/UiFubenBossSingle/BossSingleBtnTabPre.png	β组	[104, 105, 106, 203]
8	Assets/Product/Texture/Atlas/UiFubenBossSingle/BossSingleBtnTabLock.png	γ组	[108, 109, 110]
9	Assets/Product/Texture/Atlas/UiFubenBossSingle/BossSingleBtnTabLock.png	α组	[2019, 2020, 2023, 2028, 2030, 2031, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041]
10	Assets/Product/Texture/Atlas/UiFubenBossSingle/BossSingleBtnTabPre.png	β组	[2019, 2020, 2023, 2028, 2030, 2031, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041]
11	Assets/Product/Texture/Atlas/UiFubenBossSingle/BossSingleBtnTabLock.png	γ组	[2019, 2020, 2023, 2028, 2030, 2031, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041]
12	Assets/Product/Texture/Atlas/UiFubenBossSingle/BossSingleBtnTabLock.png	鏖战点	[2025, 2026, 2027, 2029, 2032, 2042, 2043]
