Id	Name	Icon	TriangleBg	Desc	FightEventIds	ShowRecommendIds	Type	ScoreRate
1	侵袭Ⅰ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1001.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	受到物理伤害时，积累创伤槽，满层后进入创伤状态，受到暴击伤害显著提升，最多可叠加4层。	[2300001]		1	
2	锋锐Ⅰ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1002.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	受到物理伤害时，积累创伤槽，满层后进入创伤状态，受到物理伤害显著提升，最多可叠加4层。	[2300002]		1	
3	雷暴Ⅰ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1003.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	造成雷伤害时，角色获得雷盾，雷盾对周围持续造成雷属性伤害，且使角色自身雷属性伤害显著提升。	[2300003]		1	
4	雷潮Ⅰ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1004.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	造成雷伤害时，获得雷盾，雷盾辐射范围内单位受到雷属性伤害显著提升。	[2300004]		1	
5	凝暗Ⅰ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1005.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	受到暗属性伤害时，掉落暗球，拾取后角色暗属性伤害提升。暗球数量达到上限后，下次攻击将释放全部暗球引发爆炸，使角色造成暗属性伤害显著提升。	[2300006]		1	
6	暗蚀Ⅰ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1006.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	受到暗属性伤害时，掉落暗球，拾取后自身暗属性伤害提升。暗球数量达到上限后，下次攻击将释放全部暗球引发爆炸，使单位受到暗属性伤害显著提升。	[2300005]		1	
7	强袭Ⅰ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1007.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Boss最大生命值的50%转换为稳态力场。击碎稳态力场时，角色自身全属性伤害显著提升。	[2300008]	[1]	1	
8	不继Ⅰ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1008.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Boss最大生命值的50%转换为稳态力场。击碎稳态力场时，单位受到全属性伤害显著提升。	[2300007]	[1]	1	
9	易燃Ⅰ	Assets/Product/Texture/Image/UiFubenBossSingle/BossSingleIconPowerhuo.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	极易受高温点燃并引发剧烈的爆炸，基于此特性受到的火属性伤害会显著提升。	[2300009]		1	
10	霜结Ⅰ	Assets/Product/Texture/Image/UiFubenBossSingle/BossSingleIconPowerbing.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	低温情况下会出现膨胀式冻结效应，基于此特性受到的冰属性伤害会显著提升。	[2300010]		1	
11	侵袭Ⅱ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1001.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	受到物理伤害时，积累创伤槽，满层后进入创伤状态，受到暴击伤害显著提升，最多可叠加4层。全员切换入场时，造成伤害提升，持续10秒。	[2300011]		1	
12	锋锐Ⅱ	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1002.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	受到物理伤害时，积累创伤槽，满层后进入创伤状态，受到物理伤害显著提升，最多可叠加4层。全员切换入场时，造成伤害提升，持续10秒。	[2300012]		1	
