Id	Name	BuffBg	Desc	Icon
4007	霜滞演算	Assets/Product/Texture/Image/UiArena/UiArenaBuffIcon03.png	进入超算空间时角色三消额外伤害加成提升60%，持续8秒，重复触发刷新持续时间	Assets/Product/Texture/Image/IconAffix/IconAffixBingshuangUp.png
4008	炽愈灼炎	Assets/Product/Texture/Image/UiArena/UiArenaBuffIcon04.png	每次治疗目标后，自身火属性伤害加成提升40%，持续8秒，重复触发刷新持续时间	Assets/Product/Texture/Image/IconAffix/IconAffixHuoyanUp.png
4009	辉蓝流星	Assets/Product/Texture/Image/UiArena/UiArenaBuffIcon02.png	消除蓝色信号球后角色普通攻击额外伤害加成提升80%，持续6秒，重复触发刷新持续时间	Assets/Product/Texture/Image/IconAffix/IconAffixLeiDianUp.png
4010	独域	Assets/Product/Texture/Image/UiArena/UiArenaBuffIcon01.png	闪袭后提升角色伤害30%，弹刀后提升角色30%冰属性伤害，重复触发刷新时间	Assets/Product/Texture/Image/IconAffix/IconAffixDuyuUp.png
4011	暗影涌动	Assets/Product/Texture/Image/UiArena/UiArenaBuffIcon01.png	三消后角色暗属性伤害提升15%，持续8秒，可叠加4层，重复触发刷新持续时间	Assets/Product/Texture/Image/IconAffix/IconAffixAnnengUp.png
4012	复刃叠击	Assets/Product/Texture/Image/UiArena/UiArenaBuffIcon05.png	每次消球增加角色10%暴击率和20%暴击伤害加成，持续3秒，可叠加10层，重复触发刷新持续时间	Assets/Product/Texture/Image/IconAffix/IconAffixWuliUp.png
4016	冷冽寒霜	Assets/Product/Texture/Image/UiArena/UiArenaBuffIcon06.png	角色入场后8秒内，普通攻击冰属性伤害加成提升60%，三消冰属性伤害加成提升20%	Assets/Product/Texture/Image/IconAffix/IconAffixBingshuangUp.png
4017	炙焰熔煅	Assets/Product/Texture/Image/UiArena/UiArenaBuffIcon08.png	每一次普通攻击造成伤害后，必杀技额外伤害加成提升5%，持续3秒，可叠加15层，重复触发刷新持续时间	Assets/Product/Texture/Image/IconAffix/IconAffixHuoyanUp.png
4018	叱咤雷鸣	Assets/Product/Texture/Image/UiArena/UiArenaBuffIcon07.png	角色入场后3秒内雷属性伤害加成提升50%，释放必杀技后5秒内雷属性伤害加成提升30%	Assets/Product/Texture/Image/IconAffix/IconAffixLeiDianUp.png
4019	破极倍击	Assets/Product/Texture/Image/UiArena/UiArenaBuffIcon09.png	必杀技造成的物理伤害必然暴击，同时暴击伤害加成提升200%	Assets/Product/Texture/Image/IconAffix/IconAffixWuliUp.png
4020	无光掠影	Assets/Product/Texture/Image/UiArena/UiArenaBuffIcon10.png	三消后6秒内普通攻击会附加角色攻击力40%的暗属性伤害	Assets/Product/Texture/Image/IconAffix/IconAffixAnnengUp.png
4021	熔点超载	Assets/Product/Texture/Image/UiArena/UiArenaBuffIcon12.png	三消后普攻造成的火属性伤害提升45%，持续5秒，可叠加3层，重复触发刷新持续时间	Assets/Product/Texture/Image/IconAffix/IconAffixHuoyanUp.png
