StageId	PreStageId	ChapterId	MapPoint	StarCount	Name	NodeType	NodeParam	StarDesc	UnlockWeapon	BuffIcon	BuffTitle	BuffDesc	SelectWeapons	OnlyUseRobotId	ExtraRobotID	CallId
30110301		1		1	常规作战Ⅰ	1		['成功完成常规作战']		['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png']	['蕾奥妮写的教学关']	['熟悉四把武器的操作']	[1]			
30110302	30110301	1		1	常规作战Ⅱ	1		['成功完成常规作战']		['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png', 'Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png']	['守护露西亚', '拉弥亚']	['操作机枪抵御敌人进攻', '路上遇见了一个蓝色身影']	[1, 2]	129020	129018	
30110303	30110302	1		3	常规作战Ⅲ	1		['成功完成常规作战', '成功和丽芙汇合', '战胜拟论安博莉亚']	3	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png', 'Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png']	['安博莉亚', '露娜']	['迎战安博莉亚', '无意间碰见了一个熟悉的身影']	[1, 2]	129020	129019	
30110304	30110303	1		1	常规作战Ⅳ	1		['成功完成常规作战']		['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33001.png', 'Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png']	['跑酷', '罗兰']	['设置跳跃、爬墙内容，通关后你就是跑酷master', '好久不见！现在是，经典回顾的总集篇！']	[1, 2, 3]			
30110305	30110304	1		3	常规作战Ⅴ	1		['成功完成常规作战', '击破所有巡逻机械', '战胜拟论机械生物']	4	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png', 'Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png']	['巡逻机械', '七实']	['抵御巡逻机械的进攻', '一道如流星一般的身影吸引了你的目光']	[1, 2, 3]		129021	
30110306	30110305	1		1	常规作战Ⅵ	1		['成功完成常规作战']		['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png']	['阿尔法']	['“崩落的束缚……这次就化作我的利刃吧！”']	[2, 3, 4]	129020	129017	
30110307	30110306	1		3	常规作战Ⅶ	1		['成功完成常规作战', '成功救出露西亚', '战胜“破坏信息”']		['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png', 'Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png']	['拯救', '露西亚']	['汇聚的祈祷将化为新生的璀璨星辰，照亮前方的光辉道路吧！', '“这是只为你而生的誓约之焰。”']	[2, 3, 4]	129017	129016	
30110308		2		3	特别作战Ⅰ	2		['成功完成特别作战', '结算评价≥A', '结算评价≥S']		['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33301.png']	['评价体系']	['接入由蕾奥妮编写的评价体系，快速通关、灵活闪避均能提升评价']				
30110309	30110308	2		3	特别作战Ⅱ	2		['成功完成特别作战', '结算评价≥S', '结算评价≥SS']		['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33301.png', 'Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12121.png']	['评价体系', 'TIME！']	['接入由蕾奥妮编写的评价体系，快速通关、灵活闪避均能提升评价', '每一波竟然限制时间，这下更加挑战极限了。']				
30110310	30110309	2		3	特别作战Ⅲ	2		['成功完成特别作战', '结算评价≥SS', '结算评价≥SSS']		['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33301.png', 'Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33001.png']	['评价体系', '跑酷']	['接入由蕾奥妮编写的评价体系，快速通关、灵活闪避均能提升评价', '设置跳跃、爬墙内容，通关后你就是跑酷master']				
