Id	Name	ConditionId	DisappearConditionId	Desc	Head	HeadCircle	AnimConditionId	AnimName
3101	罗塞塔	1007222	1007200	本次联军的统帅，为守护极地而战。	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Luosaita1.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot.png		
3102	里			灰鸦小队成员，擅长狙击，独立行动。	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot.png		
3103	西蒙	1007224		寒羊小队的指挥官，作为“另一个总指挥”发挥着作用。	Assets/Product/Texture/Image/RoleCharacter/XimengNormal01.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot.png		
3104	杜洛娃	1007223		冰心三公之一，形似安博莉亚。	Assets/Product/Texture/Image/RoleCharacter/AnboliyaNormal01.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot2.png		
3105	费多尔	1007224		冰心三公之一，狡诈的将领，擅长暗算。	Assets/Product/Texture/Image/RoleCharacter/RoleHeadFeiduoer.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot2.png		
3106	鲁缅采夫	1007224		冰心三公之一，带有豪气的将军，战力惊人。	Assets/Product/Texture/Image/RoleCharacter/FushenNomal01.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot2.png		
3107	未知敌人	1007222	1007200	详情未知	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown01.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot2.png		
3108	扎克	1007201		冰心皇扎克，本次战争的发起者，为统合世界而战。	Assets/Product/Texture/Image/RoleCharacter/RoleHeadZhake.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot2.png		
3109	难敌			隶属未知的升格者，以暴力与狂野碾压战场。	Assets/Product/Texture/Image/RoleCharacter/RoleHeadNandi.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot.png		
3110	未知敌人	1007201		详情未知	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown01.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot2.png		
