Id	BlockId	Type	MemberId	UiNodeName
1	101	1	101	Pos10101
2	102	2	201	Pos20201
3	103	2	202	Pos30201
4	104	2	203	Pos40201
5	104	3	3107	Pos40301
6	104	3	3101	Pos40302
7	104	3	3110	Pos40303
8	104	3	3108	Pos40304
9	104	4	10380101	Pos40401
10	104	4	10380102	Pos40402
11	104	4	10380103	Pos40403
12	104	4	10380104	Pos40404
13	105	2	204	Pos50201
14	106	2	205	Pos60201
15	107	2	206	Pos70201
16	108	2	207	Pos80201
17	109	2	208	Pos90201
18	107	3	3111	Pos70301
19	107	3	3104	Pos70302
20	107	4	10380105	Pos70401
21	110	3	3105	Pos100301
22	110	3	3106	Pos100302
23	110	3	3103	Pos100303
24	110	4	10380106	Pos100401
25	110	4	10380107	Pos100402
26	107	2	239	Pos10
27	110	2	240	Pos11
28	201	5		Pos10101
29	202	5		Pos20101
30	205	5		Pos50101
31	203	1	102	Pos30101
32	203	5		Pos30201
33	204	3	3203	Pos40301
34	206	3	3202	Pos60301
35	207	2	212	Pos70201
36	208	2	211	Pos80201
37	209	2	209	Pos90201
38	209	4	10380108	Pos90401
39	209	4	10380109	Pos90402
40	209	4	10380110	Pos90403
41	210	2	210	Pos100201
42	211	2	213	Pos110201
43	211	3	3205	Pos110301
44	211	3	3201	Pos110302
45	211	3	3204	Pos110303
46	211	3	3206	Pos110304
47	211	4	10380111	Pos110401
48	211	4	10380112	Pos110402
49	304	5		Pos40201
50	301	5		Pos10201
51	302	5		Pos20201
52	305	5		Pos50201
53	307	5		Pos70201
54	308	5		Pos80201
55	306	3	3303	Pos60301
56	303	3	3302	Pos30301
57	319	1	105	Pos190101
58	320	1	104	Pos200101
59	317	2	214	Pos170201
61	316	2	216	Pos160201
62	314	2	218	Pos140201
63	314	3	3309	Pos140301
64	313	2	215	Pos130201
66	311	2	222	Pos110201
68	309	2	219	Pos90201
69	320	3	3301	Pos200301
70	320	3	3307	Pos200302
71	320	3	3310	Pos200303
72	320	3	3304	Pos200304
73	320	4	10380115	Pos200401
74	320	4	10380113	Pos200402
75	320	4	10380114	Pos200403
76	320	4	10380116	Pos200404
77	320	4	10380117	Pos200405
78	419	5		Pos70201
79	420	3	3401	Pos200301
80	406	3	3403	Pos60301
81	403	3	3402	Pos30301
82	409	2	230	Pos90201
84	411	2	232	Pos110201
86	413	5		Pos130201
87	414	2	226	Pos140201
88	414	3	3411	Pos140301
89	416	2	234	Pos160201
90	417	1	106	Pos170201
92	420	3	3406	Pos200302
93	420	3	3412	Pos200304
94	420	3	3405	Pos200305
95	420	3	3404	Pos200306
96	420	5		Pos200307
97	420	3	3410	Pos200308
98	420	4	10380118	Pos200401
99	420	4	10380119	Pos200402
100	420	4	10380120	Pos200403
101	420	4	10380121	Pos200404
102	420	4	10380122	Pos200405
103	401	5		Pos10101
104	402	5		Pos20201
105	404	5		Pos40101
106	405	5		Pos50101
107	407	5		Pos70101
108	408	5		Pos80201
109	423	2	224	Pos230201
110	424	2	225	Pos240201
111	427	2	236	Pos270201
112	428	2	237	Pos280201
113	429	2	238	Pos290201
114	430	2	229	Pos300201
117	501	4	10380123	Pos10401
118	320	3	3308	Pos200306
