Key	Values
SkyGardenEntry	['99713', '【空中花园】特别邀约', '冰川裂隙吞噬晨曦，冰心的暗影已隐秘蛰伏，空中花园的穹育顶之下，一场危机正暗流涌动。']
SkyGardenEntryCondition	['1050141']
SkyGardenEntryRewardId	['7000234']
ArmyPrefab	['Assets/Product/Ui/ComponentPrefab/UiMainLineLuosaita/UiMainLineLuosaitaAlly.prefab']
EnemyPrefab	['Assets/Product/Ui/ComponentPrefab/UiMainLineLuosaita/UiMainLineLuosaitaEnemy.prefab']
CharacterPrefab	['Assets/Product/Ui/ComponentPrefab/UiMainLineLuosaita/UiMainLineLuosaitaCharacter.prefab']
SectionLock	['请先通关前一阶段']
DragTips1	['请指向一名临近的敌人']
DragTips2	['当前地块未占领']
DragTips3	['我方不敌，无法进攻']
DragTips4	['松手发动进攻']
DragTips5	['敌人防御过高无法进攻']
DragTips6	['该地块的相邻地块未占领']
DragTips7	['请先完成关卡！']
NumberOrder	['No.%s']
MessageShowTime	['100', '99999']
ProgressText	['<color=#0a82de><size=60>%s</size></color><size=30>/%s</size>']
FocusSpeed	['700']
