Id	ConditionId	DocIds	MessageId
10380101		[1]	3
10380102	1007200	[2, 18]	3
10380103	1007201	[3, 4, 20]	3
10380104	1007202	[5]	3
10380105	1007203	[42]	11
10380106	1007204	[6, 7, 8]	14
10380107	1007205	[9]	15
10380108	1007206	[10]	3
10380109	1007207	[11]	3
10380110	1007208	[33]	3
10380111	1007209	[13]	11
10380112	1007210		11
10380113	1007211	[14]	3
10380114	1007212		3
10380115	1007213	[34, 35, 15]	28
10380116	1007214	[16]	28
10380117	1007215	[17]	28
10380118	1007216		3
10380119	1007217	[43, 44]	3
10380120	1007218		44
10380121	1007219		44
10380122	1007220		44
10380123	1007221	[19]	44
