Id	Name	SectionId	EdgeBlocks	UiNodeName
101	地块1	1	[102]	Block1
102	地块2	1	[101, 103]	Block2
103	地块3	1	[102, 104]	Block3
104	地块4	1	[103, 105]	Block4
105	地块5	1	[106, 108, 104]	Block5
106	地块6	1	[105, 107]	Block6
107	地块7	1	[106]	Block7
108	地块8	1	[105, 109]	Block8
109	地块9	1	[108, 110]	Block9
110	地块10	1	[109]	Block10
201	地块1	2	[202, 209, 208, 205]	Block1
202	地块2	2	[201, 203, 209]	Block2
203	地块3	2	[202, 204, 209, 210]	Block3
204	地块4	2	[203]	Block4
205	地块5	2	[201, 208, 206]	Block5
206	地块6	2	[205, 207]	Block6
207	地块7	2	[208, 206, 211]	Block7
208	地块8	2	[207, 205, 201, 209, 211]	Block8
209	地块9	2	[210, 208, 201, 202, 203]	Block9
210	地块10	2	[211, 209, 203]	Block10
211	地块11	2	[208, 207, 210]	Block11
301	地块1	3	[302, 304, 307, 308]	Block1
302	地块2	3	[301, 303, 308]	Block2
303	地块3	3	[302, 317]	Block3
304	地块4	3	[301, 307, 305]	Block4
305	地块5	3	[304, 306, 307, 319, 311]	Block5
306	地块6	3	[309, 305, 311]	Block6
307	地块7	3	[304, 305, 319, 308]	Block7
308	地块8	3	[307, 319, 320, 317]	Block8
309	地块9	3	[311, 306]	Block9
311	地块11	3	[309, 306, 306, 313, 319]	Block12
313	地块13	3	[311, 319]	Block13
314	地块14	3	[313, 320, 316]	Block14
316	地块16	3	[314, 320, 317]	Block16
317	地块17	3	[308, 320, 316, 303]	Block17
319	地块19	3	[311, 313, 307, 320]	Block19
320	地块20	3	[319, 308, 316, 317, 314]	Block20
401	地块1	4	[402, 404, 407, 408]	Block1
402	地块2	4	[401, 403, 408]	Block2
403	地块3	4	[402, 417]	Block3
404	地块4	4	[401, 407, 405]	Block4
405	地块5	4	[404, 406, 407, 419, 411]	Block5
406	地块6	4	[409, 405, 411]	Block6
407	地块7	4	[404, 405, 419, 408]	Block7
408	地块8	4	[407, 419, 420, 417]	Block8
409	地块9	4	[411, 406]	Block9
411	地块11	4	[409, 406, 406, 413, 419]	Block12
413	地块13	4	[411, 419]	Block13
414	地块14	4	[427, 420, 416, 428]	Block14
416	地块16	4	[414, 420, 417]	Block16
417	地块17	4	[408, 420, 416, 403, 429]	Block17
419	地块19	4	[411, 414, 407, 420]	Block19
420	地块20	4	[419, 408, 416, 417, 414]	Block20
423	地块23	4	[411, 409, 424]	Block23
424	地块24	4	[423]	Block24
427	地块27	4	[424, 428, 414]	Block27
428	地块28	4	[427, 414, 429]	Block28
429	地块29	4	[428, 416]	Block29
430	地块30	4	[428, 429]	Block30
501	地块1	5		Block1
