Id	MissionCondition	Desc	ConditionTarget	TriggerCondition	IsConditionAnd	ConditionParams	ConditionCompares	ConditionCompareValues	DescShowParam
1	10001	从接取委托开始，在商店中累计消耗{ConditionTarget}金币（不含嘉赏升阶费用）	10	1					
2	10001	从接取委托开始，在商店中累计消耗{ConditionTarget}金币（不含嘉赏升阶费用）	20	1					
3	10001	从接取委托开始，在商店中累计消耗{ConditionTarget}金币（不含嘉赏升阶费用）	30	1					
4	10001	从接取委托开始，在商店中累计消耗{ConditionTarget}金币（不含嘉赏升阶费用）	40	1					
5	10001	从接取委托开始，在商店中累计消耗{ConditionTarget}金币（不含嘉赏升阶费用）	50	1					
6	10002	进入战斗时，同时装备至少{ConditionCompareValues[1]}个紫色符纹	1	2	True	[3, 4]	[2, 2]	[2, 0]	
7	10002	进入战斗时，同时装备至少{ConditionCompareValues[1]}个紫色符纹	1	2	True	[3, 4]	[2, 2]	[4, 0]	
8	10002	进入战斗时，同时装备至少{ConditionCompareValues[2]}个橙色符纹	1	2	True	[3, 4]	[2, 2]	[0, 1]	
9	10002	进入战斗时，同时装备至少{ConditionCompareValues[2]}个橙色符纹	1	2	True	[3, 4]	[2, 2]	[0, 2]	
10	10002	进入战斗时，同时装备至少{ConditionCompareValues[2]}个橙色符纹	1	2	True	[3, 4]	[2, 2]	[0, 3]	
11	10003	从接取委托开始，在商店中购买{ConditionTarget}个符纹	3	3		[0]	[1]	[2]	
12	10003	从接取委托开始，在商店中购买{ConditionTarget}个符纹	5	3		[0]	[1]	[2]	
13	10003	从接取委托开始，在商店中购买{ConditionTarget}个符纹	8	3		[0]	[1]	[2]	
14	10003	从接取委托开始，在商店中购买{ConditionTarget}个符纹	10	3		[0]	[1]	[2]	
15	10003	从接取委托开始，在商店中购买{ConditionTarget}个符纹	12	3		[0]	[1]	[2]	
16	10004	从接取委托开始，在商店中购买{ConditionTarget}个炼金锤	1	3		[0]	[1]	[6]	
17	10004	从接取委托开始，在商店中购买{ConditionTarget}个炼金锤	1	3		[0]	[1]	[6]	
18	10004	从接取委托开始，在商店中购买{ConditionTarget}个炼金锤	1	3		[0]	[1]	[6]	
19	10004	从接取委托开始，在商店中购买{ConditionTarget}个炼金锤	2	3		[0]	[1]	[6]	
20	10004	从接取委托开始，在商店中购买{ConditionTarget}个炼金锤	3	3		[0]	[1]	[6]	
21	10005	开启{ConditionTarget}个符纹槽位	4	4					
22	10005	开启{ConditionTarget}个符纹槽位	5	4					
23	10005	开启{ConditionTarget}个符纹槽位	6	4					
24	10005	开启{ConditionTarget}个符纹槽位	7	4					
25	10005	开启{ConditionTarget}个符纹槽位	8	4					
26	10006	从接取委托开始，共计达成{ConditionTarget}场胜利	1	5					
27	10006	从接取委托开始，共计达成{ConditionTarget}场胜利	2	5					
28	10006	从接取委托开始，共计达成{ConditionTarget}场胜利	3	5					
29	10006	从接取委托开始，共计达成{ConditionTarget}场胜利	4	5					
30	10006	从接取委托开始，共计达成{ConditionTarget}场胜利	5	5					
31	10007	在战斗中将圣源、血源或灵源的伤害提升叠加至{DescShowParam[1]}%以上	1	6		[15, 16, 17]	[2, 2, 2]	[4000, 4000, 4000]	['40']
32	10007	在战斗中将圣源、血源或灵源的伤害提升叠加至{DescShowParam[1]}%以上	1	6		[15, 16, 17]	[2, 2, 2]	[6000, 6000, 6000]	['60']
33	10007	在战斗中将圣源、血源或灵源的伤害提升叠加至{DescShowParam[1]}%以上	1	6		[15, 16, 17]	[2, 2, 2]	[8000, 8000, 8000]	['80']
34	10007	在战斗中将圣源、血源或灵源的伤害提升叠加至{DescShowParam[1]}%以上	1	6		[15, 16, 17]	[2, 2, 2]	[10000, 10000, 10000]	['100']
35	10007	在战斗中将圣源、血源或灵源的伤害提升叠加至{DescShowParam[1]}%以上	1	6		[15, 16, 17]	[2, 2, 2]	[12500, 12500, 12500]	['125']
36	10008	在战斗中将回复效率或护盾强度叠加至{DescShowParam[1]}%以上	1	6		[10, 83]	[2, 2]	[4000, 4000]	['40']
37	10008	在战斗中将回复效率或护盾强度叠加至{DescShowParam[1]}%以上	1	6		[10, 83]	[2, 2]	[6000, 6000]	['60']
38	10008	在战斗中将回复效率或护盾强度叠加至{DescShowParam[1]}%以上	1	6		[10, 83]	[2, 2]	[8000, 8000]	['80']
39	10008	在战斗中将回复效率或护盾强度叠加至{DescShowParam[1]}%以上	1	6		[10, 83]	[2, 2]	[10000, 10000]	['100']
40	10008	在战斗中将回复效率或护盾强度叠加至{DescShowParam[1]}%以上	1	6		[10, 83]	[2, 2]	[12500, 12500]	['125']
41	10009	从接取委托开始，累计在战斗中制造{ConditionTarget}点任意类型伤害	8000	7					
42	10009	从接取委托开始，累计在战斗中制造{ConditionTarget}点任意类型伤害	16000	7					
43	10009	从接取委托开始，累计在战斗中制造{ConditionTarget}点任意类型伤害	24000	7					
44	10009	从接取委托开始，累计在战斗中制造{ConditionTarget}点任意类型伤害	32000	7					
45	10009	从接取委托开始，累计在战斗中制造{ConditionTarget}点任意类型伤害	40000	7					
46	10010	从接取委托开始，累计在战斗中制造{ConditionTarget}点回复或护盾	8000	8					
47	10010	从接取委托开始，累计在战斗中制造{ConditionTarget}点回复或护盾	16000	8					
48	10010	从接取委托开始，累计在战斗中制造{ConditionTarget}点回复或护盾	24000	8					
49	10010	从接取委托开始，累计在战斗中制造{ConditionTarget}点回复或护盾	32000	8					
50	10010	从接取委托开始，累计在战斗中制造{ConditionTarget}点回复或护盾	40000	8					
51	10011	"从接取委托开始，累计{ConditionTarget}回合，在战斗中至少触发过1次“狂飙开幕”或""无暇沐血""类符纹"	1	9		[11, 8]	[2, 2]	[1, 1]	
52	10011	"从接取委托开始，累计{ConditionTarget}回合，在战斗中至少触发过1次“狂飙开幕”或""无暇沐血""类符纹"	2	9		[11, 8]	[2, 2]	[1, 1]	
53	10011	"从接取委托开始，累计{ConditionTarget}回合，在战斗中至少触发过1次“狂飙开幕”或""无暇沐血""类符纹"	3	9		[11, 8]	[2, 2]	[1, 1]	
54	10011	"从接取委托开始，累计{ConditionTarget}回合，在战斗中至少触发过1次“狂飙开幕”或""无暇沐血""类符纹"	4	9		[11, 8]	[2, 2]	[1, 1]	
55	10011	"从接取委托开始，累计{ConditionTarget}回合，在战斗中至少触发过1次“狂飙开幕”或""无暇沐血""类符纹"	5	9		[11, 8]	[2, 2]	[1, 1]	
56	10012	"从接取委托开始，累计{ConditionTarget}回合，在战斗中""厄难节拍""和""赌命戏法""两类符纹至少一类触发{ConditionCompareValues[1]}次以上"	1	9		[7, 10]	[2, 2]	[2, 2]	
57	10012	"从接取委托开始，累计{ConditionTarget}回合，在战斗中""厄难节拍""和""赌命戏法""两类符纹至少一类触发{ConditionCompareValues[1]}次以上"	2	9		[7, 10]	[2, 2]	[2, 2]	
58	10012	"从接取委托开始，累计{ConditionTarget}回合，在战斗中""厄难节拍""和""赌命戏法""两类符纹至少一类触发{ConditionCompareValues[1]}次以上"	3	9		[7, 10]	[2, 2]	[2, 2]	
59	10012	"从接取委托开始，累计{ConditionTarget}回合，在战斗中""厄难节拍""和""赌命戏法""两类符纹至少一类触发{ConditionCompareValues[1]}次以上"	4	9		[7, 10]	[2, 2]	[2, 2]	
