Id	Bounty	Name	MissionConditionGroup	HideInHandBook
101	101	竞技场金币	1002	
102	102	客栈贵宾卡	1002	
103	103	幸运指环	1002	
104	104	历战勋章	1002	
105	105	盗贼之手	1001	
106	106	霓彩海螺	1001	
107	107	命运之骰	1002	
108	108	符纹宝箱·史诗	1001	
109	109	巨人杀手	1002	
110	110	穿甲弹	1001	
111	111	鲜血玫瑰	1001	
112	112	狂战士之血	1001	
113	113	噬血祭器	1001	
114	114	命轮之契	1002	
115	115	赐福护符	1001	
116	116	时隙沙漏	1001	
117	117	冥河护契	1001	
118	118	魔鬼契约	1001	
201	201	战争血晶	1003	
202	202	死亡血晶	1003	
203	203	瘟疫血晶	1003	
204	204	饥荒血晶	1003	
205	205	命运织徽	1003	
301	301	战争血晶	1003	True
302	302	死亡血晶	1003	True
303	303	瘟疫血晶	1003	True
304	304	饥荒血晶	1003	True
305	305	盗贼之手	1004	True
309	309	巨人杀手	1003	True
310	310	穿甲弹	1004	True
311	311	鲜血玫瑰	1004	True
312	312	狂战士之血	1003	True
313	313	噬血祭器	1004	True
314	314	命轮之契	1003	True
315	315	赐福护符	1003	True
316	316	时隙沙漏	1004	True
317	317	冥河护契	1004	True
318	318	魔鬼契约	1003	True
