Key	Text
XDlcRelinkAgency.lua_97	进度提示
XTemple2EditorControl.lua_672	[XTemple2EditorControl] 忘记填地块类型名了，填一下
XUiAccountBinding.lua_26	綁定失敗
XUiAccountBinding.lua_21	綁定成功
XUiAccountBinding.lua_48_1	尊敬的
XUiAccountBinding.lua_48_2	用戶，為了防止帳號遺失造成您的損失，請及時綁定帳號
XUiCharacterDetail.lua_317	\n(角色Id:%s)
XUiExploreBattleRoleRoom.lua_39	关卡扣除耐力: %s
XLoginNoticePanel.lua_31	通知なし
XUiLoginAgreement.lua_53	利用規約及びプライバシーポリシーに同意頂けない場合、ゲームをご利用いただけません。
XUiCollectionTip.lua_92	yyyy年MM月dd日
XUiMemorySave.lua_285	已通过
XUiGridFightGradeItem.lua_58	破甲
XUiGridFightGradeItem.lua_56	输出
XUiGridFightGradeItem.lua_57	治疗
XUiPurchasePay.lua_149	年滿二十周歲方可進行儲值
XUiPurchasePay.lua_138	年滿二十周歲方可進行儲值
XUiSet.lua_780	信息提示
XUiSet.lua_716	重开
XUiSet.lua_111	点击暂停
XEditorBagTileEditControl.lua_153	'保存成功'
XRestaurantCustomer.lua_34	顾客NPC
XRestaurantOrderNpc.lua_61	订单NPC
XRestaurantPerformer.lua_26	演员NPC
XRestaurantRole.lua_54	员工NPC
XRestaurantSignNpc.lua_43	签到NPC
XTemple2Animation.lua_135	跳过剧情
XUiBagOrgnizeEditor.lua_191_1	'配置未保存'
XUiBagOrgnizeEditor.lua_191_2	'当前配置有编辑更改且未保存，是否放弃更改并切换配置？'
XUiBagOrgnizeEditor.lua_34_1	'配置未保存'
XUiBagOrgnizeEditor.lua_34_2	'当前配置有编辑更改且未保存，是否放弃更改并退出？'
XUiGridBagOrganizeFileEditor.lua_15	'背包绘制配置 Id:'
XUiGridBagOrgnizeTileEditor.lua_16	'背包格子'
XUiPanelPersonalDetails.lua_217	暂无军团
XUiPanelPersonalDetails.lua_188	与这位好友组队参战时，最大生命提升
XUiPanelPersonalDetails.lua_209	未登记
XUiPurchaseSignTipRound.lua_299	活动说明
XLuckyTenantOperationAddNewPiece.lua_30	释放者已死: 技能id:
XLuckyTenantOperationAddNewPiece.lua_28	:技能id:
XUiExpeditionSkillIconGrid.lua_12	等级:%d
XUiLoginNetworkModePanel.lua_53	切换网络模式成功
