Key	Text
HeroSdkLoginFailed	用户账号登录失败(3)
CommonNotOpen	暂未开放
ServerChecking	检测中
ServerFail	失败
ServerHigh	爆满
PremissionDesc	请设置权限
PremissionCameraDesc	请前往设备的设置界面打开访问相册权限
PremissionWriteDesc	请前往设备的设置界面打开写存储权限
PremissionReadDesc	请前往设备的设置界面打开读存储权限
PermissionTitle	权限申请
PermissionContent	为了正常使用拍照截图保存本地功能，我们需要获取你设备相册的权限
PermissionOkText	进行授权
LoginLimitTip	系统检测到您的账号存在异常行为，需要正确回答所有问题才能继续游戏。回答错误将会被强制登出。
LoginLimitProgress	第{0}/{1}题，共{1}题
LoginLimitNoSelection	请选择一个选项
LoginLimitRightAnswer	回答正确
LoginLimitWrongAnswer	回答错误，即将强制登出
LoginLimitPass	答题成功
TeamManagerCheckCaptainNil	队长不能为空
TeamManagerCheckFirstFightNil	首发位不能为空
TeamDoNotChooseCaptain	未选择队长
EquipLevelUpItemEmpty	请选择材料
EquipLevelUpMaxLevel	已达到等级上限
EquipLevelUpItemNotEnough	材料不足
EquipFunctionNotOpen	暂未开放
EquipBreakMax	已突破最大次数
EquipBreakMinLevel	等级不足，无法突破
EquipBreakItemNotEnough	材料不足
EquipBreakCoinNotEnough	螺母不足
EquipMultiStrengthenTips	因选中的强化材料范围经验溢出，确认培养后的目标等级将会超出选择的目标等级
EquipMultiStrengthenNotSelectLevel	请选择培养的目标等级
EquipMultiStrengthenItemNotEnough	材料不足
EquipMultiStrengthenCoinNotEnough	螺母不足
CharacterManagerItemNotEnough	材料不足
CharacterManagerCoinNotEnough	螺母不足
CharacterCheckTeamNil	队伍不能为空
CharacterPromotePartItemLimit	能力提升失败，条件不足
CharacterPromotePartCoinLimit	能力提升失败，螺母不足
CharacterUpgradeSkillConsumeTitle	需要：
CostCoin	消耗螺母:
FightAssistClose	支援信号已关闭
FightAssistOpen	已向最近的小队发出支援请求
CharacterUngradeSkillCoinNotEnough	螺母不足
CharacterUngradeSkillSkillPointNotEnough	技能点不足
CharacterUngradeSkillComplete	成功升级技能
CharacterUnlockSkillComplete	成功解锁技能
CharacterUnlockNewCharacter	解锁新成员
