Id	StageId	Name	Desc	Round	Score	RewardPieces	RewardPiecesAmount	NormalClear	PerfectClear
101001	101	莉莉丝的考验Ⅰ	莉莉丝的考验Ⅰ\n第2回合布置棋盘后≥15分	2	15	[99998]	[1]		
101002	101	莉莉丝的考验Ⅱ	【完美通关】\n莉莉丝的考验Ⅱ\n第5回合布置棋盘后≥70分	5	70			True	True
102001	102	莉莉丝的考验Ⅰ	莉莉丝的考验Ⅰ\n第5回合布置棋盘后≥65分	5	65	[99998]	[2]		
102002	102	莉莉丝的考验Ⅱ	【完美通关】\n莉莉丝的考验Ⅱ\n第10回合布置棋盘后≥150分	10	150			True	True
103001	103	莉莉丝的考验Ⅰ	莉莉丝的考验Ⅰ\n第5回合布置棋盘后≥45分	5	45	[99998]	[2]		
103002	103	莉莉丝的考验Ⅱ	【普通通关】\n莉莉丝的考验Ⅱ\n第10回合布置棋盘后≥180分	10	180	[99998]	[3]	True	
103003	103	莉莉丝的考验Ⅲ	【完美通关】\n莉莉丝的考验Ⅲ\n第15回合布置棋盘后≥450分	15	450				True
104001	104	莉莉丝的考验Ⅰ	莉莉丝的考验Ⅰ\n第5回合布置棋盘后≥200分	5	200	[99998]	[1]		
104002	104	莉莉丝的考验Ⅱ	【完美通关】\n莉莉丝的考验Ⅱ\n第10回合布置棋盘后≥770分	10	770			True	True
105001	105	莉莉丝的考验Ⅰ	莉莉丝的考验Ⅰ\n第5回合布置棋盘后≥200分	5	200	[99999, 99998]	[1, 1]		
105002	105	莉莉丝的考验Ⅱ	莉莉丝的考验Ⅱ\n第10回合布置棋盘后≥550分	10	550	[99999, 99998]	[2, 2]		
105003	105	莉莉丝的考验Ⅲ	【完美通关】\n莉莉丝的考验Ⅲ\n第15回合布置棋盘后≥1050分	15	1050			True	True
106001	106	莉莉丝的考验Ⅰ	莉莉丝的考验Ⅰ\n第5回合布置棋盘后≥60分	5	60	[99999, 99998]	[2, 2]		
106002	106	莉莉丝的考验Ⅱ	莉莉丝的考验Ⅱ\n第10回合布置棋盘后≥250分	10	250	[99999, 99998]	[2, 3]		
106003	106	莉莉丝的考验Ⅲ	【普通通关】\n莉莉丝的考验Ⅲ\n第15回合布置棋盘后≥800分	15	800	[99999, 99998]	[3, 4]	True	
106004	106	莉莉丝的考验Ⅳ	【完美通关】\n莉莉丝的考验Ⅳ\n第20回合布置棋盘后≥2100分	20	2100				True
107001	107	莉莉丝的考验Ⅰ	莉莉丝的考验Ⅰ\n第5回合布置棋盘后≥200分	5	200	[99999, 99998]	[1, 1]		
107002	107	莉莉丝的考验Ⅱ	莉莉丝的考验Ⅱ\n第10回合布置棋盘后≥600分	10	600	[99999, 99998]	[2, 2]		
107003	107	莉莉丝的考验Ⅲ	【完美通关】\n莉莉丝的考验Ⅲ\n第15回合布置棋盘后≥1450分	15	1450			True	True
108001	108	莉莉丝的考验Ⅰ	莉莉丝的考验Ⅰ\n第5回合布置棋盘后≥60分	5	60	[99999, 99998]	[2, 2]		
108002	108	莉莉丝的考验Ⅱ	莉莉丝的考验Ⅱ\n第10回合布置棋盘后≥130分	10	130	[99999, 99998]	[2, 3]		
108003	108	莉莉丝的考验Ⅲ	【普通通关】\n莉莉丝的考验Ⅲ\n第15回合布置棋盘后≥500分	15	500	[99999, 99998]	[3, 4]	True	
108004	108	莉莉丝的考验Ⅳ	【完美通关】\n莉莉丝的考验Ⅳ\n第20回合布置棋盘后≥1200分	20	1200				True
109001	109	莉莉丝的考验Ⅰ	【完美通关】\n莉莉丝的考验Ⅰ\n第5回合布置棋盘后≥380分	5	380			True	True
110001	110	莉莉丝的考验Ⅰ	莉莉丝的考验Ⅰ\n第5回合布置棋盘后≥300分	5	300	[99998]	[1]		
110002	110	莉莉丝的考验Ⅱ	【完美通关】\n莉莉丝的考验Ⅱ\n第10回合布置棋盘后≥950分	10	950			True	True
111001	111	莉莉丝的考验Ⅰ	莉莉丝的考验Ⅰ\n第5回合布置棋盘后≥100分	5	100	[99999, 99998]	[2, 2]		
111002	111	莉莉丝的考验Ⅱ	莉莉丝的考验Ⅱ\n第10回合布置棋盘后≥600分	10	600	[99999, 99998]	[2, 3]		
111003	111	莉莉丝的考验Ⅲ	【普通通关】\n莉莉丝的考验Ⅲ\n第15回合布置棋盘后≥1200分	15	1200	[99999, 99998]	[3, 4]	True	
111004	111	莉莉丝的考验Ⅳ	【完美通关】\n莉莉丝的考验Ⅳ\n第20回合布置棋盘后≥2800分	20	2800				True
112001	112	莉莉丝的考验Ⅰ	莉莉丝的考验Ⅰ\n第5回合布置棋盘后≥40分	5	40	[99999, 99998]	[2, 2]		
112002	112	莉莉丝的考验Ⅱ	莉莉丝的考验Ⅱ\n第10回合布置棋盘后≥200分	10	200	[99999, 99998]	[2, 3]		
112003	112	莉莉丝的考验Ⅲ	莉莉丝的考验Ⅲ\n第15回合布置棋盘后≥500分	15	500	[99999, 99998]	[3, 4]		
112004	112	莉莉丝的考验Ⅳ	【普通通关】\n莉莉丝的考验Ⅳ\n第20回合布置棋盘后≥1200分	20	1200	[99999, 99998]	[4, 5]	True	
112005	112	莉莉丝的考验Ⅴ	【完美通关】\n莉莉丝的考验Ⅴ\n第25回合布置棋盘后≥2400分	25	2400				True
