Id	ActivityId	TimeId	PreStage	FirstSupplyCnt	BagCapacity	Name	InitialPiece	InitialPieceNum	SpecialPieceType	SpecialScore	Row	Column	Desc	ShowDeleteOption	InitialPieceGroup	InitialPieceGroupAmount	IsChallenge	CoverImage
101	1	888			255	开局·教学Ⅰ	[46, 5, 30]	[3, 1, 1]			4	5	第5回合布置棋盘后，玩家得分≥70分。					Assets/Product/Texture/Image/UiLuckyTenant/stage001.png
102	1	888	101		255	开局·教学Ⅱ	[52]	[5]			4	5	第10回合布置棋盘后，玩家得分≥150分。					Assets/Product/Texture/Image/UiLuckyTenant/stage002.png
103	1	888	102	2	255	开局·挑战Ⅰ	[46]	[5]			4	5	第10回合布置棋盘后，玩家得分≥180分。				True	Assets/Product/Texture/Image/UiLuckyTenant/stage003.png
104	1	888	103		255	中局·教学Ⅰ	[36, 43]	[2, 1]			4	5	第10回合布置棋盘后，玩家得分≥770分。					Assets/Product/Texture/Image/UiLuckyTenant/stage004.png
105	1	888	104		255	中局·教学Ⅱ	[46, 69, 19, 18, 24, 67]	[16, 1, 1, 1, 1, 1]			4	5	第15回合布置棋盘后，玩家得分≥1050分。	True				Assets/Product/Texture/Image/UiLuckyTenant/stage005.png
106	1	888	105	2	255	中局·挑战Ⅰ	[35, 29, 1, 57, 55]	[1, 1, 1, 1, 1]			4	5	第15回合布置棋盘后，玩家得分≥800分。	True			True	Assets/Product/Texture/Image/UiLuckyTenant/stage006.png
107	1	888	106		255	残局·教学Ⅰ	[27, 30, 28]	[10, 3, 4]			4	5	第15回合布置棋盘后，玩家得分≥1450分。	True				Assets/Product/Texture/Image/UiLuckyTenant/stage007.png
108	1	888	107	2	255	残局·挑战Ⅰ	[27, 30, 28]	[2, 2]			4	5	第15回合布置棋盘后，玩家得分≥500分。	True			True	Assets/Product/Texture/Image/UiLuckyTenant/stage008.png
109	1	888	108		255	终局·教学Ⅰ	[7, 2, 13]	[12, 6, 1]			4	5	第5回合布置棋盘后，玩家得分≥380分。	True				Assets/Product/Texture/Image/UiLuckyTenant/stage009.png
110	1	888	109		255	终局·教学Ⅱ	[8, 9, 11, 15]	[12, 3, 3, 1]			4	5	第10回合布置棋盘后，玩家得分≥950分。	True				Assets/Product/Texture/Image/UiLuckyTenant/stage010.png
111	1	888	110	2	255	终局·挑战Ⅰ	[16, 17, 1, 5, 57]	[1, 1, 1, 1, 1]			4	5	第15回合布置棋盘后，玩家得分≥1200分。	True			True	Assets/Product/Texture/Image/UiLuckyTenant/stage011.png
112	1	888	111	2	255	终局·决战Ⅰ					4	5	第15回合布置棋盘后，玩家得分≥1200分。	True	32	5	True	Assets/Product/Texture/Image/UiLuckyTenant/stage012.png
