Id	NpcId	FashionId	SettleTime	Desc
10	1001		0	里·异火（fashion id路径）
20	1002		0	露西亚·红莲
30	1003		0	丽芙·蚀暗
40	1004		0	比安卡·零度
50	1005		0	七实·风暴
60	1006		0	神威·重能
70	1007		0	卡列尼娜·爆裂
71	1007		0	卡列尼娜·爆裂
80	1008		0	渡边·夜刃
90	1009		0	艾拉·溢彩
100	1011		0	里·乱数
110	1012		0	露西亚·黎明
120	1013		0	丽芙·流光
130	1014		0	比安卡·真理
140	1015		0	七实·脉冲
150	1016		0	神威·暗能
160	1017	6710308	5.5	卡列尼娜·烬燃（雪豹之契，猫猫）
161	1017		5.5	卡列尼娜·烬燃
170	1018		0	渡边·夙星
180	1022		0	露西亚·深红之渊
190	1023		0	丽芙·仰光
200	1032		5	露西亚·鸦羽
201	1032	6210406	6.4	露西亚·鸦羽  2.4小恶魔
202	1032	6210404	4.5	露西亚·鸦羽 汉服
203	1032	6210405	4	露西亚·鸦羽 人鱼
210	1101		4.7	苏菲亚·银牙
220	1102		0	库洛姆·弧光
230	1103		0	薇拉·瑰丽
240	1104		0	卡穆·狂犬
250	1105		4.2	罗塞塔·凛冽
251	1105	6000506	6	罗塞塔·凛冽（赛车涂装）
260	1106		0	曲·雀翎
270	1107		0	常羽·游麟
280	1108		4.7	露娜
281	1108	6000806	6	露娜神女涂装
290	1201		0	2B
300	1202		0	A2
310	1203		0	9S
320	1109		0	万事
330	1301		0	赛琳娜
340	1112		5	库洛姆S
341	1112	6001406	5.8	库洛姆S学院
350	1303		0	21号2阶
360	1302		0	罗兰
370	1113		4.2	薇拉3阶（普通涂装）
371	1113	6001605	6.2	薇拉3阶（2022年夏日泳装）
372	1113	6001606	6.6	薇拉3阶（2023情人节埃及女神）
373	1113	6001607	6.3	薇拉3阶（2023四周年巾帼女将）
380	1033		4.2	丽芙4阶级
381	1033	6001805	6.9	丽芙4阶级（2022夏日涂装）
390	1311		4.15	赛琳娜·幻奏
391	1311	6001905	6	赛琳娜·幻奏（2022三周年巫女涂装）
392	1311	6001906	6.1	赛琳娜·幻奏  2023夏日偶像
400	1304		0	蒲牢·华钟
410	1054		0	七实·遥星之座
420	1305		0	哈卡玛·隐星
430	1027		5.6	卡列尼娜·辉晓
431	1027	6002305	7	卡列尼娜·辉晓  新春爆竹
432	1027	6002306	6.7	卡列尼娜·辉晓  IDOL
433	1027	6002307	6.7	卡列尼娜·辉晓  中元节
440	1306		0	诺安
450	1024		6.4	比安卡·深痕
451	1024	6002504	6.4	比安卡·深痕  伴生涂装
452	1024	6002505	6.1	比安卡·深痕  骑士涂装
453	1024	6002506	6.6	比安卡·深痕 吸血鬼涂装
460	1121		0	邦比娜塔·琉璃
461	1121		0	邦比娜塔·小豆泥联动
470	1021		6.2	里·超刻
471	1021	6002705	6	里·超刻 泳装（2023夏日涂装）
480	1019		5	艾拉·万华
481	1019	6002805	6	艾拉·万华  竞速涂装
490	1052		0	露西亚·深红囚影
491	1052		0	露西亚·深红囚影（2024春节涂装）
500	1114		0	含英
510	1028		5.9	回音
511	1028	6003304	6	回音特效皮
512	1028	6003305	6.5	回音魔法少女
520	1138		6.5	拉弥亚
521	1138	6003405	8	拉弥亚·深谣（2024春节涂装）
530	1043		0	布丽姬特
531	1043		0	布丽姬特·热忱漫途
