Info	Key	X	Y
30100172	PB1	7762	8023
30100172	S1	7764	8309
30100172	B101	7874	8672
30100172	B102	7655	8672
30100172	B103	7764	8770
30100173	JS	7756	7010
30100173	PB1	7770	7592
30100173	S1	7773	7909
30100173	B3	7773	8016
30100173	B101	7764	8128
99910103	PB1	7811	7808
99910103	BOOM	7829	6760
99910103	S1	7418	8172
99910103	S2	7767	8549
99910103	S3	8170	8186
99910103	S4	7785	8177
99910103	B101	7785	8265
99910103	Back	7822	5762
99959995	B101	7721	9452
99959995	PB1	7784	7603
99959995	S1	7798	8376
155555	A1	7762	7613
155555	S1	7766	8315
155555	PB1	7762	7512
155555	B101	7767	8915
155555	A2	7762	7360
155555	S2	7767	8316
155555	PB2	7764	8918
155555	B201	7767	9252
155555	P101	7798	10591
155555	P102	5854	8326
155555	P103	9487	8305
155555	L101	6096	7265
155555	L102	6136	9304
155555	L103	7247	10516
155555	L104	8177	10516
155555	L105	9415	9213
155555	L106	9376	7258
