Id	BigIcon	Icon	PartModelId	FashionId	ColorGroupId	DefaultColorId
10011	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd00001SG.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd00001SG.png		9999101		
10012	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd00001SG.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd00001SG.png		9999201		
10021	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd01001SG.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd01001SG.png		9999102	10021	1002102
10022	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd01001SG.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd01001SG.png		9999202	10022	1002202
11011	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd01001SG.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd01001SG.png		9999103		
11012	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd01001SG.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd01001SG.png		9999203		
11021	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd03001SG.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd03001SG.png		9999104		
11022	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd03001SG.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd03001SG.png		9999204		
20011	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd00001Face.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd00001Face.png	Com1ChiefmMd00001Face			
20012	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd00001Face.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd00001Face.png	Com1ChieffMd00001Face			
20021	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd01001Face.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd01001Face.png	Com1ChiefmMd01001Face			
20022	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd01001Face.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd01001Face.png	Com1ChieffMd01001Face			
21011	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd01001Face.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd01001Face.png	Com1ChiefmMd02001Face			
21012	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd01001Face.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd01001Face.png	Com1ChieffMd02001Face			
21021	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd01001Face.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd01001Face.png	Com1ChiefmMd03001Face			
21022	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd01001Face.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd01001Face.png	Com1ChieffMd03001Face			
30011	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd00001Hair.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd00001Hair.png	Com1ChiefmMd00001Hair		30011	3001101
30012	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd00001Hair.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd00001Hair.png	Com1ChieffMd00001Hair		30012	3001201
30021	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd00002Hair.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefmMd00002Hair.png	Com1ChiefmMd00002Hair		30021	3002101
30022	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd00002Hair.png	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChieffMd00002Hair.png	Com1ChieffMd00002Hair		30022	3002201
