Id	IsSuitPart	IsPreview	Name	Description	WorldDescription	ItemIcon	GoodsIcon	GoodsName	ObtainDesc	Quality	Priority	TypeId	ResId	ConvertItemId	ConvertItemCount	IncompatibleType	Parts	IncompatiblePartIds	SkipID
29001002			指挥官制服							3	3	1	[10021, 10022]						
29001101	True		套装衣装1							3	1	1	[11011, 11012]						
29001102	True		套装衣装2							3	1	1	[11021, 11022]						
29002001			脸部2							3	2	2	[20011, 20012]						
29002002			脸部1							3	3	2	[20021, 20022]						
29002101	True		套装脸部1							3	2	2	[21011, 21012]						
29002102	True		套装脸部2							3	2	2	[21021, 21022]						
29003001			发型2							3	1	3	[30011, 30012]						
29003002			发型3							3	1	3	[30021, 30022]						
29003003			发型4							3	1	3	[30031, 30032]						
29003004			发型1							3	2	3	[30041, 30042]						
29003005			发型5							3	1	3	[30051, 30052]						
29003006			发型6							3	1	3	[30061, 30062]						
29003101	True		套装发型1							5	2	3	[31011, 31012]						
29003102	True		套装发型1							5	2	3	[31021, 31022]						
29004001			配饰1							4	1	4	[40011, 40012]						
29004002			配饰2							5	1	4	[40021, 40022]						
29004003		True	小小露西亚	指挥官配饰，完成指定心语故事后获得。	她轻轻抓住臂侧的衣料，从边缘往外探出脑袋。即便眼下只有小小一只，她仍不忘时刻留意四周。“指挥官，那边好像有人求助，我们过去看看吧。”					5	1	4	[40031, 40032]						
29004004		True	小小丽芙	指挥官配饰，完成指定邀约任务后获得。	她环抱着、轻抚着，试图抚平过往种种伤痛。“指挥官一定要保护好自己，就像现在这样，安安稳稳的，在彼此身边……”					5	1	4	[40041, 40042]						
29004005		True	小小赛琳娜	指挥官配饰，完成指定邀约任务后获得。	惜此机遇，伴你身旁。是初晴，是最小单位的幸福。“无忧虑的时光间隙，忙碌旅途中的喘息，想就这样与你一同度过。”					5	1	4	[40051, 40052]						
29004006		True	小小万事	指挥官配饰，完成指定邀约任务后获得。	小小的他正在寻找可以安心打盹的栖息地，如初夏午后的树懒。“指挥官……借你的肩膀趴一趴［(－－)］ . z Z”					5	1	4	[40061, 40062]						
29004007		True	小小里	指挥官配饰，完成指定邀约任务后获得。	“我对定位器还是不够放心，保持这种状态的话，能够更好监测你的安全状况。”里如是说，一如既往地坚定。					5	1	4	[40071, 40072]						
29004008			非正式资源	非正式资源	非正式资源					5	1	4	[40071, 40072]						
29004009			非正式资源	非正式资源	非正式资源					5	1	4	[40071, 40072]						
29004101	True		套装配饰1							5	1	4	[41011, 41012]						
29990001			定制动力甲							5	1	99	[900011, 900012]			[1, 2, 3]	[29001101, 29002101, 29003101, 29004101]		
29990002		True	鸦翎勋礼	指挥官衣装。	专为授勋仪式定制的礼服，为彰显灰鸦指挥官的主角身份，肩章与面具的纹样中融入了队伍标识，凌厉的羽纹为庄重的仪式镀上了一层锋芒。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDIYClo/UiBigWorldDIYCloChiefbMd03001SG.png	Assets/Product/Texture/Image/IconCoating/IconCoatingBigWorldDIY29990002.png	鸦翎勋礼——指挥官	获得空中花园——鸦翎勋礼	5	1	99	[900021, 900022]			[1, 2, 3]	[29001102, 29002102, 29003102]		[1201]
