Id	IsShowBoss	AnnoName	AnnoDesc
1		placeholder_报幕1	placeholder_这是报幕1
2	True	placeholder_报幕2	placeholder_这是报幕2
10	True	启程·虚妄	
11	True	迷局·深陷	
12	True	临界·梦魇	
13	True	绝境·围猎	
101		迷雾中的寻觅	自绞刑架脱逃后，比起自身的安危，还有更重要的事在等着你。
110		未竟的调查	关于“嗜血妖鸟”的案件疑点重重，你只能在这场迷雾中，继续寻找新的线索。
111		冰冷的暗夜	用最敏锐的专注和洞察，去看透隐匿在暗夜之下的真相。
120		暗影中的怪响	循着老鼠残留下的足迹，你仔细地分辨着其中的线索。
130		古怪的盛宴	巨大的宴会厅里，主人和宾客的脸上都挂着古怪的笑容。
131		真实与虚幻间	在似真似幻的雾中，你似乎陷入了一个无法走出来的梦境中。
140		宿命的终章	在一切的狂乱与荒谬的尽头，是一切最终的真相。
141		迷雾的彼端	在重重的雾影之后，总有新的秘密，窥伺着凝视迷雾之人。
150		不祥的祝祷	在圣洁的祭坛之后，埋藏着诸多与过去有关的，无法宣之于口的隐秘。
151		纷乱的漩涡	在混乱中，混乱的暗流涌动，祝祷已经无人聆听。
160		于天明之前	在从不公的审判逃离之后，夜幕中，下一个目标已然浮现
161		黑暗中的破晓	在无光的黑暗中，以绝不后退的勇气，直面黑暗中的一切。
170		幻境的田野	在意识中无边的“田野”上，盛放的花朵却是从未见过的模样。
171		虚无的远方	诸多丝线交织，真实与虚幻之间的边界已然模糊不清。
180		幻境如镜纠缠	在意识深处的幻境中，你触达了无数过往的碎片。
181		迷雾的重途	在埋葬了旧日的阴影之后，新的谜题再度浮现于迷雾之中。
