Id	Name	Des
1	Placeholder_TestKeyWord1	Placeholder_This is test keyword 1 desc
2	Placeholder_TestKeyWord2	Placeholder_This is test keyword 2 desc
3	Placeholder_TestKeyWord3	Placeholder_This is test keyword 3 desc
11	晕眩	placeholder_晕眩期间，无法获取【超序值】
12	点燃	placeholder_每隔X秒，受到Y点伤害，持续时间无限，可无限叠加。
13	击飞	placeholder_敌人被击飞期间，无法触发格挡
14	击倒	placeholder_敌人被击倒期间，无法触发格挡
15	洞察	placeholder_下1次使用技能时，消耗1层<洞察>并触发【暴击】。持续时间无限，可无限叠加。
16	暴击	placeholder_此次技能造成伤害提升x%，并恢复y点【战意值】。
17	守势	placeholder_下1次对手技能命中时，消耗1层<守势>并触发【格挡】。持续时间无限，可无限叠加。
18	格挡	placeholder_此次技能受到伤害降低x%，且此此技能恢复的【超序值】提升y%。
19	怒火	placeholder_通过使用技能，可以获得一定点数的【怒火】，持续时间无限。\n【怒火】上限为100点，达到上限时，进入【狂袭】。
20	狂袭	placeholder_【狂袭】状态下，造成伤害提高X%，使用任意技能均将消耗10点【怒火】，部分技能将触发额外效果。\n在【怒火】消耗至0时，【狂袭】状态结束。【狂袭】无法叠加。
21	拼刀	placeholder_战斗开始时以及双方【战意值】均耗尽时，将触发一次【拼刀】。在【拼刀】中获胜的一方，将获得出手权。
22	反制	placeholder_战斗中一方【超序值】达到100点时，将触发一次【反制】。在【反制】中获胜的一方，将获得出手权。
23	先机	placeholder_部分技能在【先机】属性高时可以造成额外效果。
24	超序	placeholder_部分技能在【超序】属性高时可以造成额外效果。
25	战意	placeholder_部分技能在【战意】属性高时可以造成额外效果。
