Id	Values
ConsumeId	['1']
ItemFlySpeed	['0.3']
StoryUpdateTime	['2026/1/1']
IconLife	['Assets/Product/Texture/Image/IconAffix/AffixIconFusu2.png']
IconAttack	['Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png']
IconWrestle	['Assets/Product/Texture/Image/IconAffix/AffixIconDiandun2.png']
IconStamina	['Assets/Product/Texture/Image/IconAffix/AffixIconTongling2.png']
IconOverClock	['Assets/Product/Texture/Image/IconAffix/AffixIconKangyuansu2.png']
MaxRelicCount	['5']
MaxBuffCount	['6']
TaskShopTagName	['商店', '任务']
RoomIcon	['2', 'Assets/Product/Texture/Image/IconAffix/AffixIconChange.png', '3', 'Assets/Product/Texture/Image/IconAffix/UiTheatre4IconLv2502.png', '4', 'Assets/Product/Texture/Image/IconAffix/UiTheatre4IconLv2501.png', '5', 'Assets/Product/Texture/Image/IconAffix/AffixIconBaozou2.png', '6', 'Assets/Product/Texture/Image/IconAffix/AffixIconShashibiya4.png']
EventBackgroup	['Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror04.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror04.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror04.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror04.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror05.png']
IconCoin	['Assets/Product/Texture/Image/Iconcurrency/IconService.png']
IconSan	['Assets/Product/Texture/Image/IconAffix/AffixIconHamlet2.png']
IconHp	['Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon006.png']
MaxArchiveSlot	['6']
DescGold	['游离于清醒和疯狂的边界，却始终以理智对抗着深渊。']
DescHealth	['独行在危机四伏的迷雾之中，以探查真相之心，充当引领彼身前行的明灯。']
PvId	['20004']
Quality1	['Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillWhite.png']
Quality2	['Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillWhite.png']
Quality3	['Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillWhite.png']
Quality4	['Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillWhite.png']
Quality5	['Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillWhite.png']
NotEnough	['FF0000']
UseDescGold	['可在情报之间中换取商品']
UseDescHealth	
NameGold	['古旧金币']
NameHealth	['生机']
SkillType	['主动技能', '拼刀技能', '反制技能', '触发技能']
IconSp	['Assets/Product/Texture/Image/IconAffix/AffixIconQianggong2.png']
StoryFirstGuideId	['64703']
StoryRepeatGuideId	['64704']
SanTypeDesc	['理智正常', '理智低于%s', '理智高于%s', '理智达到%s']
SanTypeName	['理智正常', '理智异常', '理智异常', '呓语缠身']
SanCircleAngle	['-10.2', '10.2']
SkillType1Bg	['Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillWhite.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillGreen.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillBlue.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillPurple.png', 'Assets/Product/Texture/Image/UiTheatre6/UiTheatre6FightSkillOrange.png']
