Id	Name	Annotation	FightNpcId	OccupiableObjectId	RolePartModelIds
101001	制服女NPC1（剧情）		6002		['Npc1FemaleMd00001Hair01_Lod0', 'Npc1FemaleMd00001Body_Lod0', 'Npc1FemaleMd00001Face']
101010	女X待机动作01（剧情）		6002		['Npc1FemaleMd00002Hair01_Lod0', 'Npc1FemaleMd00002Body01_Lod0', 'Npc1FemaleMd00001Face']
101011	女X待机动作02（剧情）		6002		['Npc1FemaleMd00002Hair02_Lod0', 'Npc1FemaleMd00002Body02_Lod0', 'Npc1FemaleMd00001Face']
101012	女X待机动作03（剧情）		6002		['Npc1FemaleMd00002Hair03_Lod0', 'Npc1FemaleMd00002Body03_Lod0', 'Npc1FemaleMd00001Face']
101013	女X待机动作04（剧情）		6002		['Npc1FemaleMd00002Hair04_Lod0', 'Npc1FemaleMd00002Body04_Lod0', 'Npc1FemaleMd00001Face']
101019	男y待机动作01（剧情）		6003		['Npc1MaleMd00001Hair01_Lod0', 'Npc1MaleMd00001Body_Lod0', 'Npc1MaleMd00001Face']
101028	男X待机动作01（剧情）		6003		['Npc1MaleMd00002Hair01_Lod0', 'Npc1MaleMd00002Body03_Lod0', 'Npc1MaleMd00001Face']
101029	男X待机动作02（剧情）		6003		['Npc1MaleMd00002Hair01_Lod0', 'Npc1MaleMd00002Body04_Lod0', 'Npc1MaleMd00001Face']
101030	男X待机动作03（剧情）		6003		['Npc1MaleMd00002Hair01_Lod0', 'Npc1MaleMd00002Body05_Lod0', 'Npc1MaleMd00001Face']
101031	男X待机动作04（剧情）		6003		['Npc1MaleMd00002Hair01_Lod0', 'Npc1MaleMd00002Body02_Lod0', 'Npc1MaleMd00001Face']
101037	库洛洛		6005		
101038	战损库洛洛		6004		
101039	女y走		6002		['Npc1FemaleMd00001Hair01_Lod0', 'Npc1FemaleMd00001Body_Lod0', 'Npc1FemaleMd00001Face']
101040	男Y待机动作03气泡		6007		['Npc1MaleMd00001Hair01_Lod0', 'Npc1MaleMd00001Body_Lod0', 'Npc1MaleMd00001Face']
101041	PV单人气泡NPC（剧情）		6003		['Npc1MaleMd00001Hair01_Lod0', 'Npc1MaleMd00001Body_Lod0', 'Npc1MaleMd00001Face']
