Id	GroupIndex	StageIndex	DifficultyId	Name	NameEn	Desc	Icon	BgIcon	ShowMonsterIcon	ShowMonsterName	ShowFightEventId	FightEventId	Type	RootId	RootGuardId	SubMonsterBornCd	TreatMstInterval	TreatMstPercent	WeaknessFightEventId	AttackBaseDamage	AttackBaseInterval	LinkIds	HpMax	RewardId	GuildWarStageId	EliteMonsterId	EliteMonsterBornInterval	BuffGroupId	RebuildTime	RebuildTimeFactor	RebuildMaxTime	RebuildGuildWarStageId	ResidueStageId	BaseSubHp	MaxSubHp	MaxPoint	BasePoint	MinSubDamage	FactorA	FactorB	FactorC	FactorD	FightCostEnergy	SweepCostEnergy	HelpTitle	HelpDetail	DescWeakness	ModelId	DeployCharacterMax	DeployCharacterNum	DeployBuff
101	1	1	1	资源保障区Ⅰ	Resource Security Area		Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon1.png		Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon1.png	资源保障区			1									[102]	10000																												
102	3	1	1	关口Ⅰ	The PassⅠ	蛐蛐小怪不足为惧，直接一个<color=#0f70bc>聚怪击杀</color>\n<color=#BFBFBF>To Be Continued...</color>	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon2.png		Assets/Product/Texture/Image/RoleCharacter/ShaojiepaoNormal01.png	哨戒机炮			2									[103, 101]	10000		1									1600	2650	680		1050	0.6	30.0	5.0	680.0	20	20	关口Ⅰ	1.蛐蛐小怪不足为惧！\n2.<color=#4169E1>聚怪</color>并速度击杀			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[250, 500, 750, 1000, 1250, 1500, 1750, 2000, 2250, 2500]
103	3	2	1	关口Ⅱ	The PassⅡ	蛐蛐小怪不足为惧，直接一个<color=#0f70bc>聚怪击杀</color>\n<color=#BFBFBF>To Be Continued...</color>	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon2.png		Assets/Product/Texture/Image/RoleCharacter/Mo1YeyaMd000001.png	液压			2									[104, 102]	10000		2									1600	2650	680		1050	0.6	30.0	5.0	680.0	20	20	关口Ⅱ	1.蛐蛐小怪不足为惧！\n2.<color=#4169E1>聚怪</color>并速度击杀			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[250, 500, 750, 1000, 1250, 1500, 1750, 2000, 2250, 2500]
104	3	3	1	孤崖关塞	Cliff Fortress	大量的怪物封锁了前进的道路，集中力量突破它们。	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon14.png		Assets/Product/Texture/Image/RoleCharacter/VoodooNormal01.png	巫毒	[2240403]		16									[105, 103]	10000		107									1000	1650	680		650	0.5	180.0	140.0	680.0	20	20	孤崖关塞	1.大量的怪物封锁了前进的道路，集中力量突破它们！\n2.<color=#4169E1>击杀</color>或<color=#4169E1>击破</color>怪物霸体可进入超算空间。			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[250, 500, 750, 1000, 1250, 1500, 1750, 2000, 2250, 2500]
105	3	4	1	关口Ⅲ	The PassⅢ	蛐蛐小怪不足为惧，直接一个<color=#0f71bc>聚怪击杀</color>\n<color=#BFBFBF>To Be Continued...</color>	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon2.png		Assets/Product/Texture/Image/RoleCharacter/TuziNormal01.png	陆3-长耳兔			2									[106, 104]	10000		3									1600	2650	680		1050	0.6	30.0	5.0	680.0	20	20	关口Ⅲ	1.蛐蛐小怪不足为惧！\n2.<color=#4169E1>聚怪</color>并速度击杀			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[250, 500, 750, 1000, 1250, 1500, 1750, 2000, 2250, 2500]
106	3	5	1	关口Ⅳ	The PassⅣ	蛐蛐小怪不足为惧，直接一个<color=#0f70bc>聚怪击杀</color>\n<color=#BFBFBF>To Be Continued...</color>	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon2.png		Assets/Product/Texture/Image/RoleCharacter/Mo1KongzhongjianshiqiMd000001.png	空中监视器			2									[107, 105]	10000		4									1600	2650	680		1050	0.6	30.0	5.0	680.0	20	20	关口Ⅳ	1.蛐蛐小怪不足为惧！\n2.<color=#4169E1>聚怪</color>并速度击杀			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[250, 500, 750, 1000, 1250, 1500, 1750, 2000, 2250, 2500]
107	3	6	1	寒冰隘口	Treacherous Gap	BOSS前的最后一个防线	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon4_1.png		Assets/Product/Texture/Image/RoleCharacter/DiaorenyixingNormal01.png	骁卫	[2240421]	[2240409]	5									[110, 106]	10000		122									1000	1650	680		650	0.6	30.0	5.0	680.0	20	20	寒冰隘口	1.击杀敌方怪物后，怪物变为<color=#4169E1>灵魂</color>攻击<color=#4169E1>核心护盾</color>。\n2.每波怪物击杀后，可使核心短暂<color=#4169E1>解除无敌</color>状态。\n3.趁核心<color=#4169E1>无敌状态</color>解除，集中火力击破核心。			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[250, 500, 750, 1000, 1250, 1500, 1750, 2000, 2250, 2500]
110	2	1	1	高危绝壁	High-risk Cliffs	寐者被击败后将卷土重来，魇梦等级提升，所有怪物<color=#4169E1>攻击和血量获得提升！</color>	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon8.png	Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang7.png	Assets/Product/Texture/Image/RoleCharacter/Mb1MelinoeMd010001.png	墨利诺厄	[2240422]	[2240288]	19				2	10				[107]	10000		173								91	1600	3710	1015		2110	0.625	45.0	5.0	1015.0	20	20	墨利诺厄	1.寐者被击败后将卷土重来，魇梦等级提升，所有怪物<color=#4169E1>攻击和血量获得提升！</color>\n2.寐者受到攻击后会积累魇梦，魇梦满后释放终极必杀，并短暂开启暴走模式！		Mb1MelinoeMd010001UI	80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[250, 500, 750, 1000, 1250, 1500, 1750, 2000, 2250, 2500]
1021	3	1	1	残垣断壁	The PassⅠ	受寐者的影响，这片区域的怪物更加残暴，战斗变得异常困难！	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon22.png	Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang7.png	Assets/Product/Texture/Image/RoleCharacter/ShaojiepaoNormal01.png	哨戒机炮	[2240415]	[2240404]	2	102									10000		137									1600	2650	680		1050	0.6	30.0	5.0	680.0	20	20	关口Ⅰ	受寐者的影响，这片区域的怪物更加残暴，战斗变得异常困难！			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[250, 500, 750, 1000, 1250, 1500, 1750, 2000, 2250, 2500]
1031	3	2	1	残垣断壁	The PassⅡ	受寐者的影响，这片区域的怪物更加残暴，战斗变得异常困难！	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon22.png	Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang7.png	Assets/Product/Texture/Image/RoleCharacter/Mo1YeyaMd000001.png	液压	[2240415]	[2240404]	2	103									10000		138									1600	2650	680		1050	0.6	30.0	5.0	680.0	20	20	关口Ⅱ	受寐者的影响，这片区域的怪物更加残暴，战斗变得异常困难！			80	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[250, 500, 750, 1000, 1250, 1500, 1750, 2000, 2250, 2500]
