Key	Comment	Value
MoveCostEnergy	移动消耗体力	1
ProgressWarnAfterStart	轮次开始多久后开始发进度预警邮件，单位小时(6天)	144
AddEnergy	每晚8点加多少体力	70
AutoSetDifficultyDelay	（废弃字段）轮次开始后最晚多久自动设置难度，单位小时	3
MaxEnergy	最高体力	210
ActivityPointItemId	活动体力ID	96114
NodeRewardMailId	每晚节点奖励邮件ID	0
RoundRewardMailId	轮次奖励邮件ID	0
EntryBgPath	入口配图地址	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarBtn04.png
AssistCountSupply	单次支援补给	30
AssistTimeSupply	时间补给，每10分钟多少	1
AssistCountSupplyLimit	单轮支援补给上限	600
AssistTimeSupplyLimit	单轮时间补给上限	576
UseAssistCharacterCd	使用支援角色CD，单位秒（1小时）	3600
AssistMaxDisplayCount	最多显示多少个支援角色，防止数据量太大	40
AssistLogMaxCount	支援日志最大数量	35
MaxBossLevel	公会战四期boss最大等级	99
ResourceNodeAttackedInterval	资源点袭击间隔（单位：秒）	172800
ResourceNodeScoreAddition	单个资源点积分加成百分比	5
MoneyHipLeftTime	货币蓝点条件-活动剩余时间（秒）	259200
RewardItemId	货币Id	96206
RewardItemHipLimitCount	货币蓝点条件-数目下限	30
BossNodeType	本期Boss战节点类型	14
ReinforcementBuffEffectInterval	援兵Buff生效时间，单位秒	86400
ReinforcementSupportHp	每个物资提升多少血量	25
ExtraAddEnergyRule	额外增加体力规则	"{""DifficultyIds"":[1,2],""GiveDays"":4,""GameThrough"":2,""NodeConditions"":[{""Priority"":1,""NodeType"":16,""EnergyAdd"":70},{""Priority"":2,""NodeType"":5,""EnergyAdd"":20}]}"
GuildWarShopId	商店id	4017
DragonRageOpenNodeType	一周目开启红潮值条件，通关节点类型（封锁点）	16
FullDragonRageGameThrough	大于等于3周目后切换周目红潮值充满，并维持满状态	3
DragonRageRankDifficultyId	每次通关难度三，周目增加，红潮值总等级增加	3
