CharacterId	GroupId	MailId	ArchiveMailId	CommunicationId
1011002	1	105101	378	6101
1011003	1	105101	378	6102
1011004	1	105101	378	6103
1021001	2	105102	379	6104
1021002	2	105102	379	6105
1021004	2	105102	379	6106
1021006	2	105102	379	6159
1021003	24	105109	386	6107
1021005	24	105109	386	6108
1031001	3	105103	380	6109
1031002	3	105103	380	6110
1031003	3	105103	380	6111
1031004	3	105103	380	6112
1031005	3	105103	380	6170
1041002	4	105104	381	6113
1041003	4	105104	381	6114
1041004	4	105104	381	6115
1041005	4	105104	381	6167
1051001	5	105105	382	6116
1051003	5	105105	382	6117
1051004	5	105105	382	6118
1051005	5	105105	382	6161
1061002	6	105106	383	6119
1061003	6	105106	383	6120
1061004	6	105106	383	6174
1071002	7	105107	384	6121
1071003	7	105107	384	6122
1071004	7	105107	384	6123
1081002	8	105108	385	6124
1081003	8	105108	385	6125
1081004	8	105108	385	6154
1091002	9	105110	387	6126
1091003	9	105110	387	6127
1111002	10	105111	388	6128
1121002	11	105112	389	6129
1121003	11	105112	389	6130
1131002	12	105113	390	6131
1131003	12	105113	390	6132
1131004	12	105113	390	6166
1141003	13	105116	393	6133
1141004	13	105116	393	6172
1161002	14	105118	395	6134
1171003	15	105114	391	6135
1171004	15	105114	391	6155
1211002	16	105119	396	6136
1211003	16	105119	396	6158
1221002	17	105121	398	6137
1221003	17	105121	398	6138
1511003	18	105115	392	6139
1521003	19	105117	394	6140
1521004	19	105117	394	6156
1531003	20	105120	397	6141
1531004	20	105120	397	6142
1531005	20	105120	397	6164
1541003	21	105122	399	6143
1551003	22	105123	400	6144
1561003	23	105124	401	6145
1571003	25	105125	402	6146
1231002	26	105126	403	6147
1241002	27	105127	404	6148
1241003	27	105127	404	6157
1251002	28	105128	405	6149
1261003	29	105129	406	6150
1271003	30	105130	407	6151
1291002	31	105131	408	6152
1291003	31	105131	408	6171
1301002	32	105132	409	6153
1311002	33	105133	410	6160
1321003	34	105134	411	6162
1331003	35	105135	412	6163
1341002	36	105136	413	6165
1371002	37	105137	414	6168
1381003	38	105138	415	6169
1391003	39	105139	416	6173
