StageId	PatternId	StageType	GridIndex	GridName	Danger	Tips	AffixIds	MonsterIds
30161400	1001	1	1	1	4500	['营救被困构造体小队', '注意远离危险爆炸物']		[1003, 1002]
30161401	1001	1	2	2	5000	['支援大桥上的构造小队', '注意敌方精英单位']		[1003, 1012, 1002, 2004]
30161402	1001	1	3	3	5500	['掩护小队从大桥撤离']		[1003, 1012, 1002, 2002, 1006]
30161403	1001	1	4	4	6000	['保护两名队员撤离至停机坪']		[1008, 1002]
30161404	1001	1	5	5	6500	['救援战机已抵达', '迅速清理敌方精英单位并撤离']		[2008]
30161416	1001	1	6	6	7000	['战机临时停靠', '注意保护战机']		[1019, 1017, 1020, 1018]
30161417	1001	1	7	7	7500	['调查轨道区域的异常']		[1019, 1018, 1017, 1020, 1022, 2016]
30161418	1001	1	8	8	8000	['继续深入调查轨道区域']		[1020, 1017, 1019, 1022, 1018, 1021]
30161419	1001	1	9	9	8500	['调查轨道区域的异常源头']		[1019, 1017, 1018, 1020, 2016, 2027]
30161420	1001	1	10	10	8500	['清除轨道区域的异常源头']		[3016]
30161411	1002	1	1	1	9000	['前往调查可疑工厂', '注意远离危险爆炸物', '完成本关挑战后可解锁1名新角色']		[1014, 1013, 2011, 2003]
30161412	1002	1	2	2	9000	['在门禁破解前守住阵线', '重启自律警卫来协助战斗']		[1014, 1013, 2003, 2014, 2005]
30161413	1002	1	3	3	9000	['进入工厂内部调查']		[2025, 2011, 1014]
30161414	1002	1	4	4	9000	['继续前往工厂内部', '注意躲避机关']		[2009, 2011, 2003, 2010, 2005, 2014]
30161415	1002	1	5	5	9000	['清除工厂内部的感染体首领']		[3023]
30161405	1003	1	1	1	10000	['前往极地调查目标数据']		[1031, 1016, 2015]
30161406	1003	1	2	2	10000	['调查港口区域']		[1016, 1031, 2015]
30161407	1003	1	3	3	10000	['在角鲸号上迎击敌人', '注意敌方精英单位']		[1046, 1016, 2028]
30161408	1003	1	4	4	10000	['追击目标敌方']		[1033, 1032, 2021]
30161409	1003	1	5	5	11000	['收集目标数据', '有强力感染体出没请小心！']		[3021]
30161431	1003	2	6	无限阵线	12000	['坚守阵线', '侦测到大量感染体进攻']		
