UiName	Sort	IsShow	KeyCode	KeyText
Default			[1023, 1026, 330, 331]	['移动光标', '滑动列表', '点击', '返回']
UiBigWorldHud				
UiFightDLC		True	[1023, 1026, 331]	['移动', '旋转视角', '跳跃']
PlayerInfoBaseNew		True	[1023, 1025, 330, 331]	['移动光标', '滑动列表', '点击', '返回']
UiBigWorldCoating		True	[1023, 1025, 330, 331]	['移动光标', '滑动列表', '点击', '返回']
UiBigWorldTaskMain		True	[1023, 1025, 330, 331]	['移动光标', '滑动列表', '点击', '返回']
UiBigWorldSet		True	[1023, 1025, 330, 331]	['移动光标', '滑动列表', '点击', '返回']
UiBigWorldProcess		True	[1023, 1025, 330, 331]	['移动光标', '滑动列表', '点击', '返回']
UiBigWorldBackpack		True	[1023, 1025, 330, 331]	['移动光标', '滑动列表', '点击', '返回']
UiBigWorldDIY/PanelGender		True	[1023, 330]	['移动光标', '点击']
UiBigWorldDIY/PanelComponent		True	[1023, 1025, 330]	['移动光标', '滑动列表', '点击']
UiBigWorldDIY/BtnBack	2	True	[1023, 1025, 330, 331]	['移动光标', '滑动列表', '点击', '返回']
UiBigWorldPopupMessage		True	[1025, 330, 331]	['滑动列表', '点击', '返回']
UiBigWorldMessage		True	[1023, 1025, 330, 331]	['移动光标', '滑动列表', '点击', '返回']
UiSkyGardenCafeMain		True	[1023, 330, 331]	['移动光标', '点击', '返回']
UiSkyGardenCafeHandBook		True	[1023, 330, 331]	['移动光标', '点击', '返回']
UiSkyGardenCafePopupSettlement		True	[1023, 330, 331]	['移动光标', '点击', '返回']
UiSkyGardenCafePopupDetail		True	[1023, 330, 331]	['移动光标', '点击', '返回']
UiBigWorldMap		True	[1023, 330, 331, 330, 1012, 1011]	['移动光标', '点击', '返回', '按住可拖动地图', '楼层循环切换', '地图循环切换']
UiBigWorldMap/UiBigWorldMapDetail		True	[1023, 330, 331, 330]	['移动光标', '点击', '返回', '按住可拖动地图']
UiSkyGardenDormPhotoWall/PanelMenu		True	[1023, 1024, 330, 331]	['移动光标', '滑动列表', '选择', '返回']
UiSkyGardenDormPhotoWall		True	[1023, 330, 331, 330]	['移动光标', '选择', '返回', '按住可移动物件']
UiSkyGardenDormPresuppose		True	[1023, 330, 331]	['移动光标', '选择', '返回']
UiSkyGardenDormPhotoWall/SafeAreaContentPane		True	[1023, 330, 331]	['移动光标', '选择', '返回']
UiSkyGardenDormCodex		True	[1023, 1025, 330, 331]	['移动光标', '滑动列表', '选择', '返回']
UiSkyGardenDormItemDetail3D		True	[1023, 330, 331]	['移动光标', '按住可旋转模型', '返回']
UiBigWorldRoleRoom		True	[1023, 330, 330, 331]	['移动光标', '按住可拖动角色', '点击', '返回']
UiBigWorldRoleRoom/PlayerInfoBaseNew		True	[1023, 1025, 330, 331]	['移动光标', '滑动列表', '选择', '返回']
UiBigWorldRoleRoom/PanelOwned		True	[1023, 1025, 330, 331]	['移动光标', '滑动列表', '选择', '返回']
UiBigWorldPhotographControl		True	[1023, 1026, 331]	['移动镜头', '旋转视角', '返回']
UiBigWorldPhotographControl/BtnCheckBox		True	[1025, 330, 331]	['滑动列表', '选择', '返回']
UiBigWorldPhotographPopupPhoto		True	[330, 331]	['选择', '返回']
UiBigWorldPhotographPopupAlbum		True	[1023, 1025, 330, 331]	['移动光标', '滑动列表', '选择', '返回']
UiBigWorldPhotographPopupAlbumDetail		True	[1023, 330, 331]	['移动光标', '选择', '返回']
UiBigWorldPhotographPopupPhotoReName		True	[1023, 330, 331]	['移动光标', '选择', '返回']
UiBigWorldPopupTeach		True	[1023, 1025, 330, 331]	['移动光标', '滑动列表', '点击', '返回']
UiBigWorldTeachMain		True	[1023, 1025, 330, 331]	['移动光标', '滑动列表', '选择', '返回']
UiBigWorldPopupDelivery		True	[1023, 330, 331]	['移动光标', '点击', '返回']
UiBigWorldPopupNews		True	[1023, 1025, 330, 331]	['移动光标', '滑动列表', '点击', '返回']
UiBigWorldMapOverview		True	[1023, 330, 331]	['移动光标', '点击', '返回']
UiBigWorldTaskMainInvitation		True	[1023, 330, 331]	['移动光标', '点击', '返回']
UiBigWorldTextDialog		True	[1023, 1025, 331]	['移动光标', '滑动列表', '返回']
UiBigWorldPopupAdvance		True	[1023, 1024, 330, 331]	['移动光标', '滑动列表', '点击', '返回']
UiBigWorldPopupEnvironmentalStory		True	[1023, 1024, 330, 331]	['移动光标', '滑动列表', '点击', '返回']
