Id	MutualExclusionIds
1	[2]
2	[1, 3]
3	[2]
101	
102	[103]
103	[102]
111	[112]
112	[111, 113, 114, 115]
113	[113, 115]
114	[115]
115	[112, 113, 114]
150	[151, 153, 154, 1001, 1002, 1003, 1004, 1005, 1006, 1007, 1008]
151	[150, 153, 154, 1001, 1002, 1003, 1004, 1005, 1006, 1007, 1008]
153	[150]
154	[1002]
1001	[1002, 1003, 1004, 1005, 150, 151, 154, 1006, 1007, 1008]
1002	[1001, 1003, 1004, 1005, 150, 151, 154, 1006, 1007, 1008]
1003	[1001, 1002, 1004, 1005, 150, 151, 154, 1006, 1007, 1008]
1004	[1001, 1002, 1003, 1005, 150, 151, 154, 1006, 1007, 1008]
1005	[1001, 1002, 1003, 1004, 150, 151, 154, 1006, 1007, 1008]
1006	[1001, 1002, 1003, 1004, 150, 154, 1005, 151, 1007, 1008]
1007	[1001, 1002, 1003, 1004, 150, 154, 1005, 151, 1006, 1008]
1008	[1001, 1002, 1003, 1004, 150, 154, 1005, 151, 1006, 1007]
16028	[16029]
16029	[16028]
16030	[16031, 16028, 16029]
16031	[16030]
