Id	Name	Rank	TimeId	ActivityName	EntryTexture
1	演练期			飒棋战阵	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner29.png
2	实战期（过期）	1		飒棋战阵	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner29.png
3	演练期			飒棋战阵	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner29.png
4	实战期	1		飒棋战阵	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner29.png
5	演练期			飒棋战阵	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner29.png
6	实战期	1		飒棋战阵	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner29.png
7	演练期			飒棋战阵	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner29.png
8	实战期			飒棋战阵	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner29.png
9	演练期			飒棋战阵	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner29.png
10	实战期			飒棋战阵	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner29.png
11	演练期（过期）			飒棋战阵	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner29.png
12	实战期	1		飒棋战阵	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner29.png
