Id	Name	IconPath	Text	Param
KURO_BBS	库街区	Assets/Product/Texture/Atlas/Common/CommonKujiequ.png	战双帕弥什	
QQ	QQ	Assets/Product/Texture/Atlas/Common/CommonQQ.png	战双帕弥什	
QQ_ZONE	QQ空间	Assets/Product/Texture/Atlas/Common/CommonQzone.png	战双帕弥什	
WECHAT	微信	Assets/Product/Texture/Atlas/Common/CommonWeixin.png	战双帕弥什	
WECHAT_MOMENTS	微信朋友圈	Assets/Product/Texture/Atlas/Common/CommonCircleOfFriend.png	战双帕弥什	
BILIBILI	Bilibili	Assets/Product/Texture/Atlas/Common/CommonBilibili.png	战双帕弥什	
WEI_BO	微博	Assets/Product/Texture/Atlas/Common/CommonWeibo.png	战双帕弥什	
DOU_YIN	抖音	Assets/Product/Texture/Atlas/Common/CommonKujiequ.png	未启用	
LITTLE_RED_BOOK	小红书	Assets/Product/Texture/Atlas/Common/CommonKujiequ.png	未启用	
TAP_TAP	Taptap	Assets/Product/Texture/Atlas/Common/CommonTaptap.png	战双帕弥什	
