Id	Name
1	<color=#000000ff><size=35>                                                                                                       ——</size></color>
2	\n\n\n\n\n\n
3	<color=#ffffffff><size=35><i>                                                                                                     Nel suo profondo vidi che s’interna，</i></size></color>
4	<color=#ffffffff><size=35><i>                                                                                                     在这光明的深处，我见到了全新的结末，</i></size></color>
5	\n
6	<color=#ffffffff><size=35><i>                                                                                                     legato con amore in un volume，</i></size></color>
7	<color=#ffffffff><size=35><i>                                                                                                     是爱，让分散在宇宙的一切都集结成册，</i></size></color>
8	\n
9	<color=#ffffffff><size=35><i>                                                                                                     ciò che per l’universo si squaderna.</i></size></color>
10	<color=#ffffffff><size=35><i>                                                                                                     当你翻动手上的书页之时，我便永远陪伴在你身边。</i></size></color>
11	\n
12	\n\n\n\n\n\n\n\n\n\n\n\n\n
13	<color=#000000ff><size=35>                                                                                                       ——</size></color>
