Id	UiPrefab	Icon	Name	Desc	ShowTime	CvList
1	Assets/Product/Ui/ComponentPrefab/UiCerberus/PanelCerberusDialog01.prefab	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Twentyone1.png	21号	21号……和薇拉一起撕碎它们。	4	[100002843]
2	Assets/Product/Ui/ComponentPrefab/UiCerberus/PanelCerberusDialog01.prefab	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Weila1.png	薇拉	那就跟紧了！	2	[100002844]
3	Assets/Product/Ui/ComponentPrefab/UiCerberus/PanelCerberusDialog01.prefab	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR2Nuoketi1.png	诺克提	要一起上了吗！队长！	3	[100002845]
4	Assets/Product/Ui/ComponentPrefab/UiCerberus/PanelCerberusDialog01.prefab	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Weila1.png	薇拉	你也别偷懒。	2	[100002846]
5	Assets/Product/Ui/ComponentPrefab/UiCerberus/PanelCerberusDialog01.prefab	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR2Nuoketi1.png	诺克提	三七！热身该结束了！	3	[100002847]
6	Assets/Product/Ui/ComponentPrefab/UiCerberus/PanelCerberusDialog01.prefab	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Twentyone1.png	21号	不用诺克提指挥。	2	[100002848]
7	Assets/Product/Ui/ComponentPrefab/UiCerberus/PanelCerberusDialog01.prefab	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Weila1.png	薇拉	就这吗？还不够21号磨爪子的！	4	[100002849]
8	Assets/Product/Ui/ComponentPrefab/UiCerberus/PanelCerberusDialog01.prefab	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Twentyone1.png	21号	21号，会和队长分享猎物。	4	[100002850]
9	Assets/Product/Ui/ComponentPrefab/UiCerberus/PanelCerberusDialog01.prefab	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Twentyone1.png	21号	21号允许诺克提参加狩猎。	3	[100002851]
10	Assets/Product/Ui/ComponentPrefab/UiCerberus/PanelCerberusDialog01.prefab	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR2Nuoketi1.png	诺克提	来吧！看看谁打倒得更多！	3	[100002852]
11	Assets/Product/Ui/ComponentPrefab/UiCerberus/PanelCerberusDialog01.prefab	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Weila1.png	薇拉	把力气给我全使出来，诺克提！	3	[100002853]
12	Assets/Product/Ui/ComponentPrefab/UiCerberus/PanelCerberusDialog01.prefab	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR2Nuoketi1.png	诺克提	这种事我可从来没错过！	2	[100002854]
13	Assets/Product/Ui/ComponentPrefab/UiCerberus/PanelCerberusDialog01.prefab	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Weila1.png	薇拉	三头犬可不只是名字而已！	4	[100002855]
14	Assets/Product/Ui/ComponentPrefab/UiCerberus/PanelCerberusDialog01.prefab	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Twentyone1.png	21号	这是三倍的痛苦！哈哈……	4	[100002856]
15	Assets/Product/Ui/ComponentPrefab/UiCerberus/PanelCerberusDialog01.prefab	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR2Nuoketi1.png	诺克提	下一个节目，是被三头犬炸上天！	4	[100002857]
16	Assets/Product/Ui/ComponentPrefab/UiCerberus/PanelCerberusDialog02.prefab	Assets/Product/Texture/Image/UiCerberus/UiCerberusRoleHead03.png	21号	21号……和薇拉一起撕碎它们。	4	[100002843]
17	Assets/Product/Ui/ComponentPrefab/UiCerberus/PanelCerberusDialog02.prefab	Assets/Product/Texture/Image/UiCerberus/UiCerberusRoleHead02.png	薇拉	那就跟紧了！	2	[100002844]
18	Assets/Product/Ui/ComponentPrefab/UiCerberus/PanelCerberusDialog02.prefab	Assets/Product/Texture/Image/UiCerberus/UiCerberusRoleHead01.png	诺克提	要一起上了吗！队长！	3	[100002845]
19	Assets/Product/Ui/ComponentPrefab/UiCerberus/PanelCerberusDialog02.prefab	Assets/Product/Texture/Image/UiCerberus/UiCerberusRoleHead02.png	薇拉	你也别偷懒。	2	[100002846]
20	Assets/Product/Ui/ComponentPrefab/UiCerberus/PanelCerberusDialog02.prefab	Assets/Product/Texture/Image/UiCerberus/UiCerberusRoleHead01.png	诺克提	三七！热身该结束了！	3	[100002847]
21	Assets/Product/Ui/ComponentPrefab/UiCerberus/PanelCerberusDialog02.prefab	Assets/Product/Texture/Image/UiCerberus/UiCerberusRoleHead03.png	21号	不用诺克提指挥。	2	[100002848]
22	Assets/Product/Ui/ComponentPrefab/UiCerberus/PanelCerberusDialog02.prefab	Assets/Product/Texture/Image/UiCerberus/UiCerberusRoleHead02.png	薇拉	就这吗？还不够21号磨爪子的！	4	[100002849]
23	Assets/Product/Ui/ComponentPrefab/UiCerberus/PanelCerberusDialog02.prefab	Assets/Product/Texture/Image/UiCerberus/UiCerberusRoleHead03.png	21号	21号，会和队长分享猎物。	4	[100002850]
