Id	Type	Title	Desc	Time	PrefabPath	SecondDesc	PositionX	PositionY	Args
1	9	根据当前配置，推荐画质为：	稍后可在【设置】中自由调整	5.0					
1001	1		Warning\ntest1	5.0					
2001	2		Warning\ntest2	6.0					
3001	3		Warning\ntest3	7.0					
5001	4		助战出现\n助战出现	3.0					
5002	8	当期偏差率为	{0}						
1002	1		BOSS出现\nBOSS出现	5.0					
1003	1		你被发现了！\n击败敌人以后再前进吧。	3.0					
1004	1		传送圈已经出现\n走进圈内即可撤离战场	5.0					
1005	1		关卡即将结束！\n在倒计时结束前完成关卡！	5.0					
1006	1		潜行开始！\n不要被敌人发现到达目标！	3.0					
1007	1		坚持45秒！	7.0					
1008	1		破解机关！\n破坏机关，解除激光	3.0					
1009	1		不击败里的情况下击败BOSS	3.0					
1010	1		触碰对应数字的控制台\n按照地板数字的顺序触碰控制台	3.0					
1011	1		击败感染体\n击败场景所有感染体	2.0					
1012	1		剩余5只\n击败场景所有感染体	2.0					
1013	1		剩余4只\n击败场景所有感染体	2.0					
1014	1		剩余3只\n击败场景所有感染体	2.0					
1015	1		剩余2只\n击败场景所有感染体	2.0					
1016	1		剩余1只\n击败场景所有感染体	2.0					
1017	1		成功击败所有感染体！	3.0					
1018	1		BOSS将持续感染锁定目标	3.0					
1019	1		总觉得有哪里不对劲……\n此处似乎有危险	3.0					
1020	1		危险似乎迫近了……\n或许还是离开的好	3.0					
1021	1		你感受到一股危险的气息……\n不要停留，不要停留，不要停留！	3.0					
1022	1		一个黑影带着惊人的气势从前方袭来！\n只能战斗了！	2.0					
1023	1		终于……结束了……	3.0					
1024	1		前方出现高抗性感染体！\n先处理一下周围的杂兵吧	5.0					
1025	1		每击败一只杂兵这里就多个箭头……\n要是箭头排满一圈又会发生什么呢？	3.0					
1026	1		重启控制模块	2.0					
1027	1		重启战斗模块	2.0					
1028	1		重启状态模块	2.0					
1029	1		警告：信号模块存在异常！	2.0					
1030	1		不要让感染体接近大门！\n当前剩余3/3	2.0					
1031	1		有感染体突破了防线！\n<size=27>剩余2/3</size>	2.0					
1032	1		有感染体突破了防线！\n<size=27>剩余1/3</size>	2.0					
1033	1		感染体突破了你的防线！\n<size=27>失败</size>	3.0					
1034	1		击败所有感染体！\n<size=27>测试机体战斗性能</size>	3.0					
1035	1		你已经拥有1个能量桶！	2.0					
1036	1		能量桶填装完毕！	2.0					
1037	1		缺少能量桶，请填装！	2.0					
1038	1		需求状态――空手	2.0					
1039	1		新兵保障系统已启动\n<size=27>指挥官请继续战斗吧</size>	3.0					
1101	1		Warning\n注意新类型感染体	3.0					
1102	1		移动\n前往中央区域	3.0					
1103	1		可通过特殊按键快速通过关卡并获取全部资源	3.0					
1104	8	偏差率	{0}						
546202	1		成功收集50枚螺母！\n通关还需50枚	3.0					
546203	1		成功收集75枚螺母！\n通关还需25枚	3.0					
711101	8	加速	激活	2.0					
711102	8	助战	激活	2.0					
711103	8	削弱	激活	2.0					
711104	8	攻击提升	激活	2.0					
711201	8	减伤	激活	2.0					
711202	8	助跑	激活	2.0					
711203	8	狂化	激活	2.0					
711204	8	援助	激活	2.0					
711301	8	铸能	激活	2.0					
711302	8	动能	激活	2.0					
711303	8	强殖臂	激活	2.0					
711304	8	幸运	激活	2.0					
711401	8	洞察	激活	2.0					
711402	8	铁壁	激活	2.0					
711403	8	奔雷	激活	2.0					
711404	8	不屈	激活	2.0					
710277	1		<size=50><color=#FF6600>真名看破</color>GET！</size>\n<color=#33CCFF>【710277】</color>显示角色当前目标怪物ID	3.0					
710285	1		<size=50><color=#FF6600>伤害统计</color>GET！</size>\n<color=#33CCFF>【710285】</color>显示当前DPS，单位为秒	3.0					
710355	1		<size=50><color=#FF6600>退隐江湖</color>GET！</size>\n<color=#33CCFF>【710355】</color>可直接删除版退隐江湖	3.0					
710067	1		<size=50><color=#FF6600>豹的速度</color>GET！</size>\n<color=#33CCFF>【710067】</color>跑步速度超级加倍	3.0					
710359	1		<size=50><color=#FF6600>熊的力量</color>GET！</size>\n<color=#33CCFF>【710359】</color>伤害超级加倍	3.0					
700935	1		<size=50><color=#FF6600>地爆天星</color>GET！</size>\n<color=#33CCFF>【700935】</color>对所有敌人造成超级伤害	3.0					
700101	1		<size=50><color=#FF6600>五气朝元</color>GET！</size>\n<color=#33CCFF>【700101】</color>所有友军血量恢复	3.0					
715795	1		<size=50><color=#FF6600>砸瓦鲁多</color>GET！</size>\n<color=#33CCFF>【715795】</color>时停除自己外所有单位	3.0					
716514	2		当前总积分为：{0}						
701325	8	已强化伤害加成	{0}%						
784205	2		使用弱点属性攻击敌人	6.0					
784206	2		使用分身、召唤物攻击敌人	6.0					
784207	2		使用与怪物同色的信号球攻击	6.0					
784208	2		成功闪避时造成伤害	6.0					
784209	2		QTE或登场伤害清除护盾	6.0					
784210	2		注意敌人高频率攻击	6.0					
71035001	5	初始Buff说明	<color=#33CCFF>【按钮1】</color>710277\n<color=#FF6600>真名看破</color>：显示角色当前目标怪物ID\n<color=#33CCFF>【按钮2】</color>710285\n<color=#FF6600>伤害统计</color>：显示当前DPS，单位为秒\n<color=#33CCFF>【按钮3】</color>710355\n<color=#FF6600>退隐江湖</color>：可直接删除版退隐江湖\n<color=#33CCFF>【按钮4】</color>710067\n<color=#FF6600>豹的速度</color>：跑步速度超级加倍\n<color=#33CCFF>【按钮5】</color>710359\n<color=#FF6600>熊的力量</color>：伤害超级加倍\n<color=#33CCFF>【按钮6】</color>700935\n<color=#FF6600>地爆天星</color>：对所有敌人造成超级伤害\n<color=#33CCFF>【按钮7】</color>700101\n<color=#FF6600>五气朝元</color>：所有友军血量恢复\n<color=#33CCFF>【按钮8】</color>715795\n<color=#FF6600>砸瓦鲁多</color>：时停除自己外所有单位\n						
71035002	1		<size=50>重置快捷Buff成功！</size>						
7102771	8	<color=#00FF66>普通</color>	{0}						
7102772	8	<color=#FF6600>精英</color>	{0}						
7102773	8	<color=#FF3300>首领</color>	{0}						
7102774	8	<color=#FF00CC>角色怪</color>	{0}						
7102851	8	当前DPS为每秒	{0}						
7102852	1		<size=50>最终DPS为每秒<color=#FF3300>{0}！</color></size>\n5秒内未造成伤害结束统计！	3.0					
7103000	1		<size=50>老丁的工具箱</size>\n\n\n<size=35>1. 【真名看破】：显示当前目标的怪物ID\n2. 【伤害统计】：显示当前DPS，单位为秒\n3. 【退隐江湖】：角色无敌+苟命+去搜索+去碰撞+去障碍\n4. 【豹的速度】：角色获得飞一般的速度\n5. 【熊的力量】：角色获得无与伦比的攻击力\n6. 【地爆天星】：造成一次大范围核爆\n7. 【五气朝元】：进行一次大范围治疗\n8. 【砸瓦鲁多】：释放一次带有暂停时间效果的能量波\n9. 【召唤木桩】：召唤一个不会攻击玩家的木桩</size>\n						
7103001	8	真名看破	<color=#33CCFF>激活</color>	3.0					
7103002	8	真名看破	<color=#CC3333>关闭</color>	3.0					
7103003	8	伤害统计	<color=#33CCFF>激活</color>	3.0					
7103004	8	伤害统计	<color=#CC3333>关闭</color>	3.0					
7103005	8	退隐江湖	<color=#33CCFF>激活</color>	3.0					
7103006	8	退隐江湖	<color=#CC3333>关闭</color>	3.0					
7103007	8	豹的速度	<color=#33CCFF>激活</color>	3.0					
7103008	8	豹的速度	<color=#CC3333>关闭</color>	3.0					
7103009	8	熊的力量	<color=#33CCFF>激活</color>	3.0					
7103010	8	熊的力量	<color=#CC3333>关闭</color>	3.0					
7103011	8	地爆天星	<color=#CC3333>充能中</color>	3.0					
7103012	8	地爆天星	<color=#33CCFF>可使用</color>	3.0					
7103013	8	五气朝元	<color=#CC3333>充能中</color>	3.0					
7103014	8	五气朝元	<color=#33CCFF>可使用</color>	3.0					
7103015	8	砸瓦鲁多	<color=#CC3333>充能中</color>	3.0					
7103016	8	砸瓦鲁多	<color=#33CCFF>可使用</color>	3.0					
7103017	8	召唤木桩	<color=#CC3333>使用中</color>	3.0					
7103018	8	召唤木桩	<color=#33CCFF>可使用</color>	3.0					
