StoryId	Title	SummaryContent
ZX05201BA	醉狱谲笼·第一节	莉莉丝替姑妈蒙扎诺夫人灭口，刺杀黑野特工罗斯沃特。
ZX05202BA	醉狱谲笼·第二节	莉莉丝在养父母意外去世后，与蒙扎诺夫人共同经营洛普拉多斯娱乐城。两人察觉到黑野人员开始在城中出没。
ZX05203BA	醉狱谲笼·第三节	蒙扎诺在脱离黑野前，负责研究殖民舰生态圈的可持续性。与基尔戈·屈鲁特合作的黑野议员凯普哈特支持蒙扎诺继续推行相关项目，引发黑野关注。
ZX05204BA	醉狱谲笼·第四节	黑野特工罗斯沃特遭到暗杀，事后蒙扎诺带回了他的“养女”、同为黑野特工的斜奏。莉莉丝与儿时的同伴斜奏重逢。
ZX05205BA	醉狱谲笼·第五节	斜奏潜伏于蒙扎诺身边，而蒙扎诺也试图策反斜奏。凛冬计划步入正轨，蒙扎诺要求莉莉丝潜入凛冬堡肃清对手、获取情报。
ZX05205EA	醉狱谲笼·第五节	斜奏潜伏于蒙扎诺身边，而蒙扎诺也试图策反斜奏。凛冬计划步入正轨，蒙扎诺要求莉莉丝潜入凛冬堡肃清对手、获取情报。
ZX05206BA	醉狱谲笼·第六节	斜奏邀请莉莉丝一同逃离蒙扎诺的控制。零点能引擎点火实验失败，帕弥什病毒爆发。
ZX05207BA	醉狱谲笼·第七节	洛普拉多斯开始大撤退，蒙扎诺将包括莉莉丝在内的全城人口转移至「空中花园」，并抛弃了斜奏。
ZX05208BA	醉狱谲笼·第八节	冯·内古特成为代行者，莉莉丝在「空中花园」接受构造体改造手术。
ZX05208EA	醉狱谲笼·第八节	冯·内古特成为代行者，莉莉丝在「空中花园」接受构造体改造手术。
ZX05209BA	醉狱谲笼·第九节	斜奏接受构造体改造手术，被编入清理部队，展开针对凛冬计划的调查。
ZX05210BA	醉狱谲笼·第十节	幼年斜奏在洛普拉多斯流浪。被罗斯沃特收养后，斜奏进入了旨在培养早期构造体人体实验候选人的孤儿院，与莉莉丝初遇。
