RoleId	Name	SpinePath	RoleAnims	RoleAnims2	KouIdleAnims	KouTalkAnims	TransitionAnims
1021001	比安卡真理	Assets/Product/Ui/Spine/UiSpine/UiMovieSpine/UiMovieLuxiya2S/UiMovieBiankaSkin/Bianka01/Bianka01.prefab	['idle', 'lengxiao']	['idle2zhayan', 'lengxiao2zhayan']	['idle', 'lengxiao']	['idlekou', 'lengxiaokou']	['lengxiao-idle', 'idle-lengxiao']
1021002	露西亚鸦羽	Assets/Product/Ui/Spine/UiSpine/UiMovieSpine/UiMovieLuxiya2S/UiMovieBiankaSkin/Luxiya01/Luxiya01.prefab	['idle', 'shengqi']	['idle2zhayan', 'shengqi2zhayan']	['idle', 'shengqi']	['idlekou', 'shengqikou']	['idle-shengqi', 'shengqi-idle']
1021003	修女比安卡	Assets/Product/Ui/Spine/UiSpine/UiMovieSpine/UiMovieLuxiya2S/UiMovieBiankaSkin/Bianka02/Bianka02.prefab	['idle', 'tongku']	['idle2zhayan', 'tongku2zhayan']	['idle', 'tongku']	['idlekou', 'tongkukou']	['idle-tongku', 'tongku-idle']
1021004	维萨里	Assets/Product/Ui/Spine/UiSpine/UiMovieSpine/UiMovieLuxiya2S/UiMovieBiankaSkin/Weisali01/Weisali01.prefab	['idle', 'lengxiao']	['idle2zhayan', 'lengxiao2zhayan']	['idle', 'lengxiao']	['idlekou', 'lengxiaokou']	['idle-lengxiao', 'lengxiao-idle']
1021005	拾荒者小女孩	Assets/Product/Ui/Spine/UiSpine/UiMovieSpine/UiMovieLuxiya2S/UiMovieBiankaSkin/NMgirl/NMgirl.prefab	['idle']		['idle']	['idlekou']	
1021006	拾荒者老头	Assets/Product/Ui/Spine/UiSpine/UiMovieSpine/UiMovieLuxiya2S/UiMovieBiankaSkin/Oldman/Oldman.prefab	['idle']		['idle']	['idlekou']	
1021007	斯诺神父	Assets/Product/Ui/Spine/UiSpine/UiMovieSpine/UiMovieLuxiya2S/UiMovieBiankaSkin/ShenFu/ShenFu.prefab	['idle']		['idle']	['idlekou']	
1021008	渔夫男	Assets/Product/Ui/Spine/UiSpine/UiMovieSpine/UiMovieLuxiya2S/UiMovieBiankaSkin/Yufu/Yufu.prefab	['idle']		['idle']	['idlekou']	
1021009	通用男构造体	Assets/Product/Ui/Spine/UiSpine/UiMovieSpine/UiMovieLuxiya2S/UiMovieBiankaSkin/GZTman/GZTman.prefab	['idle']		['idle']		
1021010	通用女构造体	Assets/Product/Ui/Spine/UiSpine/UiMovieSpine/UiMovieLuxiya2S/UiMovieBiankaSkin/ShibingWoman/ShibingWoman.prefab	['idle']		['idle']		
1021011	拾荒者青年	Assets/Product/Ui/Spine/UiSpine/UiMovieSpine/UiMovieLuxiya2S/UiMovieBiankaSkin/SHZWoman/SHZWoman.prefab	['idle']		['idle']		
1021012	比安卡深痕涂装	Assets/Product/Ui/Spine/UiSpine/UiMovieSpine/UiMovieLuxiya2S/UiMovieBiankaSkin/Bianka03/Bianka03.prefab	['idle', 'weixiao', 'sikao', 'renzhen', 'idlehua', 'zhandou', 'renzhenZD']	['idle2zhayan', 'weixiao2zhayan', 'sikao2zhayan', 'renzhen2zhayan', 'idlehua2zhayan', 'zhandou2zhayan', 'renzhenZD2zhayan']	['idle', 'weixiao', 'sikao', 'renzhen', 'idlehua', 'zhandou', 'renzhenZD']	['idlekou', 'weixiaokou', 'sikaokou', 'renzhenkou', 'idlehuakou', 'zhandoukou', 'renzhenZDkou']	['idle_zhandou', 'zhandou_idle']
