Id	OnlyRedPoint	TimeId	Condition	SkipId	Bg	ActivityType	RedPointConditions	Param	ManagerName
1		44802	30406	89076	Assets/Product/Texture/Image/UiFubenActivity/MainBtnUiBigWorld2.png	1	CONDITION_BIG_WORLD_SKY_GARDEN_ENTRANCE		
2		44803	30406	89076	Assets/Product/Texture/Image/UiFubenActivity/MainBtnUiBigWorld2.png	1	CONDITION_BIG_WORLD_SKY_GARDEN_ENTRANCE		
3	1	44402	70111	20017	Assets/Product/Texture/Image/UiFubenActivity/MainBtnRift2.png	2	CONDITION_REPEAT_CHALLENGE_REWARD	620	
4		44804		20324	Assets/Product/Texture/Image/UiFubenActivity/MainBtnLuosaitaV402.png	2	CONDITION_FAVORABILITY_PLOT	1141004	
5		44805		20324	Assets/Product/Texture/Image/UiFubenActivity/MainBtnLuosaitaV402.png	2	CONDITION_FAVORABILITY_PLOT	1141004	
6		44501	770410	20320	Assets/Product/Texture/Image/UiFubenActivity/MainBtnBiancaEpicGacha2.png				
7			774800	11724	Assets/Product/Texture/Image/UiFubenActivity/MainBtnBossActivity11.png	1	CONDITION_ACTIVITYBRIE_BOSSSINGLE		
8		44410	30406	20107	Assets/Product/Texture/Image/UiFubenActivity/MainBtnPuzzle3.png	1	CONDITION_DICEGAME_RED		
9		44806	774800	89092	Assets/Product/Texture/Image/UiFubenActivity/MainBtnTheatre5season3.png	1	CONDITION_THEATRE5_MAIN		
10			774800	89092	Assets/Product/Texture/Image/UiFubenActivity/MainBtnTheatre5season3.png	1	CONDITION_THEATRE5_MAIN		
11			774700	89093	Assets/Product/Texture/Image/UiFubenActivity/MainBtnBountyChallenge.png	1	CONDITION_BOUNTY_CHALLENGE		
12			774800	90025	Assets/Product/Texture/Image/UiFubenActivity/MainBtnPacMan2.png	1	CONDITION_PACMAN2_NEW_STAGE		
13			774800	90058	Assets/Product/Texture/Image/UiFubenActivity/MainBtnRadioSign.png	1	CONDITION_RADIO_SIGN		
14			84601200	80176	Assets/Product/Texture/Image/UiFubenActivity/MainBtnAreaWar4.png	1	XRedPointConditionAreaWarActivity		
15		44807	774800	90018	Assets/Product/Texture/Image/UiFubenActivity/MainBtnPokerGuess202.png	1	CONDITION_POKER_GUESSING2		
16		44910	30406	90047	Assets/Product/Texture/Image/UiFubenActivity/MainBtnRelink.png	1	CONDITION_DLC_RELINK_MAIN		
17		44808	862840	85016	Assets/Product/Texture/Image/UiFubenActivity/MainBtnGuildWarThree.png	1	CONDITION_GUILDWAR_Main		
18		44101	774800	89057	Assets/Product/Texture/Image/UiFubenActivity/MainBtnDlcMultiPlayer.png	1	CONDITION_DLC_MOUSE_HUNTER_ACTIVITY		
