Id	CharacterID	Pic	Title	Description	NextTrialID
1	1011002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Li01.png	控弹	消除黄色信号后，下次红色信号额外附加爆炎效果，造成额外小范围火属性伤害	2
2	1011002		常用连招	热场射击技能攻击敌人后会制造出一个燃烧区域，对燃烧区域敌人攻击时会额外造成火属性伤害	1
3	1021001	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1luxiya01.png	红莲-双刀术	任意3消后，4秒内再次消除红色信号时，露西亚进入爆发状态，将使用双刀术代替普通攻击	4
4	1021001	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1luxiya02.png	常用连招表	3消蓝色信号后攻击附加火属性伤害，再配合消除红色信号进入“红莲-双刀术”，瞬间打出爆发伤害	3
5	1031001	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1Lifu01.png	激光束群	任意3消后，再次消除红球时，将触发激光束群，造成10段大范围物理伤害	6
6	1031001	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1Lifu02.png	常用连招表	3消黄色信号吸引周围敌人，再消除红色信号释放“激光束群”造成高额群体伤害	5
7	1041002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Bianka01.png	翼射	消除黄色信号击中怪物可以获得额外能量，加快必杀技释放	8
8	1041002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Bianka02.png	常用连招	通过3消触发3次被动“饶恕箭筒”，存储3支能量箭后释放必杀技，造成爆发物理伤害	9
9	1041002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Bianka03.png	常用连招	通过3消蓝色信号为武器附加最高等级伤害，后持续使用普攻造成大量伤害	7
10	1051001	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1Qishi01.png	EX-切割风暴	任意3消后，再次消除黄球时，将释放EX-切割风暴，对周围的敌人持续攻击8次，造成大量物理伤害	11
11	1051001	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1Qishi02.png	常用连招表	3消红色信号快速冲刺至目标怪物位置，再消除黄色信号释放“EX-切割风暴”造成大量物理伤害	12
12	1051001	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1Qishi03.png	常用连招表	3消蓝色信号将周围怪物拉扯至身边，再消除黄色信号释放“EX-切割风暴”造成大范围物理伤害	10
13	1061002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Shenwei02.png	攻防律动	成功格挡伤害将立即反击并发射剑气，对敌人造成物理伤害，且能增加自身攻击力	14
14	1061002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Shenwei03.png	大切断	3消红色信号时，重劈将释放额外1次伤害。	13
